2e7d258725ad1a818fcea8f7e3ce09625cf032edb3b0af0d57b243dc9a4e8e53,fc3942ceb28513dd4ee0a845364a18cec6d62c393b49254699bc54d93216edc4,66c6f434d38b50f2b5081242d509ce2c6c039f08c37f4a98babaffb560b9408d,ac05788f377231e0329f049314128be9b09a6f06683b37b2172e272f233836e9,f0706e00de00a6710da6784f26e837471519c9b464dfb9fb42d0fe4dc5896322,d5dac5d0cd4503fad29dc3451b2390cca3f6737f5c942751461d4d9323f061b5,a39f494822463cdcac17c126e173a082fe55a7a17f4133e72d402092da8166a2,7eef035ab8224bd0b7884f00fb8bb70f8db7985a2f03164bebbbc7321979b21e
"111","1","90110001","ガーゴイル（EASY）をクリアしよう","70000","110001","0","110001"
"112","1","90110002","ガーゴイル（NORMAL）をクリアしよう","70000","110002","0","110001"
"113","1","90110003","ガーゴイル（HARD）をクリアしよう","70000","110003","0","110001"
"114","1","90110004","ガーゴイル（VERY HARD）をクリアしよう","70000","110004","0","110001"
"115","1","90110005","ガーゴイル（EXTREME）をクリアしよう","70000","110005","0","110001"
"121","1","90120001","マグスガーゴイル（EASY）をクリアしよう","70000","120001","0","110001"
"122","1","90120002","マグスガーゴイル（NORMAL）をクリアしよう","70000","120002","0","110001"
"123","1","90120003","マグスガーゴイル（HARD）をクリアしよう","70000","120003","0","110001"
"124","1","90120004","マグスガーゴイル（VERY HARD）をクリアしよう","70000","120004","0","110001"
"125","1","90120005","マグスガーゴイル（EXTREME）をクリアしよう","70000","120005","0","110001"
"131","1","90130001","ガードガーゴイル（EASY）をクリアしよう","70000","130001","0","110001"
"132","1","90130002","ガードガーゴイル（NORMAL）をクリアしよう","70000","130002","0","110001"
"133","1","90130003","ガードガーゴイル（HARD）をクリアしよう","70000","130003","0","110001"
"134","1","90130004","ガードガーゴイル（VERY HARD）をクリアしよう","70000","130004","0","110001"
"135","1","90130005","ガードガーゴイル（EXTREME）をクリアしよう","70000","130005","0","110001"
"141","1","90140001","ガーゴイル・バースト（EASY）をクリアしよう","70000","140001","0","110001"
"142","1","90140002","ガーゴイル・バースト（NORMAL）をクリアしよう","70000","140002","0","110001"
"143","1","90140003","ガーゴイル・バースト（HARD）をクリアしよう","70000","140003","0","110001"
"144","1","90140004","ガーゴイル・バースト（VERY HARD）をクリアしよう","70000","140004","0","110001"
"145","1","90140005","ガーゴイル・バースト（EXTREME）をクリアしよう","70000","140005","0","110001"
"151","1","90150001","ガーゴイル・マギ（EASY）をクリアしよう","70000","150001","0","110001"
"152","1","90150002","ガーゴイル・マギ（NORMAL）をクリアしよう","70000","150002","0","110001"
"153","1","90150003","ガーゴイル・マギ（HARD）をクリアしよう","70000","150003","0","110001"
"154","1","90150004","ガーゴイル・マギ（VERY HARD）をクリアしよう","70000","150004","0","110001"
"155","1","90150005","ガーゴイル・マギ（EXTREME）をクリアしよう","70000","150005","0","110001"
