e31b067957d3029ace59180adb6bf966f534a322bbe96b105e732454eb0d158f,2d47a51e26c6c4ddc35b4c4212b2245cae3e87f1e45f3d21d6fb512192881062,9736f0a257a339d98814f83f58a278e349b70c5c57da040fe5eabfb8f39925fa,e8ad33a12d669fc892a4bba13e9b0fae58fbe527e1069cac1b45a35df294a968,7da766b9b8c737a1fca14c3959a4529139c257b6c76a10ad84e4ad8590533513,800eb61c7b308cd4e91175903a3d8d4696eb7f4f33089712beacacde73259fc6,24f4bd377e9cac9276035e09a5bf083427f2655111e20aa117362c968e4708e1,d30a54696c096d68cd3e46e8c9faed19b7c6bc8982bb111f57779bdb8fc0b03f,1c8d508d11b7b5dd6782ef5ff935717e89bbcef5119331978baaaaceb5d44f14,8a7ce90c6c8c8ecfcb927a2e0e0ad9f5ae0a7b335de35f558a3833971f705883,067d6e132cbe395f7893ecf7da0b75064f2d66adb7760f021b33178ce5315c2e,efb760d4048609427e37e9c003403136c70be63ac1cfccdfb6f2c11abad4f493,024b31d200e0f95d91661b0a45479245560fcac5fc97ecfc3a14cf181871b615,2e70ea9019edb2c0abb5fd36825e41808dc14d2cac720094b7d6ad1347144070,705d8df44c26c05d4782e8934c6a879b59a4f5e8dab347afb9eeb16a137ff563,f652f9833096d768cfdadbac660e251c08e436d2624d4af2975b0efd6937703e,9a220aabecba7e6a687ee3de3e8e455058eccd341dc6d2b29b0296252e5d6f26,27850dc4cabc1806fe3946306421565e4befecc4740419830051d2e3832aa852,e97b034077ea11be426050195866c6b06b441acbb8bb05b61469c21ab591a5cc
"0","1","0","0","3","-60","289","610132007","1","","0","1","12","5","3","5.5","0","10132","610132501"
"70","1","0","0","1","-60","289","610132008","1","","0","2","0","5","0","1.5","0","10132","610132502"
"0","1","0","0","1","-60","289","610132009","1","","0","3","0","5","0","1.5","0","10132","0"
"55","1.85","0","0","1","-50","292","610134007","1","","0","1","0","5","3","5.5","0","10134","0"
"0","1.85","0","0","3","-50","292","610134008","1","","0","2","30","5","0","1.5","0","10134","610134502"
"0","1.85","0","0","1","-50","292","610134009","1","","0","3","0","5","0","1.5","0","10134","0"
"0","1.1","0","0","2","0","295","610136007","1","","0","1","0","5","3","5.5","600","10136","610136501"
"84","1.5","0","0","1","-50","295","610136008","1","","0","2","0","5","0","1.5","0","10136","0"
"0","1.5","0","0","1","-50","295","610136009","1","","0","3","0","5","0","1.5","0","10136","0"
"75","0.85","0","0","1","0","295","610137007","1","","0","1","0","5","0","5.5","0","10137","0"
"50","0.85","0","0","1","0","295","610137008","1","","0","2","0","5","0","1.5","0","10137","0"
"0","0.85","0","0","1","0","295","610137009","1","","0","3","0","5","0","1.5","0","10137","0"
"77","1.4","0","0","1","0","298","610140007","1","","0","1","0","5","3","5.5","0","10140","0"
"52","1.4","0","0","1","0","298","610140008","1","","0","2","0","5","0","1.5","0","10140","0"
"0","1.4","0","0","1","0","298","610140009","1","","0","3","0","5","0","1.5","0","10140","0"
"76","1.45","0","0","1","-33","301","610142007","1","","0","1","0","5","3","5.5","0","10142","0"
"0","1.23","0","0","2","-40","301","610142008","1","","0","2","0","5","3","1.5","600","10142","610142502"
"0","1.45","0","0","1","-33","301","610142009","1","","0","3","0","5","0","1.5","0","10142","0"
"65","1","0","0","1","-33","304","610144007","1","","0","1","0","5","3","5.5","0","10144","0"
"0","0.85","0","0","2","-40","304","610144008","1","","0","2","0","5","3","1.5","600","10144","610144502"
"0","1","0","0","1","-33","304","610144009","1","","0","3","0","5","0","1.5","0","10144","0"
"0","0.87","0","0","2","-45","307","610146007","1","","0","1","0","5","3","5.5","600","10146","610146501"
"58","1.18","0","0","1","-45","307","610146008","1","","0","2","0","5","0","1.5","0","10146","0"
"0","1.18","0","0","1","-45","307","610146009","1","","0","3","0","5","0","1.5","0","10146","0"
"0","1.4","0","0","2","-50","310","610148007","1","","0","1","0","5","3","5.5","600","10148","610148501"
"68","1.7","0","0","1","-50","310","610148008","1","","0","2","0","5","0","1.5","0","10148","0"
"0","1.7","0","0","1","-50","310","610148009","1","","0","3","0","5","0","1.5","0","10148","0"
"71","1.35","0","0","1","-33","313","610150007","1","","0","1","0","5","3","5.5","0","10150","0"
"50","1.35","0","0","1","-33","313","610150008","1","","0","2","0","5","3","1.5","0","10150","0"
"0","1.35","0","0","1","-33","313","610150009","1","","0","3","0","5","0","1.5","0","10150","0"
"0","0.7","0","0","2","20","316","610152007","1","","0","1","0","5","4.8","5.5","600","10152","610152501"
"81","0.96","0","0","1","30","316","610152008","1","","0","2","0","5","0","1.5","0","10152","0"
"0","0.96","0","0","1","30","316","610152009","1","","0","3","0","5","0","1.5","0","10152","0"
"68","1.25","0","0","1","-33","319","610154007","1","","0","1","0","5","3","5.5","0","10154","0"
"0","1","0","0","2","-10","319","610154008","1","","0","2","0","5","3","1.5","600","10154","610154502"
"0","1.25","0","0","1","-33","319","610154009","1","","0","3","0","5","0","1.5","0","10154","0"
"0","0.85","0","0","2","5","322","610156007","1","","0","1","0","5","3","5.5","600","10156","610156501"
"75","1.11","0","0","1","-10","322","610156008","1","","0","2","0","5","3","1.5","600","10156","0"
"0","1.11","0","0","1","-10","322","610156009","1","","0","3","0","5","0","1.5","0","10156","0"
"0","1.5","0","0","2","-40","325","610158007","1","","0","1","0","5","3","5.5","600","10158","610158501"
"65","1.75","0","0","1","-33","325","610158008","1","","0","2","0","5","0","1.5","0","10158","0"
"0","1.75","0","0","1","-33","325","610158009","1","","0","3","0","5","0","1.5","0","10158","0"
"0","1.4","0","0","3","-35","328","610160007","1","","0","1","20","5","4.8","5.5","600","10160","610160501"
"70","1.4","0","0","1","-35","328","610160008","1","","0","2","0","5","0","1.5","0","10160","0"
"0","1.4","0","0","1","-35","328","610160009","1","","0","3","0","5","0","1.5","0","10160","0"
