b004eae42c31ba4ad1b0b2a52fc76b4cc59304b4cf41e0ddce2910fa1aa40fca,b258926b48594cd556dc5e36409312ac4dda78dd68ce086e0fa4904cb3e64fe5,610a01970b82da95cc93434e29203972502180884bbeb8581b137132973b1649,fdb6e8c4ac242b0a0210bb8138d12a9e901cbfb16750801212d9e8e45e6074bd,60dd99b59f2db57b2c6150f66d43df96e8582bf99845a01563f1266db11312e0,60fa94730dd512f1283569085df539a0bd0581d651333c41fb92f56fba9e1cf8,60180b1ee703f2c2724fc75e5c68a031bbf0ee48cabe80f3fe5e8189825e30a5,614b293ec4087dd04d69efa5105e29549f74a9f9b2b7686e993876c1e3030e6d,a38dc67b77bc2d3df963585022099e48e440315002f6f5404e1c1aead8b83d27,4f75c388bd06559d8d96ec5bce847b2690ace6cbb700aa420ba73e364f577bcd,262559b7a47c226da12ef974cc19e56729b78a9be9b275a12b54043673804cc9,cdf71dc5f15db6d1f6d85ea810705e32410d59759222430915e5981590e33fe6,0f59396588bad438c147282045714a8457e5c6d614ce7185e8248d5ace542b1f,edfeb4370b967175d0bed73819b6755cc22a90cb6a80a9cc802f000d534ad6c6,935391d180997f00f52e167015f3c16fe7657f294c52ba0176ddd41f012ebe3d
"2001","2","1","1","0","7","20011","20012","0","0","0","0","0","40001","1"
"2002","2","1","1","0","7","20021","20022","0","0","0","0","0","40001","1"
"2003","2","1","1","0","7","20031","20032","0","0","0","0","0","40001","1"
"2004","2","1","1","0","7","20041","20042","0","0","0","0","0","40001","1"
"2005","2","1","1","0","7","20051","20052","0","0","0","0","0","40001","1"
"2006","2","1","1","0","7","20061","20062","0","0","0","0","0","40001","1"
"2007","2","1","1","0","7","20071","20072","0","0","0","0","0","40001","1"
"2008","2","1","1","0","7","20081","20082","0","0","0","0","0","40001","1"
"2009","2","1","1","0","7","20091","20092","0","0","0","0","0","40001","1"
"2010","2","1","1","0","7","20101","20102","0","0","0","0","0","40001","1"
"2011","2","1","1","0","7","20111","20112","0","0","0","0","0","40001","1"
"2012","2","1","1","0","7","20121","20122","0","0","0","0","0","40001","1"
"2013","2","1","1","0","7","20131","20132","0","0","0","0","0","40001","1"
"2014","2","1","1","0","7","20141","20142","0","0","0","0","0","40001","1"
"2015","2","1","1","0","7","20151","20152","0","0","0","0","0","40001","1"
"2016","2","1","1","0","7","20161","20162","0","0","0","0","0","40001","1"
"2017","2","1","1","0","7","20171","20172","0","0","0","0","0","40001","1"
"2018","2","1","1","0","7","20181","20182","0","0","0","0","0","40001","1"
"2019","2","1","1","0","7","20191","20192","0","0","0","0","0","40001","1"
"2020","2","1","1","0","7","20201","20202","0","0","0","0","0","40001","1"
"2021","2","1","1","0","7","20211","20212","0","0","0","0","0","40001","1"
"2022","2","1","1","0","7","20221","20222","0","0","0","0","0","40001","1"
"2023","2","1","1","0","7","20231","20232","0","0","0","0","0","40001","1"
"2024","2","1","1","0","7","20241","20242","0","0","0","0","0","40001","1"
"2025","2","1","1","0","7","20251","20252","0","0","0","0","0","40001","1"
"2026","2","1","1","0","7","20261","20262","0","0","0","0","0","40001","1"
"2027","2","1","1","0","7","20271","20272","0","0","0","0","0","40001","1"
"2028","2","1","1","0","7","20281","20282","0","0","0","0","0","40001","1"
"3001","1","1","1","40","7","30011","30012","0","0","0","0","0","40001","1"
"3002","1","1","5","40","7","30021","30022","0","0","0","0","0","40001","1"
"3003","1","1","6","40","7","30031","30032","0","0","0","0","0","40001","1"
"3004","1","1","6","-58","0","30041","30042","0","0","0","0","0","40001","2"
"3005","1","1","1","-42","-20","30051","30052","0","0","0","0","0","40001","1"
"3006","1","1","5","-42","-20","30061","30062","0","0","0","0","0","40001","1"
"3007","1","1","1","0","40","30071","30072","0","0","0","0","0","40001","1"
"3008","1","1","5","0","40","30081","30082","0","0","0","0","0","40001","1"
"3009","1","1","6","0","40","30091","30092","0","0","0","0","0","40001","1"
"4001","1","2","1","0","0","40011","40012","0","0","0","0","0","40001","1"
"4002","1","2","5","0","0","40021","40022","0","0","0","0","0","40001","1"
"4005","1","2","1","0","0","40051","40052","0","0","0","0","0","40001","1"
"4006","1","2","5","0","0","40061","40062","0","0","0","0","0","40001","1"
"4007","1","2","6","0","0","40071","40072","0","0","0","0","0","40001","2"
"4009","1","2","6","0","0","40091","40092","0","0","0","0","0","40004","2"
"4010","1","2","1","0","0","40101","40102","0","0","0","0","0","40004","1"
"4011","1","2","5","0","0","40111","40112","0","0","0","0","0","40004","1"
"4012","1","2","6","0","0","40121","40122","0","0","0","0","0","40001","1"
"4013","1","2","1","0","0","40131","40132","0","0","0","0","0","40004","1"
"4014","1","2","5","0","0","40141","40142","0","0","0","0","0","40004","1"
"4015","1","2","6","0","0","40151","40152","0","0","0","0","0","40001","1"
"4016","1","2","1","0","0","40161","40162","0","0","0","0","0","40004","1"
"4017","1","2","5","0","0","40171","40172","0","0","0","0","0","40004","1"
"4018","1","2","6","0","0","40181","40182","0","0","0","0","0","40001","1"
