f0b4e8c7572347434ce6debf5490be43199f399045dc434755cdbd127ecd20dd,cf9f3c7824a9dfcc32955f5e6011867b051c8004d5543dcd6883af80ab35b879,d442a5921fc39038159cd2a36e37c14fbf22b5710b8393c9d440f7989b2f3f8e,85a9cba69991afdc04d52d8ba16205c11d9c8e1b29b1c11da70252902eeed785
"101401","100","1005","200"
"101601","100","1005","200"
"101801","100","1005","200"
"103201","100","1005","200"
"105001","100","1005","200"
"105201","100","1005","200"
"106101","100","1005","200"
"106401","100","1005","200"
"106801","100","1005","200"
"108301","100","1005","200"
"110001","100","1005","200"
"110101","100","1005","200"
"112201","100","1005","200"
"114401","100","1005","200"
"114701","100","1005","200"
"115701","100","1005","200"
"115801","100","1005","200"
"100201","100","1006","200"
"102901","100","1006","200"
"104201","100","1006","200"
"105401","100","1006","200"
"105901","100","1006","200"
"107601","100","1006","200"
"108401","100","1006","200"
"108801","100","1006","200"
"111601","100","1006","200"
"111901","100","1006","200"
"113901","100","1006","200"
"115501","100","1006","200"
"115601","100","1006","200"
"117201","100","1006","200"
"117301","100","1006","200"
"117401","100","1006","200"
"180201","100","1006","200"
"180501","100","1006","200"
"100301","100","1007","200"
"100501","100","1007","200"
"103701","100","1007","200"
"104701","100","1007","200"
"105801","100","1007","200"
"106501","100","1007","200"
"106601","100","1007","200"
"107501","100","1007","200"
"108901","100","1007","200"
"111801","100","1007","200"
"113601","100","1007","200"
"114001","100","1007","200"
"114101","100","1007","200"
"114301","100","1007","200"
"116501","100","1007","200"
"116601","100","1007","200"
"180301","100","1007","200"
"180401","100","1007","200"
"100101","100","1008","200"
"100401","100","1008","200"
"102001","100","1008","200"
"102101","100","1008","200"
"102301","100","1008","200"
"102501","100","1008","200"
"102801","100","1008","200"
"103601","100","1008","200"
"106001","100","1008","200"
"107701","100","1008","200"
"107801","100","1008","200"
"108501","100","1008","200"
"108601","100","1008","200"
"108701","100","1008","200"
"110301","100","1008","200"
"111101","100","1008","200"
"111201","100","1008","200"
"111301","100","1008","200"
"112001","100","1008","200"
"112101","100","1008","200"
"114501","100","1008","200"
"180101","100","1008","200"
"180601","100","1008","200"
