db937c2a1d9d4b2b19ff2b65cb36049cfa59477928c32b9df4a3790181306377,1a148e37ec9e7a076a3f207d4dab929b2d2862dc07b9b4dc090acab6dc949562,2d45054a7c0ec30e2ea65990f3f6dbf615f765fc60c7ff9f7515191cfa000ab0,032cab144916dfb14fa21295b272457b741fdd8462f283068ac9eb206df788a3,9f8760110a0fb7d80ebd9f6e6419f00a81d1373ddc030c2bdd7d8925be49f534,3c092610efd631f86d466447d207817bbd9cfc0dbf5cb2f0cc5e6ccc055357fd,2987a63e89b6ae4eb4a8f292da011c35baf580e234f645fc0de568d424ce62ee
"10064","0","1006401","0","開会式","20036104","4"
"10064","0","1006402","0","開会式","20036104","3"
"10064","1006402","1006403","0","徒競走","20036104","1"
"10064","1006402","1006404","0","徒競走","20036104","4"
"10064","1006402","1006405","0","徒競走","20036104","2"
"10064","1006405","1006406","0","騎馬戦","20036104","2"
"10064","1006405","1006407","0","騎馬戦","20036104","4"
"10064","1006406","1006408","0","昼休憩","20036106","3"
"10064","1006406","1006409","0","昼休憩","20036106","4"
"10064","1006408","1006410","0","学術文化出展各種","20036106","3"
"10064","1006408","1006411","0","学術文化出展各種","20036106","4"
"10064","1006408","1006412","0","学術文化出展各種","20036106","1"
"10064","1006410","1006413","0","侍女風給仕喫茶","20036108","4"
"10064","1006410","1006414","0","侍女風給仕喫茶","20036108","3"
"10064","1006414","1006415","0","総合リレー","20036113","3"
"10064","1006414","1006416","0","総合リレー","20036113","4"
"10064","1006415","1006417","2003601","セレモニーステージ","0","1"
"10064","1006415","1006418","2003601","セレモニーステージ","0","4"
"10064","1006415","1006419","2003601","セレモニーステージ","0","2"
"10064","1006419","1006420","2003601","閉会式","0","3"
"10064","1006419","1006421","2003601","閉会式","0","4"
"10064","1006420","1006422","2003601","コンプリート演出","0","4"
