801094116738c27e593193268161b856f5da0e4b5e0df0e7b2e66c0807abf574,5af6ea4071abaab69aadec77ae3101c5760d296d9d7106782ad041261408a830,b179f7de9e4c7fd8b222fc96435b2437130de09977eeb1f62c476950e0a5a0fa,6893e5232289b1d4452808fc2757362f543e4f79d564b373592c8c065cc23600,e99c5c8636c2dd0392bd2cdc8a09e37053f1d7b638b67299dcb7d278528d0d34,cbbf9523f5d474a93c30a275bdbd1c7223f07248f468c8015cadfc22c063a7d5,16bb26098267c66e06bf018e8676663bc0201b1b3e550fbc44fae9c1ab65ddce,3046646e1c2a8567ec323f6eb8106084c414c28cf8429634934495fbf0ef3f61
"1","0","1","【料理】ダイスが2個に増える","1","0","52001","1"
"2","0","1","【料理】ダイスの目が必ず「1」になる","1","0","52002","1"
"3","0","2","【料理】次のターン数のカウントをスキップする","3","0","52002","1"
"4","0","1","【料理】ダイスの目が必ず「4」になる","1","0","52004","1"
"5","0","1","【料理】ダイスの目が\n「4・5・6」のみになる","1","0","52006","1"
"6","0","1","【料理】ダイスの目が1ターン目は必ず「3」に、2ターン目は必ず「6」になる","1","0","52007","1"
"7","0","1","【料理】ダイスの目が必ず「5」になる","1","0","52003","1"
"8","0","7","【料理】マイルマスの獲得マイルが200%アップする","2","0","52008","1"
"9","0","2","【イベント】次のターン数のカウントをスキップする","3","0","4","2"
"10","0","3","【イベント】マイルマスの獲得マイルが100%アップする","2","0","5","2"
"11","0","5","【イベント】ミニゲームの獲得マイルが100%アップする","2","0","6","2"
"12","0","4","【イベント】マイルショップの全商品が20%以上割引される","3","0","7","2"
"13","0","1","【料理】ダイスの目が1ターン目は必ず「8」に、2ターン目は必ず「1」になる","1","0","52009","1"
"14","0","6","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","2","0","52010","1"
"15","0","1","【料理】ダイスの目が1ターン目は必ず「2」に、2ターン目は必ず「7」になる","1","0","52011","1"
"16","0","1","【料理】ダイスの目が\n「1・2・3」のみになる","1","0","52012","1"
"17","0","2","【料理】次のターン数のカウントをスキップする","3","0","52012","1"
"18","0","8","【料理】移動時にマイルマスをスキップできる","1","0","52014","1"
"19","0","1","【料理】次回移動時に1マス分多く進める","1","0","52005","1"
"20","2","1","【料理】次回移動時に1マス分多く進める","1","2","52014","1"
"21","0","1","【料理】ダイスが2個に増える","1","0","52015","1"
"22","0","1","【料理】次回移動時に1マス分多く進める","1","0","52015","1"
"23","0","1","【料理】ダイスの目が必ず「6」になる","1","0","52016","1"
"24","0","9","【料理】移動系カテゴリーの料理が食べられなくなる","1","0","52017","1"
"25","0","1","【料理】ダイスの目が必ず「3」になる","1","0","52018","1"
"26","0","1","【料理】ダイスの目が必ず「8」になる","1","0","52019","1"
"27","0","2","【イベント】次のターン数のカウントをスキップする","3","0","98011","2"
"28","0","2","【イベント】次のターン数のカウントをスキップする","3","0","98012","2"
"29","0","10","【料理】移動時にマイルマスをスキップできる","2","0","52020","1"
"30","2","1","【料理】次回移動時に1マス分多く進める","1","2","52020","1"
"31","0","10","【料理】移動時にトレジャーマスをスキップできる","2","0","52021","1"
