a8112371673adf1d985907adb1ec9920d0b0d7f941c5f58201c159be5612ef90,8e802065d1731dad61aeb2e252edd54331ea8e6abae107f6cb31fb7fd408f99e,867a4a5b951fea35e834c9aca7b81df25c8694ee30ac11787d507f156c128703,1f820c98c6eb6829812654b939772f8963ee060afa213aca9beb2ae856d3340d,b5c304434e87bc3b46cb15829dc33838d6f6cbc962c624bb061c44e065555856
"1","94002","12","3000000","100101"
"2","20004","2","300","100101"
"3","90008","2","1000","100102"
"4","25001","2","6","100103"
"5","94002","12","1000000","100104"
"6","20004","2","300","100104"
"7","90008","2","1000","100105"
"8","25001","2","6","100106"
"9","91002","8","40","100107"
"10","94002","12","1000000","100107"
"11","20004","2","300","100107"
"12","90008","2","1000","100108"
"13","41000","2","1","100109"
"14","25001","2","7","100109"
"15","94002","12","1000000","100110"
"16","20004","2","400","100110"
"17","90008","2","1500","100111"
"18","91002","8","40","100112"
"19","25001","2","7","100112"
"20","94002","12","1000000","100113"
"21","20004","2","400","100113"
"22","90008","2","1500","100114"
"23","41000","2","1","100115"
"24","25001","2","7","100115"
"25","94002","12","1000000","100116"
"26","20004","2","500","100116"
"27","91002","8","40","100117"
"28","90008","2","1500","100117"
"29","94002","12","2000000","100118"
"30","25001","2","8","100118"
"31","90008","2","2000","100118"
"32","94002","12","3000000","100201"
"33","20004","2","300","100201"
"34","90008","2","1000","100202"
"35","25001","2","12","100203"
"36","94002","12","1000000","100204"
"37","20004","2","300","100204"
"38","90008","2","1000","100205"
"39","25001","2","10","100206"
"40","91002","8","40","100207"
"41","94002","12","1000000","100207"
"42","20004","2","300","100207"
"43","90008","2","1000","100208"
"44","41000","2","1","100209"
"45","25001","2","10","100209"
"46","94002","12","1000000","100210"
"47","20004","2","400","100210"
"48","90008","2","1500","100211"
"49","91002","8","40","100212"
"50","25001","2","9","100212"
"51","94002","12","1000000","100213"
"52","20004","2","400","100213"
"53","90008","2","1500","100214"
"54","41000","2","1","100215"
"55","94002","12","1000000","100216"
"56","20004","2","500","100216"
"57","91002","8","40","100217"
"58","90008","2","1500","100217"
"59","94002","12","2000000","100218"
"60","90008","2","2000","100218"
"61","94002","12","3000000","100301"
"62","20004","2","300","100301"
"63","90008","2","1000","100302"
"64","25001","2","12","100303"
"65","94002","12","1000000","100304"
"66","20004","2","300","100304"
"67","90008","2","1000","100305"
"68","25001","2","10","100306"
"69","91002","8","40","100307"
"70","94002","12","1000000","100307"
"71","20004","2","300","100307"
"72","90008","2","1000","100308"
"73","41000","2","1","100309"
"74","25001","2","10","100309"
"75","94002","12","1000000","100310"
"76","20004","2","400","100310"
"77","90008","2","1500","100311"
"78","91002","8","40","100312"
"79","25001","2","9","100312"
"80","94002","12","1000000","100313"
"81","20004","2","400","100313"
"82","90008","2","1500","100314"
"83","41000","2","1","100315"
"84","94002","12","1000000","100316"
"85","20004","2","500","100316"
"86","91002","8","40","100317"
"87","90008","2","1500","100317"
"88","94002","12","2000000","100318"
"89","90008","2","2000","100318"
"90","94002","12","3000000","100401"
"91","20004","2","300","100401"
"92","90008","2","1000","100402"
"93","25001","2","12","100403"
"94","94002","12","1000000","100404"
"95","20004","2","300","100404"
"96","90008","2","1000","100405"
"97","25001","2","10","100406"
"98","91002","8","40","100407"
"99","94002","12","1000000","100407"
"100","20004","2","300","100407"
"101","90008","2","1000","100408"
"102","41000","2","1","100409"
"103","25001","2","10","100409"
"104","94002","12","1000000","100410"
"105","20004","2","400","100410"
"106","90008","2","1500","100411"
"107","91002","8","40","100412"
"108","25001","2","9","100412"
"109","94002","12","1000000","100413"
"110","20004","2","400","100413"
"111","90008","2","1500","100414"
"112","41000","2","1","100415"
"113","94002","12","1000000","100416"
"114","20004","2","500","100416"
"115","91002","8","40","100417"
"116","90008","2","1500","100417"
"117","94002","12","2000000","100418"
"118","90008","2","2000","100418"
