b4fc70dc003bd91aae95730b28ca3c2532a6daecf3d1329e391997abb7b32221,731d42a905230cd7f3505c15ff7c11213d47d3bd6820f56c2f54c2ee8a1b2f9e,b641fa1d2f9485b17154d7182c586120c59c8cf9c8b305aad700ca189c2bad3b,bdfaf9dabff2fd869a50345da8e50834f5cda5e0c9533dffa359745b6962f6b9,ab1bb2851de4b8bb4740aff937b39bcbab1a63320a441f23f1992d3f82a69dae,6caf739b31f84a3e7120d7168b16d998522eef7e9f39430332e7ab148fd99fa4,8b29ce0d6a6e7ec60458a43be1cdbf33dc82168e27a0afa570ee4c37ebd75695,82198ab1631861735235afa8669bef726de41b67d8bd183308dee5cd117985ba,491b61e8a11c2ffaa662c94e9752465926e57afecb61bc90a3cc637507c8ab12,f3c82f6a675a9dbc603b71a37a752c1704a02ac4fe5dace20690beb56dd9093f,385a6afc2421680132cbbeb2ea09644fd465a58148c467f9674ba0190c3312aa
"2","110010001","55","1.3","1000001","<weapon>_idle","1001","1","-250","-100","0"
"100","110010002","0","1","100","","1001","31","1","0",""
"101","110010003","0","0","101","","1001","31","1","0",""
"4","110010004","0","1","4","","1001","31","1","0",""
"5","110010005","94.5","1","5","","1001","31","1","0",""
"0","110010006","","","0","","1001","91","","",""
"0.4","110010007","","","0","","1001","93","","",""
"1000001","110010008","0","0.2","<weapon>_joy_short","","1001","3","","",""
"1.3","110010009","","","0","","1001","93","","",""
"1000001","110010010","1","0","<weapon>_run","","1001","3","","",""
"1000001","110010011","-250","","800","","1001","2","0","1",""
"0.7","110010012","","","0","","1001","93","","",""
"101","110010013","","","1","","1001","32","","",""
"0.7","110010014","","","0","","1001","93","","",""
"2","111010001","55","1.3","1000001","<weapon>_run","1101","1","-250","-640","0"
"100","111010002","0","1","100","","1101","31","1","0",""
"101","111010003","0","0","101","","1101","31","1","0",""
"4","111010004","0","1","4","","1101","31","1","0",""
"4","111010005","","","0","","1101","35","","",""
"5","111010006","0","1","5","","1101","31","1","0",""
"10","111010007","0","1","10","","1101","31","1","0",""
"0","111010008","","","","","1101","91","","",""
"100","111010009","","","1","","1101","35","","",""
"1000001","111010010","-250","","640","","1101","2","0","2.1",""
"1.7","111010011","","","0","","1101","93","","",""
"101","111010012","","","1","","1101","32","","",""
"0.7","111010013","","","0","","1101","93","","",""
"1","120010001","55","1.3","1000001","look_loop","2001","1","-240","0","0"
"1","120010002","0","0","1","","2001","31","1","0","0"
"1","120010003","","","0","","2001","35","","",""
"1","120010004","","","1","","2001","32","","",""
"2","120010005","345.4","1","2","","2001","31","1","0","0"
"2","120010006","","","0","","2001","35","","",""
"3","120010007","345.4","0","3","","2001","31","1","0","0"
"3","120010008","","","0","","2001","35","","",""
"3","120010009","","","1","","2001","32","","",""
"31000001","120010010","-345.4","1","31000001","","2001","31","1","0",""
"31000002","120010011","345.4","1","31000002","","2001","31","1","0",""
"100","120010012","0","1","100","","2001","31","1","0",""
"101","120010013","0","0","101","","2001","31","1","0",""
"0","120010014","","","","","2001","91","","",""
"100","120010015","","","1","","2001","35","","",""
"1000001","120010016","0","0","look_in","","2001","3","1","look_loop","0"
"1.3","120010017","","","0","","2001","93","","",""
"12","121010001","0","0","998","","2101","31","1","0",""
"14","121010002","0","0","997","","2101","31","1","0",""
"16","121010003","0","0","996","","2101","31","1","0",""
"31000001","121010004","","","0","","2101","32","","",""
"31000002","121010005","","","0","","2101","32","","",""
"0","121010006","-1","0","0","","2101","121","0","1",""
"1","121010007","","","1","","2101","35","","",""
"3","121010008","","","1","","2101","35","","",""
"1000001","121010009","0","0","pointing","","2101","3","","",""
"1","121010010","","","0","","2101","93","","",""
"505","121010011","-1.47","0","100","","2101","121","2","1.47",""
"1000001","121010012","1","0.2","run_talk1","","2101","3","","",""
"1000001","121010013","-240","","100","","2101","2","0","1",""
"se_travel","121010014","0","","se_travel_treasure_cha_run","","2101","23","","",""
"1","121010015","","","0","","2101","93","","",""
"11","122010001","0","0","998","","2201","31","1","0",""
"13","122010002","0","0","997","","2201","31","1","0",""
"15","122010003","0","0","996","","2201","31","1","0",""
"31000001","122010004","","","0","","2201","32","","",""
"31000002","122010005","","","0","","2201","32","","",""
"1","122010006","","","1","","2201","35","","",""
"3","122010007","","","1","","2201","35","","",""
"1000001","122010008","0","0","pointing","","2201","3","","",""
"1","122010009","","","0","","2201","93","","",""
"-505","122010010","1.47","0","100","","2201","121","2","1.47",""
"1000001","122010011","1","0.2","run_talk1","","2201","3","","",""
"1000001","122010012","-240","","100","","2201","2","0","1",""
"se_travel","122010013","0","","se_travel_treasure_cha_run","","2201","23","","",""
"1","122010014","","","0","","2201","93","","",""
"300000","130000001","345.4","0","300000","","3000","31","1","0",""
"0","130000002","","","","","3000","91","","",""
"1.05","130000003","1.05","0","1.05","","3000","123","7.4","1.05",""
"1000001","130000004","0","0.2","wait","","3000","3","","",""
"2","130000005","","","1","","3000","35","","",""
"4.9","130000006","","","0","","3000","93","","",""
"0.95","130000007","0.95","0","0.95","","3000","123","0.4","0.95",""
"300000","130000008","","","1","","3000","32","","",""
"0.1","130000009","","","0","","3000","93","","",""
"2","130000010","","","0","","3000","32","","",""
"0.1","130000011","","","0","","3000","93","","",""
"996","130000012","","","1","","3000","32","","",""
"1000001","130000013","0","0","joy_from_wait","","3000","3","","",""
"1.9","130000014","","","0","","3000","93","","",""
"1000001","130000015","0","0","glad_from_joy","","3000","3","","",""
"1.5","130000016","","","0","","3000","93","","",""
"1000001","130000017","1","0.2","run_gatein","","3000","3","","",""
"se_travel","130000018","","","se_travel_treasure_cha_run","","3000","23","","",""
"1000001","130000019","-195","","450","","3000","2","0","1",""
"0.5","130000020","","","1","","3000","93","","",""
"1000001","130000021","1","0.4","1","","3000","6","0","1","0"
"0.4","130000022","","","0","","3000","93","","",""
"1","130000023","","","","","3000","113","","",""
"300100","130010001","345.4","0","300100","","3001","31","1","0",""
"990001","130010002","345.4","1","990001","","3001","31","1","0",""
"0","130010003","","","","","3001","91","","",""
"1.05","130010004","1.05","0","1.05","","3001","123","7.4","1.05",""
"1000001","130010005","0","0.2","wait","","3001","3","","",""
"2","130010006","","","1","","3001","35","","",""
"5.4","130010007","","","0","","3001","93","","",""
"0.95","130010008","0.95","0","0.95","","3001","123","0.4","0.95",""
"1000001","130010009","0","0.2","glad","","3001","3","","",""
"300100","130010010","","","1","","3001","32","","",""
"996","130010011","","","1","","3001","32","","",""
"0.1","130010012","","","0","","3001","93","","",""
"2","130010013","","","0","","3001","32","","",""
"3","130010014","","","0","","3001","32","","",""
"1.5","130010015","","","0","","3001","93","","",""
"1000001","130010016","0","0.2","joy","","3001","3","","",""
"1.7","130010017","","","0","","3001","93","","",""
"1000001","130010018","1","0","run_gatein","","3001","3","","",""
"1000001","130010019","-195","","450","","3001","2","0","1",""
"0.5","130010020","","","1","","3001","93","","",""
"1000001","130010021","1","0.4","1","","3001","6","0","1","0"
"0.4","130010022","","","0","","3001","93","","",""
"1","130010023","","","","","3001","113","","",""
"300100","130020001","345.4","0","300100","","3002","31","1","0",""
"990002","130020002","345.4","1","990002","","3002","31","1","0",""
"0","130020003","","","","","3002","91","","",""
"1.05","130020004","1.05","0","1.05","","3002","123","7.4","1.05",""
"1000001","130020005","0","0.2","wait","","3002","3","","",""
"2","130020006","","","1","","3002","35","","",""
"5.4","130020007","","","0","","3002","93","","",""
"0.95","130020008","0.95","0","0.95","","3002","123","0.4","0.95",""
"1000001","130020009","0","0.2","glad","","3002","3","","",""
"300100","130020010","","","1","","3002","32","","",""
"996","130020011","","","1","","3002","32","","",""
"0.1","130020012","","","0","","3002","93","","",""
"2","130020013","","","0","","3002","32","","",""
"3","130020014","","","0","","3002","32","","",""
"1.5","130020015","","","0","","3002","93","","",""
"1000001","130020016","0","0.2","joy","","3002","3","","",""
"1.7","130020017","","","0","","3002","93","","",""
"1000001","130020018","1","0","run_gatein","","3002","3","","",""
"1000001","130020019","-195","","450","","3002","2","0","1",""
"0.5","130020020","","","1","","3002","93","","",""
"1000001","130020021","1","0.4","1","","3002","6","0","1","0"
"0.4","130020022","","","0","","3002","93","","",""
"1","130020023","","","","","3002","113","","",""
"6","130110001","345.4","0","6","","3011","31","1","0",""
"8","130110002","345.4","0","8","","3011","31","1","0",""
"301100","130110003","345.4","0","301100","","3011","31","1","0",""
"0","130110004","","","","","3011","91","","",""
"1.05","130110005","1.05","0","1.05","","3011","123","7.4","1.05",""
"1000001","130110006","0","0.2","wait","","3011","3","","",""
"2","130110007","","","1","","3011","35","","",""
"4.9","130110008","","","0","","3011","93","","",""
"0.95","130110009","0.95","0","0.95","","3011","123","0.3","0.95",""
"se_travel","130110010","0","","se_travel_treasure_ghost_success","","3011","23","","",""
"8","130110011","","","1","","3011","32","","",""
"8","130110012","","","0","","3011","35","","",""
"6","130110013","","","1","","3011","32","","",""
"0.1","130110014","","","0","","3011","93","","",""
"2","130110015","","","0","","3011","32","","",""
"3","130110016","","","0","","3011","32","","",""
"1000001","130110017","0","","dotEyes","","3011","3","","",""
"0.87","130110018","","","0","","3011","93","","",""
"1000001","130110019","0","0.2","glad","","3011","3","","",""
"301100","130110020","","","1","","3011","32","","",""
"8","130110021","","","1","","3011","35","","",""
"0.6","130110022","","","0","","3011","93","","",""
"996","130110023","","","1","","3011","32","","",""
"0.5","130110024","","","0","","3011","93","","",""
"1000001","130110025","0","","joy","","3011","3","","",""
"1.67","130110026","","","0","","3011","93","","",""
"1000001","130110027","1","0","run_gatein","","3011","3","","",""
"1000001","130110028","-195","","450","","3011","2","0","1",""
"0.5","130110029","","","1","","3011","93","","",""
"1000001","130110030","1","0.4","1","","3011","6","0","1","0"
"0.4","130110031","","","0","","3011","93","","",""
"1","130110032","","","","","3011","113","","",""
"1000001","130120001","1","0.2","idle","","3012","3","","",""
"301200","130120002","0","0","13","","3012","31","1","0",""
"101","130120003","0","0","14","","3012","31","1","0",""
"301204","130120004","260","0","16","","3012","31","1","-150",""
"301205","130120005","0","0","17","","3012","31","1","0",""
"6","130120006","345.4","0","18","","3012","31","1","0",""
"301201","130120007","345.4","0","20","","3012","31","1","0",""
"301202","130120008","345.4","0","21","","3012","31","1","0",""
"1","130120009","55","1","3","round_monster_walk","3012","5","-234","9340","0"
"0","130120010","","","","","3012","91","","",""
"3","130120011","1","0","1","","3012","6","0","1","0"
"3","130120012","-234","0","345","","3012","2","0","0","0"
"1.05","130120013","1.05","0","1.05","","3012","123","7.4","1.05","0"
"1000001","130120014","0","0.2","wait","","3012","3","","",""
"2","130120015","","","1","","3012","35","","",""
"301203","130120016","0","0","15","","3012","31","1","0",""
"2","130120017","57","0.89","1000002","<weapon>_run","3012","1","-250","9340","0"
"4.3","130120018","","","0","","3012","93","","",""
"0.95","130120019","0.95","0","0.95","","3012","123","0.4","0.95",""
"21","130120020","","","1","","3012","32","","",""
"21","130120021","","","0","","3012","35","","",""
"se_travel","130120022","","","se_travel_treasure_success_monster_helper_1","","3012","23","","",""
"18","130120023","","","1","","3012","32","","",""
"0.1","130120024","","","0","","3012","93","","",""
"2","130120025","","","0","","3012","32","","",""
"3","130120026","1","0.3","1","","3012","6","1","1","0"
"13","130120027","","","1","","3012","32","","",""
"3","130120028","0","","round_monster_appear","","3012","3","","",""
"1000001","130120029","0","","back","","3012","3","","",""
"0.67","130120030","","","0","","3012","93","","",""
"3","130120031","0","0.2","round_monster_walk","","3012","3","","",""
"3","130120032","-234","","220","","3012","2","0","1.4",""
"20","130120033","","","1","","3012","32","","",""
"0.1","130120034","","","0","","3012","93","","",""
"18","130120035","","","0","","3012","32","","",""
"0.5","130120036","","","0","","3012","93","","",""
"1000002","130120037","","","1","","3012","4","","",""
"1000002","130120038","-240","","1445","","3012","2","0","0",""
"0.5","130120039","","","0","","3012","93","","",""
"3","130120040","0","0.3","round_monster_attack","","3012","3","","",""
"0.5","130120041","","","0","","3012","93","","",""
"17","130120042","","","1","","3012","32","","",""
"1000001","130120043","0","0.1","back_loop","","3012","3","","",""
"0.5","130120044","","","0","","3012","93","","",""
"1000002","130120045","-240","","950","","3012","2","0","0",""
"1000002","130120046","-240","","650","","3012","2","0","0.16",""
"1000002","130120047","0","0.2","<weapon>_run","","3012","3","","",""
"0.16","130120048","","","0","","3012","93","","",""
"1000002","130120049","0","0.2","<weapon>_attack_skipQuest","","3012","3","","",""
"0.1","130120050","","","0","","3012","93","","",""
"3","130120051","-234","","280","","3012","2","0","0",""
"3","130120052","","","1","","3012","4","","",""
"3","130120053","0","0.2","round_monster_die","","3012","3","","",""
"16","130120054","","","1","","3012","32","","",""
"0.5","130120055","","","0","","3012","93","","",""
"1000001","130120056","-240","","20","","3012","2","0","0",""
"1000001","130120057","0","0","back_origin","","3012","3","","",""
"1000001","130120058","0","0.2","surprise","","3012","3","","",""
"1000002","130120059","1","0.2","<weapon>_idle","","3012","3","","",""
"0.66","130120060","","","0","","3012","93","","",""
"15","130120061","","","1","","3012","32","","",""
"996","130120062","","","1","","3012","32","","",""
"3","130120063","1","0.6","1","","3012","6","0","1",""
"1000001","130120064","0","0.2","joy_short","","3012","3","","",""
"18","130120065","","","1","","3012","32","","",""
"0.02","130120066","","","0","","3012","93","","",""
"20","130120067","","","0","","3012","32","","",""
"21","130120068","","","0","","3012","32","","",""
"1.5","130120069","","","0","","3012","93","","",""
"1000001","130120070","0","0.2","smile","","3012","3","","",""
"1000002","130120071","1","0","<weapon>_run","","3012","3","","",""
"1000002","130120072","","","0","","3012","4","","",""
"1000002","130120073","-250","","1500","","3012","2","0","2",""
"1","130120074","","","0","","3012","93","","",""
"1000002","130120075","1","0.2","1","","3012","6","0","1",""
"1000001","130120076","1","0.2","run_gatein","","3012","3","","",""
"1000001","130120077","-200","","360","","3012","2","0","1",""
"0.5","130120078","","","0","","3012","93","","",""
"1000001","130120079","1","0.4","1","","3012","6","0","1",""
"0.4","130120080","","","0","","3012","93","","",""
"1","130120081","","","0","","3012","113","","",""
"301300","130130001","345.4","0","301300","","3013","31","1","0",""
"0","130130002","","","","","3013","91","","",""
"1000001","130130003","0","0.2","wait_gradeUp","","3013","3","","",""
"301300","130130004","","","1","","3013","32","","",""
"0.1","130130005","","","0","","3013","93","","",""
"2","130130006","","","0","","3013","32","","",""
"0.8","130130007","","","0","","3013","93","","",""
"1.05","130130008","1.05","0","1.05","","3013","123","0","1.05",""
"5","130130009","0.5","","5","","3013","122","","",""
"1.1","130130010","","","0","","3013","93","","",""
"1.05","130130011","1.05","0","1.05","","3013","123","0","1.05",""
"10","130130012","0.5","","10","","3013","122","","",""
"0.8","130130013","","","0","","3013","93","","",""
"1000001","130130014","0","0.2","glad","","3013","3","","",""
"0.1","130130015","","","0","","3013","93","","",""
"0.907","130130016","0.907","2","0.907","","3013","123","2","0.907",""
"0.3","130130017","","","0","","3013","93","","",""
"996","130130018","","","1","","3013","32","","",""
"0.5","130130019","","","0","","3013","93","","",""
"1000001","130130020","0","0.2","joy","","3013","3","","",""
"1.7","130130021","","","0","","3013","93","","",""
"1000001","130130022","1","0","run_gatein","","3013","3","","",""
"1000001","130130023","-195","","450","","3013","2","0","1",""
"0.5","130130024","","","1","","3013","93","","",""
"1000001","130130025","1","0.4","1","","3013","6","0","1","0"
"0.4","130130026","","","0","","3013","93","","",""
"1","130130027","","","","","3013","113","","",""
"301400","130140001","345.4","0","301400","","3014","31","1","0",""
"0","130140002","","","","","3014","91","","",""
"1.05","130140003","1.05","0","1.05","","3014","123","7.4","1.05",""
"1000001","130140004","0","0.2","wait","","3014","3","","",""
"301400","130140005","","","1","","3014","32","","",""
"0.1","130140006","","","0","","3014","93","","",""
"2","130140007","","","0","","3014","32","","",""
"3.4","130140008","","","0","","3014","93","","",""
"0.95","130140009","0.95","5","0.95","","3014","123","3.2","0.95",""
