572cee0493ae76e8199de2a92e11617da4cf398928ebda7cdfac29eb51cd3e38,f9a4b19a9e0f778d807617447aad862c27d39f2a0c1231e1028da6c5ed823742,0247bb8c57530c06e46bc99fb537a2dd83799fbbfa2c9c6d5a41d12f0a56471d,24fc05e02ecf7e3961a4ee00eb34a06cf595fd9ee707c9c9c81a3ee2fbdec248,7b56d5fd089b8ea1c954a774a9fccc7cae9a3176dbd6a2e50a3a943120f0af53,dfcdd5f8f9ccaba2710154e4e51e487f0942babf6712bfc21a6837d64e31ce72,a53797a35d9fd2bf4e73490c3ed1593f80f2899373244445b70a33e46e4218e6,6edf1231ab457def80f97fed8af131021217dabb36fd2bdfab819bc440168009,03a39afefce14d3af1f69750594500eff9ffdfb0d083a7bb488eb3a1ddd13e7e,a100465246ab9d0d63b1a56a84b5c98a0002361e035aab8b138384643578bb23,b314197e69ea1bbf1ee2f1c1f45f2cdac4989a0e9eb165e1fa028bfe4fe9bb17,2172e3d43cc4d59ccdd032bce0c811fdabf596e0cb8a5fec5c6ff311272e4253,672565d72db39c74d0b054f542b0c5f729c1b7f2fcf9c70c844d4f87e57d7656,e319a9a6d880808cf67e5aeac1ceac6209e30cadf7ca81c0c9384e0b081c836d
"2","1.7","0","0","0","10050","-30","0","1.5","10","100000","30","1005001","0"
"1","1.7","0","1","-40","10050","25","0.03","1.5","0","100000","-17","1005001","10050101"
"3","1.7","0","0","-23","10050","-47","0","1.5","10","100000","-32","1005001","0"
"2","1.7","0","0","0","10050","-30","0","1.5","10","100000","30","1005002","0"
"1","1.7","0","1","-40","10050","25","0.03","1.5","0","100000","-17","1005002","10050201"
"3","1.7","0","0","-23","10050","-47","0","1.5","10","100000","-32","1005002","0"
"2","1.7","0","0","0","10050","-30","0","1.5","10","100000","30","1005003","0"
"1","1.7","0","1","-40","10050","25","0.03","1.5","0","100000","-17","1005003","10050301"
"3","1.7","0","0","-23","10050","-47","0","1.5","10","100000","-32","1005003","0"
"2","1.7","0","0","0","10050","-30","0","1.5","10","100000","30","1005004","0"
"1","1.7","0","1","-40","10050","25","0.03","1.5","0","100000","-17","1005004","10050401"
"3","1.7","0","0","-23","10050","-47","0","1.5","10","100000","-32","1005004","0"
"2","1.7","0","0","0","10050","-30","0","1.5","10","100000","30","1005005","0"
"1","1.7","0","1","-40","10050","25","0.03","1.5","0","100000","-17","1005005","0"
"3","1.7","0","0","-23","10050","-47","0","1.5","10","100000","-32","1005005","0"
"2","1.7","0","0","0","10077","-30","0","1.5","10","100000","30","1007701","0"
"1","1.7","0","1","-40","10077","25","0.03","1.5","0","100000","-17","1007701","10077101"
"3","1.7","0","0","-23","10077","-47","0","1.5","10","100000","-32","1007701","0"
"2","1.7","0","0","0","10077","-30","0","1.5","10","100000","30","1007702","0"
"1","1.7","0","1","-40","10077","25","0.03","1.5","0","100000","-17","1007702","10077201"
"3","1.7","0","0","-23","10077","-47","0","1.5","10","100000","-32","1007702","0"
"2","1.7","0","0","0","10077","-30","0","1.5","10","100000","30","1007703","0"
"1","1.7","0","1","-40","10077","25","0.03","1.5","0","100000","-17","1007703","10077301"
"3","1.7","0","0","-23","10077","-47","0","1.5","10","100000","-32","1007703","0"
"2","1.7","0","0","0","10077","-30","0","1.5","10","100000","30","1007704","0"
"1","1.7","0","1","-40","10077","25","0.03","1.5","0","100000","-17","1007704","10077401"
"3","1.7","0","0","-23","10077","-47","0","1.5","10","100000","-32","1007704","0"
"2","1.7","0","0","0","10077","-30","0","1.5","10","100000","30","1007705","0"
"1","1.7","0","1","-40","10077","25","0.03","1.5","0","100000","-17","1007705","0"
"3","1.7","0","0","-23","10077","-47","0","1.5","10","100000","-32","1007705","0"
"1","0.84","0","1","-50","10088","-25","0.03","0.92","10","100000","-13","1008801","10088101"
"2","0.7","0","0","-50","10088","-25","0","0.8","0","100000","13","1008801","0"
"1","0.84","0","1","-50","10088","-25","0.03","0.92","10","100000","-13","1008802","10088201"
"2","0.7","0","0","-50","10088","-25","0","0.8","0","100000","13","1008802","0"
"1","0.84","0","1","-50","10088","-25","0.03","0.92","10","100000","-13","1008803","10088301"
"2","0.7","0","0","-50","10088","-25","0","0.8","0","100000","13","1008803","0"
"1","0.7","0","1","-50","10088","-30","0.03","0.92","10","100000","-17","1008804","10088401"
"2","0.6","0","0","-50","10088","-30","0","0.8","0","100000","30","1008804","0"
"1","0.7","0","1","-50","10088","-30","0.03","0.92","10","100000","-17","1008805","0"
"2","0.6","0","0","-50","10088","-30","0","0.8","0","100000","30","1008805","0"
"2","1.7","0","0","0","20029","-30","0","1.5","10","100000","30","2002901","0"
"1","1.7","0","1","-40","20029","25","0.03","1.5","0","100000","-17","2002901","20029101"
"3","1.7","0","0","-23","20029","-47","0","1.5","10","100000","-32","2002901","0"
"2","1.7","0","0","0","20029","-30","0","1.5","10","100000","30","2002902","0"
"1","1.7","0","1","-40","20029","25","0.03","1.5","0","100000","-17","2002902","0"
"3","1.7","0","0","-23","20029","-47","0","1.5","10","100000","-32","2002902","0"
"2","1.7","0","0","0","20029","-30","0","1.5","10","100000","30","2002903","0"
"1","1.7","0","1","-40","20029","25","0.03","1.5","0","100000","-17","2002903","0"
"3","1.7","0","0","-23","20029","-47","0","1.5","10","100000","-32","2002903","0"
"2","1.7","0","0","0","20029","-30","0","1.5","10","100000","30","2002904","0"
"1","1.7","0","1","-40","20029","25","0.03","1.5","0","100000","-17","2002904","0"
"3","1.7","0","0","-23","20029","-47","0","1.5","10","100000","-32","2002904","0"
"2","1.7","0","0","0","20029","-30","0","1.5","10","100000","30","2002905","0"
"1","1.7","0","1","-40","20029","25","0.03","1.5","0","100000","-17","2002905","0"
"3","1.7","0","0","-23","20029","-47","0","1.5","10","100000","-32","2002905","0"
"1","0.84","0","1","-50","10115","-25","0.03","0.92","10","100000","-13","1011501","10115101"
