6b964766611f1c87007a0b501707ca3f2e0dd6ed78554fdce376b24eb32a4c09,407170839d7610e40934d3773c186d25eecc577239ba8a890107307026e44ee3,1a3a5130b88d5494b6f7f5f7185d4650ed535db04016e94dcfa90796a67360fd,33ad8e5401767bc2c1e9a6e40e645dc3fab821d9bcc5987d6c5213c93c292d27,972247a432bf0dacad7b7f93644d56338094d9092e30b17894ea370806a68968,6810d75d4a9b88e3cd0ebb53fb4235b998442d0a9be2e8efb63fd9f6f0826673,cd04bbffd505edb18a3e0abab2fa4f3ee79f5bea8350493ef9f0efc4cfec40d6,45c7b74278cb3b152cf129ce616898b7b13dd01250a414399e376406eda61b06,262b63f676d65d34d74216e54eb03cd34f18c97a8220560effecce3537ee9b11,f958230ba5e82c989b314640d29e905a1a329b1837b5dc9ab34889b3f4ca0977,05b873c761d47754f09c59a4f3662c6dcaa650b46e74b1897813b625bd3a5913,09028f59081f226c92fc6340192e8ecabe0f5b808efd0b89558a29e7f024f82c,4d0c76d3bd04733b369496d8e56fb83269c00a2d7b14799d9b07a1c4727a057d,6f448ab5ed0e04eb12277f15533a782f63d771acbf3e18137f64cc1d461367ed,0ecb059923e9aa033180ceee465fdbd94487dc4e1de78c401ea143c43746ae59,af11a2d1871718f6328fbec14d00c162b305c791c0e72430f3c331d4687b023a,aeb7b05bb316e5196496e701448a97d301024cb2fdc2ed7540b25f177e2738e0,e0b46775ea8756993cc3933cfd33de59cbf54d1756659ac8ecd1e25506879dea,1b7e918846cc30951c16ef2beb9079b45a288324bdb536b72770044acf24c604,d22f6d49d4b47dd292fe4ab261c1d9b196e20d464884af9a597c7e6d6909653e,b837e05caad067609022312ef83c03f6a843688d68ae229153af13c5c2634beb,be59a5da0b75e1530701b15efdedf39539d2568a090d3dc773a6232728cf5c30
"-30","10","0.8","1","-30","1","-120","0","210","1","0.6","101001","-480","bgm_M64","0","10010101","250","1","101001","1","0.7","1001"
"0","10","1.2","1","-30","1","-120","0","200","1","0.75","101001","-260","bgm_M64","0","10010102","0","2","101001","2","1","1001"
"-10","0","1.1","1","-30","1","0","-50","200","1","0.75","101001","-40","bgm_M64","0","10010103","100","3","101001","3","1","1001"
"0","0","1","1","-30","1","-50","0","200","1","0.7","101001","240","bgm_M64","0","10010104","0","4","101001","4","1","1001"
"0","0","1.3","1","-30","1","-40","0","250","1","1.2","101011","480","bgm_M55","0","10010105","200","5","101011","5","1","1001"
"-30","10","0.8","1","-30","1","-155","0","210","1","0.6","101021","-480","bgm_M64","0","10020101","250","1","101001","1","0.7","1002"
"0","10","1.2","1","-30","1","-120","0","200","1","0.75","101021","-265","bgm_M64","0","10020102","250","2","101001","2","1","1002"
"-10","0","1.4","1","-30","1","30","-30","200","1","0.9","101021","-30","bgm_M64","-15","10020103","100","3","101001","3","1","1002"
"0","0","1.5","1","-30","1","-90","-30","200","1","1","101021","220","bgm_M64","0","10020104","100","4","101001","4","1.25","1002"
"0","0","1.8","1","-30","1","0","0","250","1","1.4","101031","440","bgm_M55","0","10020105","200","5","101011","5","1.6","1002"
"-30","10","0.8","1","-30","1","-155","0","210","1","0.6","101041","-470","bgm_M64","0","10030101","250","1","101041","1","0.7","1003"
"0","10","1.2","1","-30","1","-95","0","200","1","0.75","101041","-210","bgm_M64","0","10030102","250","2","101041","2","1","1003"
"-10","0","1.1","1","-30","1","-120","-50","200","1","0.75","101041","50","bgm_M64","0","10030103","100","3","101041","3","1","1003"
"0","0","1.5","1","-30","1","35","-30","200","1","0.8","101041","195","bgm_M64","0","10030104","100","4","101041","4","1.2","1003"
"0","0","1.8","1","-30","1","-55","-50","210","1","1.1","101042","450","bgm_M55","0","10030105","150","5","101042","5","1.35","1003"
"-30","10","0.8","1","-30","1","-120","0","210","1","0.6","101161","-480","bgm_M64","0","10040101","250","1","101161","1","0.7","1004"
"0","10","1.2","1","-30","1","-120","0","200","1","0.75","101161","-260","bgm_M64","0","10040102","0","2","101161","2","1","1004"
"-10","0","1.4","1","-30","1","55","-30","200","1","0.9","101161","-20","bgm_M64","-15","10040103","100","3","101161","3","1","1004"
"0","0","1.3","1","-30","1","-30","-30","200","1","0.9","101161","180","bgm_M64","0","10040104","0","4","101161","4","1","1004"
"-30","0","1.2","1","-30","1","-60","-50","250","1","0.9","101162","470","bgm_M55","-40","10040105","200","5","101162","5","0.9","1004"
"-30","10","0.8","1","-30","1","-120","0","210","1","0.6","101171","-480","bgm_M64","0","10050101","250","1","101161","1","0.7","1005"
"0","10","1.2","1","-30","1","-120","0","200","1","0.75","101171","-260","bgm_M64","0","10050102","0","2","101161","2","1","1005"
"-10","0","1.4","1","-30","1","45","-30","200","1","0.9","101171","-20","bgm_M64","-15","10050103","100","3","101161","3","1","1005"
"0","0","1","1","-30","1","-70","0","200","1","0.7","101171","190","bgm_M64","0","10050104","0","4","101161","4","1","1005"
"0","0","1.3","1","-30","1","-25","-30","240","1","1","101172","445","bgm_M55","-40","10050105","200","5","101162","5","1","1005"
"-30","10","0.8","1","-30","1","-120","0","210","1","0.6","101191","-480","bgm_M64","0","10060101","250","1","101161","1","0.7","1006"
"0","10","1.2","1","-30","1","-100","0","200","1","0.75","101191","-260","bgm_M64","0","10060102","0","2","101161","2","1","1006"
"-10","0","1.1","1","-30","1","65","0","200","1","0.8","101191","-10","bgm_M64","-15","10060103","100","3","101161","3","1","1006"
"0","0","1.2","1","-30","1","-110","0","200","1","0.8","101191","190","bgm_M64","0","10060104","0","4","101161","4","1","1006"
"-45","-10","1.15","1","-30","1","-70","-50","280","1","0.9","101192","485","bgm_M55","0","10060105","270","5","101162","5","1","1006"
"-30","10","0.8","1","-30","1","-120","0","210","1","0.6","101201","-480","bgm_M64","0","10070101","250","1","101161","1","0.7","1007"
"0","10","1.2","1","-30","1","-120","0","240","1","0.9","101201","-260","bgm_M64","0","10070102","120","2","101161","2","1","1007"
"-10","0","1.1","1","-30","1","65","0","200","1","0.8","101201","-10","bgm_M64","-15","10070103","100","3","101161","3","1","1007"
"0","0","1.2","1","-30","1","-110","0","200","1","0.9","101201","190","bgm_M64","0","10070104","100","4","101161","4","1","1007"
"-45","10","1.45","1","-30","1","-30","-50","250","1","1","101202","475","bgm_M55","-20","10070105","270","5","101162","5","1","1007"
"-30","10","0.8","1","-30","1","-120","0","210","1","0.6","101291","-480","bgm_M64","0","10080101","250","1","101161","1","0.7","1008"
"0","10","1.2","1","-30","1","-120","0","240","1","0.9","101291","-260","bgm_M64","0","10080102","120","2","101161","2","1","1008"
"-10","0","1.1","1","-30","1","65","0","200","1","0.8","101291","-40","bgm_M64","-15","10080103","100","3","101161","3","1","1008"
"0","0","1.3","1","-30","1","-110","0","200","1","0.9","101291","150","bgm_M64","0","10080104","100","4","101161","4","1.3","1008"
"30","30","1.45","1","-30","1","-15","15","230","1","1.1","101292","490","bgm_M55","-20","10080105","45","5","101162","5","1.3","1008"
"-30","10","0.8","1","-30","1","-120","0","210","1","0.6","101301","-480","bgm_M64","0","10090101","250","1","101161","1","0.7","1009"
"0","10","1.2","1","-30","1","-120","0","200","1","0.75","101301","-260","bgm_M64","0","10090102","120","2","101161","2","1","1009"
"-10","0","2.3","1","-30","1","100","0","200","1","1.55","101301","-50","bgm_M64","-15","10090103","100","3","101161","3","2.2","1009"
"0","0","1.3","1","-30","1","-100","15","200","1","1","101301","180","bgm_M64","0","10090104","100","4","101161","4","1.3","1009"
"-30","10","1.2","1","-30","1","-55","-15","270","1","1","101302","470","bgm_M55","-20","10090105","200","5","101162","5","1.1","1009"
"-30","10","1","1","-30","1","-130","-25","210","1","0.575","101441","-450","bgm_M64","0","10100101","170","1","101161","1","0.9","1010"
"0","10","1.2","1","-30","1","-120","0","200","1","0.75","101441","-250","bgm_M64","0","10100102","120","2","101161","2","1","1010"
"-10","0","1.1","1","-30","1","50","0","200","1","0.8","101441","-10","bgm_M64","-15","10100103","100","3","101161","3","1","1010"
"0","0","1.3","1","-30","1","-100","-30","200","1","0.9","101441","180","bgm_M64","0","10100104","0","4","101161","4","1","1010"
"-30","10","1.2","1","-30","1","-70","-35","270","1","0.95","101442","470","bgm_M55","-20","10100105","200","5","101162","5","1.1","1010"
"-30","10","1","1","-30","1","-130","-25","210","1","0.575","101451","-450","bgm_M64","0","10110101","170","1","101451","1","0.9","1011"
"0","10","1.2","1","-30","1","-120","0","200","1","0.75","101451","-250","bgm_M64","0","10110102","120","2","101451","2","1","1011"
"-10","0","1.4","1","-30","1","50","-30","200","1","0.9","101451","-20","bgm_M64","-15","10110103","100","3","101451","3","1","1011"
"0","0","0.9","1","-30","1","-100","20","220","1","0.65","101451","200","bgm_M64","0","10110104","100","4","101451","4","0.8","1011"
"-50","0","1.55","1","-30","1","-70","-35","290","1","1.25","101452","510","bgm_M55","0","10110105","200","5","101452","5","1.4","1011"
"-30","10","1","1","-30","1","-130","-25","210","1","0.575","101561","-450","bgm_M64","0","10120101","170","1","101451","1","0.9","1012"
"0","0","1.2","1","-30","1","-120","0","240","1","0.9","101561","-240","bgm_M64","0","10120102","120","2","101451","2","1","1012"
"-10","5","0.9","1","-30","1","60","0","200","1","0.6","101561","-30","bgm_M64","-5","10120103","100","3","101451","3","0.8","1012"
"0","0","1.5","1","-30","1","-100","-30","200","1","0.9","101561","180","bgm_M64","0","10120104","100","4","101451","4","1.2","1012"
"-50","0","1.55","1","-30","1","-70","-60","290","1","1.25","101562","460","bgm_M55","0","10120105","400","5","101452","5","1.35","1012"
