6c56b72bb79d8e67c1dd9d5d1fafe72512abda861889100944920081fe9eaa3b,8fd4e36609199babf8d436860fc9e3f85d417bf2ef18ef4a7d7f070d826a2359,2e28e3458c9aa6df19bc3f85e56a80adbdbe2929609a5ea597c012afabfa7693,e73512e1bb5a9d83fe91382cce6f89b0df672ec8ee13cbc0cf6824d12ac90964,e946dacbb995069ac8a5ef0f0219eeafeed8b9439c59f2371cfefff2e3aaf4ec,7a110baa130b097e5576a3a9448dc635c15dd45a0a1d41f3c74ecf169de1cec7,af639d18df73b83b13a9c2cd69bb5c55a30187a644011328d20cd4256e65668f
"71004025","1","107601","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","10004","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","BOSS討伐で解放！\n残り{0}体"
"71005025","2","108001","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","10005","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","BOSS討伐で解放！\n残り{0}体"
"71007031","3","108201","[3C404E]ボスNORMAL討伐で解放！","10007","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！"
"71009031","4","108501","[3C404E]ボスNORMAL討伐で解放！","10009","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！"
"71010031","5","108901","[3C404E]ボスNORMAL討伐で解放！","10010","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！"
"71011031","6","109001","[3C404E]ボスNORMAL討伐で解放！","10011","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！"
"71013031","7","109301","[3C404E]ボスNORMAL討伐で解放！","10013","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！"
"71017031","8","109801","[3C404E]ボスNORMAL討伐で解放！","10017","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！"
"71019031","9","110101","[3C404E]ボスNORMAL討伐で解放！","10019","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！"
"72004021","10","107601","[3C404E]ボスNORMAL討伐で解放！","20004","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！"
"71021035","11","110501","[3C404E]ボスNORMAL討伐で解放！","10021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！"
"72005021","12","108001","[3C404E]ボスNORMAL討伐で解放！","20005","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！"
"71025031","13","111201","[3C404E]ボスNORMAL討伐で解放！","10025","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！"
"71026031","15","108201","[3C404E]ボスNORMAL討伐で解放！","10026","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！"
"71029031","16","111601","[3C404E]ボスNORMAL討伐で解放！","10029","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！"
"71030031","17","108501","[3C404E]ボスNORMAL討伐で解放！","10030","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！"
"71031031","18","112101","[3C404E]ボスNORMAL討伐で解放！","10031","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！"
"71032031","19","108901","[3C404E]ボスNORMAL討伐で解放！","10032","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！"
