7093fd4091a0cfb141cd8f8217b922e5b4ebfe6db9ddcc47178d84aca5236717,3943ac337721fac80e503e0059009662b94b7367de9639ce5f11c9b16acef00e,23b90d058f651a29a4383fffee6485640fc36c650344ce49f5a724077d475cf5,eadaa42b9fecd292ddcd22099df355fbe7ea8848b1c0e791eb87990d4b0e8349,e669aed76bbb620a4630a5fb3a64adf5df0bddc57747e8f360b19f55ac96c9a7,84059046ce3d89cc4785c66406d024ff43ae131d4f1e960d37d1d17381a7efe6,ec57784453af49f0844a5bef6e00608a0a56f74bc3348a300064cef4b8645a8a,526b01a138894b5ebcdeb2a707480afa10d220bf09d34d11765305d18bfd50ef,f3ea369c4ac8a5448fe33bb208729e70ff1212600a88a3e2603fbf7083068941,74dd67959d5aaacc96986095dc44d1e3ec094bc2a1dd681790986f80b3ece458,796a41c20804166c5dee3b5b7b3125ec8ae6a8faa9b8b79646402db756c287fd
"2","pt","0","0","10011105","1","1001","10011","0","1","0"
"2","m","0","0","10015103","2","1002","10015","1","1","0"
"2","pt","0","0","10021108","3","1003","10021","0","1","5021700"
"3","pt","0","0","5027007","4","1004","10027","0","1","5027700"
"2","pt","0","0","10040105","5","1005","10040","0","1","5040700"
"1","pt","5046006","1","5046006","6","1006","10046","0","1","0"
"3","pt","5072006","3","5072006","7","1007","10072","0","1","0"
"3","pt","5080000","3","5080007","8","1008","10080","0","0","5080700"
"0","pt","0","0","0","9","1009","0","0","0","9004201"
"1","pt","5096007","3","5096007","10","1010","10096","0","1","5096700"
"2","pt","5126000","3","10126107","11","1012","10126","0","1","0"
"3","pt","5142000","1","5142007","12","1013","10142","0","1","5142700"
"3","pt","5156000","1","5156007","13","1014","10156","0","1","5156700"
