c70924df1e1d1286a022ba3494fe1a5b52dafde295d866cb33238ad90d093fbd,b42cd0d71305173f166113cabb6aa4917b0ce30e4d53689432258d8d0d5a15f4,5ffd8798ed0dbf6ad76acb80173cc6d80cdd483540eaf41925bf7003ba9c7da8,b032cc8056b4bff193dd9873419901e2cde0d921dc061258f5f225707617786e,059d38e829ec2a289efde84689c8d31cd1d8793f0bd0852f760a38465c37bc06,cf64b525a215d710d537e5773208fe0fe9c921819cddd16bc5ef38daaeb5bf8e,9f79d4adb4461767e930115a3a2c7aeae141bf812d9a07426640bf89d9bcb66a,fb692c91a458780dc63591783e9206a81428d0bb9d40a6173308287211717e2a
"0","710000104","710000105","100","710000101","710000102","710100011","710000001"
"0","710000204","710000203","100","710000201","710000202","710100021","710000002"
"0","710000302","710000305","100","710000301","710000304","710100031","710000003"
"0","710000402","710000405","100","710000401","710000404","710100041","710000004"
"0","710000504","710000501","100","710000502","710000505","710100051","710000005"
"710000604","710000603","710000602","100","710000601","710000605","710100061","710000006"
"710000705","710000703","710000702","100","710000704","710000701","710100071","710000007"
"710000804","710000803","710000801","100","710000805","710000802","710100081","710000008"
"710000905","710000901","710000904","100","710000902","710000903","710100091","710000009"
"0","710001001","0","100","0","0","710100101","710000010"
"710001104","710001102","710001105","100","710001101","710001103","710100111","710000011"
"710001204","710001203","710001202","100","710001205","710001201","710100121","710000012"
"710001305","710001304","710001302","100","710001301","710001303","710100131","710000013"
"710001405","710001403","710001402","100","710001401","710001404","710100141","710000014"
"710001504","710001503","710001502","100","710001501","710001505","710100151","710000015"
"710001604","710001605","710001603","100","710001602","710001601","710100161","710000016"
"710001704","710001705","710001702","100","710001703","710001701","710100171","710000017"
"710001805","710001803","710001802","100","710001801","710001804","710100181","710000018"
"710001905","710001904","710001903","100","710001902","710001901","710100191","710000019"
"0","710002002","0","100","710002002","710002001","710100201","710000020"
"710002105","710002103","710002101","100","710002104","710002102","710100211","710000021"
"710002205","710002203","710002202","100","710002204","710002201","710100221","710000022"
"710002305","710002303","710002301","100","710002302","710002304","710100231","710000023"
"710002405","710002403","710002402","100","710002404","710002401","710100241","710000024"
"710002505","710002501","710002504","100","710002502","710002503","710100251","710000025"
"710002604","710002603","710002605","100","710002602","710002601","710100261","710000026"
"710002704","710002703","710002701","100","710002702","710002705","710100271","710000027"
"710002804","710002803","710002805","100","710002801","710002802","710100281","710000028"
"710002905","710002903","710002902","100","710002901","710002904","710100291","710000029"
"0","710003002","710003001","100","710003002","710003003","710100301","710000030"
"710003105","710003103","710003104","100","710003102","710003101","710100311","710000031"
"710003205","710003203","710003202","100","710003204","710003201","710100321","710000032"
"710003305","710003303","710003301","100","710003304","710003302","710100331","710000033"
"710003405","710003403","710003401","100","710003404","710003402","710100341","710000034"
"710003505","710003503","710003504","100","710003501","710003502","710100351","710000035"
"710003605","710003603","710003604","100","710003601","710003602","710100361","710000036"
"710003705","710003703","710003702","100","710003704","710003701","710100371","710000037"
"710003805","710003803","710003802","100","710003801","710003804","710100381","710000038"
"710003904","710003903","710003905","100","710003902","710003901","710100391","710000039"
"0","710004002","710004001","100","710004002","710004003","710100401","710000040"
"710004105","710004103","710004101","100","710004102","710004104","710100411","710000041"
"710004205","710004204","710004201","100","710004203","710004202","710100421","710000042"
"710004305","710004303","710004301","100","710004304","710004302","710100431","710000043"
"710004405","710004401","710004404","100","710004402","710004403","710100441","710000044"
"710004505","710004503","710004504","100","710004501","710004502","710100451","710000045"
"710004605","710004603","710004601","100","710004604","710004602","710100461","710000046"
"710004705","710004703","710004704","100","710004701","710004702","710100471","710000047"
"710004804","710004805","710004803","100","710004801","710004802","710100481","710000048"
"710004905","710004903","710004902","100","710004904","710004901","710100491","710000049"
"710005004","710005002","710005001","100","710005002","710005003","710100501","710000050"
"710005105","710005104","710005101","100","710005102","710005103","710100511","710000051"
"710005205","710005203","710005201","100","710005202","710005204","710100521","710000052"
"710005304","710005302","710005305","100","710005301","710005303","710100531","710000053"
"710005404","710005405","710005403","100","710005402","710005401","710100541","710000054"
"710005505","710005503","710005501","100","710005504","710005502","710100551","710000055"
"710005604","710005602","710005605","100","710005601","710005603","710100561","710000056"
"710005705","710005703","710005704","100","710005701","710005702","710100571","710000057"
"710005805","710005803","710005802","100","710005801","710005804","710100581","710000058"
"710005905","710005904","710005901","100","710005902","710005903","710100591","710000059"
"710006004","710006002","710006001","100","710006002","710006003","710100601","710000060"
"710006105","710006103","710006102","100","710006101","710006104","710100611","710000061"
"710006204","710006205","710006202","100","710006203","710006201","710100621","710000062"
"710006303","710006304","710006305","100","710006301","710006302","710100631","710000063"
"710006405","710006403","710006402","100","710006404","710006401","710100641","710000064"
"710006504","710006503","710006505","100","710006502","710006501","710100651","710000065"
"710006605","710006601","710006602","100","710006604","710006603","710100661","710000066"
"710006702","710006704","710006701","100","710006703","710006705","710100671","710000067"
"710006804","710006805","710006801","100","710006803","710006802","710100681","710000068"
"710006905","710006904","710006902","100","710006903","710006901","710100691","710000069"
"710007003","710007002","710007001","100","710007002","710007004","710100701","710000070"
"710007105","710007101","710007104","100","710007102","710007103","710200711","710000071"
"710007205","710007201","710007204","100","710007202","710007203","710200721","710000072"
"710007305","710007301","710007304","100","710007302","710007303","710200731","710000073"
"710007405","710007401","710007404","100","710007402","710007403","710200741","710000074"
"710007505","710007501","710007504","100","710007503","710007502","710200751","710000075"
"710007605","710007601","710007604","100","710007602","710007603","710200761","710000076"
"710007705","710007702","710007704","100","710007701","710007703","710200771","710000077"
"710007805","710007801","710007804","100","710007802","710007803","710200781","710000078"
"710007905","710007901","710007904","100","710007903","710007902","710200791","710000079"
"710008004","710008001","710008003","100","710008001","710008002","710200801","710000080"
"710008105","710008101","710008104","100","710008102","710008103","710200811","710000081"
"710008205","710008201","710008204","100","710008202","710008203","710200821","710000082"
"710008305","710008301","710008304","100","710008302","710008303","710200831","710000083"
"710008405","710008401","710008404","100","710008402","710008403","710200841","710000084"
"710008505","710008501","710008504","100","710008502","710008503","710200851","710000085"
"710008605","710008601","710008604","100","710008602","710008603","710200861","710000086"
"710008705","710008701","710008704","100","710008703","710008702","710200871","710000087"
"710008805","710008801","710008804","100","710008802","710008803","710200881","710000088"
"710008905","710008901","710008904","100","710008902","710008903","710200891","710000089"
"710009004","710009001","710009003","100","710009001","710009002","710200901","710000090"
"710009105","710009101","710009104","100","710009102","710009103","710200911","710000091"
"710009205","710009201","710009204","100","710009202","710009203","710200921","710000092"
"710009305","710009301","710009303","100","710009302","710009304","710200931","710000093"
"710009405","710009401","710009404","100","710009402","710009403","710200941","710000094"
"710009505","710009501","710009503","100","710009504","710009502","710200951","710000095"
"710009605","710009601","710009604","100","710009602","710009603","710200961","710000096"
"710009705","710009701","710009704","100","710009702","710009703","710200971","710000097"
"710009805","710009803","710009804","100","710009802","710009801","710200981","710000098"
"710009905","710009901","710009904","100","710009902","710009903","710200991","710000099"
"710010003","710010001","710010004","100","710010001","710010002","710201001","710000100"
"710010105","710010101","710010104","100","710010102","710010103","710201011","710000101"
"710010205","710010201","710010204","100","710010203","710010202","710201021","710000102"
"710010305","710010301","710010304","100","710010302","710010303","710201031","710000103"
"710010405","710010401","710010404","100","710010402","710010403","710201041","710000104"
"710010505","710010501","710010504","100","710010502","710010503","710201051","710000105"
"710010605","710010601","710010604","100","710010602","710010603","710201061","710000106"
"710010705","710010704","710010702","100","710010701","710010703","710201071","710000107"
"710010805","710010801","710010804","100","710010802","710010803","710201081","710000108"
"710010905","710010901","710010904","100","710010902","710010903","710201091","710000109"
"710011004","710011001","710011003","100","710011001","710011002","710201101","710000110"
"710011105","710011101","710011102","100","710011103","710011104","710301111","710000111"
"710011205","710011203","710011204","100","710011201","710011202","710301121","710000112"
"710011305","710011303","710011302","100","710011301","710011304","710301131","710000113"
"710011405","710011402","710011404","100","710011401","710011403","710301141","710000114"
"710011505","710011501","710011502","100","710011503","710011504","710301151","710000115"
"710011605","710011601","710011604","100","710011603","710011602","710301161","710000116"
"710011705","710011701","710011704","100","710011703","710011702","710301171","710000117"
"710011805","710011801","710011804","100","710011802","710011803","710301181","710000118"
"710011905","710011901","710011902","100","710011903","710011904","710301191","710000119"
"710012004","710012001","710012003","100","710012001","710012002","710301201","710000120"
"710012103","710012101","710012102","100","710012104","710012105","710301211","710000121"
"710012205","710012203","710012204","100","710012201","710012202","710301221","710000122"
"710012305","710012301","710012304","100","710012302","710012303","710301231","710000123"
"710012403","710012401","710012404","100","710012402","710012405","710301241","710000124"
"710012504","710012501","710012505","100","710012502","710012503","710301251","710000125"
"710012605","710012601","710012602","100","710012604","710012603","710301261","710000126"
"710012705","710012701","710012704","100","710012702","710012703","710301271","710000127"
"710012805","710012801","710012802","100","710012803","710012804","710301281","710000128"
"710012905","710012903","710012902","100","710012904","710012901","710301291","710000129"
"710013004","710013001","710013003","100","710013001","710013002","710301301","710000130"
"710013105","710013101","710013104","100","710013102","710013103","710401311","710000131"
"710013205","710013201","710013204","100","710013202","710013203","710401321","710000132"
"710013305","710013301","710013304","100","710013302","710013303","710401331","710000133"
"710013405","710013401","710013404","100","710013402","710013403","710401341","710000134"
"710013505","710013501","710013504","100","710013502","710013503","710401351","710000135"
"710013605","710013601","710013604","100","710013602","710013603","710401361","710000136"
"710013705","710013701","710013704","100","710013702","710013703","710401371","710000137"
"710013803","710013801","710013805","100","710013802","710013804","710401381","710000138"
"710013905","710013901","710013904","100","710013902","710013903","710401391","710000139"
"710014004","710014001","710014003","100","710014001","710014002","710401401","710000140"
"710014105","710014101","710014104","100","710014102","710014103","710401411","710000141"
"710014205","710014204","710014203","100","710014201","710014202","710401421","710000142"
"710014305","710014301","710014303","100","710014304","710014302","710401431","710000143"
"710014405","710014401","710014404","100","710014402","710014403","710401441","710000144"
"710014505","710014501","710014504","100","710014503","710014502","710401451","710000145"
"710014605","710014601","710014604","100","710014602","710014603","710401461","710000146"
"710014705","710014701","710014704","100","710014702","710014703","710401471","710000147"
"710014805","710014801","710014804","100","710014802","710014803","710401481","710000148"
"710014905","710014901","710014904","100","710014902","710014903","710401491","710000149"
"710015004","710015001","710015003","100","710015001","710015002","710401501","710000150"
"710015105","710015102","710015104","100","710015103","710015101","710501511","710000151"
"710015205","710015202","710015203","100","710015204","710015201","710501521","710000152"
"710015305","710015301","710015304","100","710015302","710015303","710501531","710000153"
"710015405","710015401","710015404","100","710015402","710015403","710501541","710000154"
"710015504","710015501","710015502","100","710015503","710015505","710501551","710000155"
"710015605","710015601","710015603","100","710015602","710015604","710501561","710000156"
"710015705","710015703","710015704","100","710015701","710015702","710501571","710000157"
"710015803","710015801","710015805","100","710015804","710015802","710501581","710000158"
"710015905","710015901","710015904","100","710015902","710015903","710501591","710000159"
"710016004","710016001","710016003","100","710016001","710016002","710501601","710000160"
"710016105","710016101","710016103","100","710016102","710016104","710501611","710000161"
"710016205","710016201","710016204","100","710016202","710016203","710501621","710000162"
"710016305","710016301","710016304","100","710016302","710016303","710501631","710000163"
"710016405","710016401","710016404","100","710016402","710016403","710501641","710000164"
"710016505","710016502","710016504","100","710016501","710016503","710501651","710000165"
"710016604","710016601","710016605","100","710016603","710016602","710501661","710000166"
"710016705","710016702","710016704","100","710016701","710016703","710501671","710000167"
"710016805","710016801","710016804","100","710016802","710016803","710501681","710000168"
"710016905","710016901","710016904","100","710016903","710016902","710501691","710000169"
"710017004","710017001","710017003","100","710017001","710017002","710501701","710000170"
"710017105","710017103","710017104","100","710017101","710017102","710601711","710000171"
"710017205","710017203","710017202","100","710017201","710017204","710601721","710000172"
"710017305","710017301","710017302","100","710017303","710017304","710601731","710000173"
"710017405","710017401","710017404","100","710017403","710017402","710601741","710000174"
"710017505","710017503","710017504","100","710017501","710017502","710601751","710000175"
"710017605","710017603","710017602","100","710017601","710017604","710601761","710000176"
"710017705","710017703","710017702","100","710017701","710017704","710601771","710000177"
"710017805","710017803","710017804","100","710017801","710017802","710601781","710000178"
"710017905","710017903","710017902","100","710017904","710017901","710601791","710000179"
"710018002","710018001","710018003","100","710018004","710018005","710601801","710000180"
"710018104","710018103","710018102","100","710018103","710018101","710601811","710000181"
"710018205","710018203","710018202","100","710018204","710018201","710601821","710000182"
"710018304","710018303","710018302","100","710018303","710018301","710601831","710000183"
"710018405","710018403","710018404","100","710018401","710018402","710601841","710000184"
"710018505","710018503","710018504","100","710018501","710018502","710601851","710000185"
"710018605","710018603","710018602","100","710018601","710018604","710601861","710000186"
"710018705","710018703","710018702","100","710018701","710018704","710601871","710000187"
"710018805","710018803","710018802","100","710018801","710018804","710601881","710000188"
"710018905","710018903","710018902","100","710018901","710018904","710601891","710000189"
"710019005","710019004","710019003","100","710019001","710019002","710601901","710000190"
"710019105","710019101","710019104","100","710019102","710019103","710701911","710000191"
"710019205","710019201","710019204","100","710019202","710019203","710701921","710000192"
"710019305","710019301","710019304","100","710019302","710019303","710701931","710000193"
"710019405","710019401","710019404","100","710019402","710019403","710701941","710000194"
"710019505","710019501","710019504","100","710019502","710019503","710701951","710000195"
"710019605","710019601","710019604","100","710019602","710019603","710701961","710000196"
"710019705","710019701","710019704","100","710019702","710019703","710701971","710000197"
"710019805","710019801","710019804","100","710019802","710019803","710701981","710000198"
"710019905","710019901","710019904","100","710019902","710019903","710701991","710000199"
"710020005","710020001","710020004","100","710020002","710020003","710702001","710000200"
"710020105","710020101","710020104","100","710020102","710020103","710702011","710000201"
"710020205","710020201","710020204","100","710020202","710020203","710702021","710000202"
"710020305","710020301","710020304","100","710020302","710020303","710702031","710000203"
"710020405","710020401","710020404","100","710020402","710020403","710702041","710000204"
"710020505","710020501","710020504","100","710020502","710020503","710702051","710000205"
"710020605","710020601","710020604","100","710020602","710020603","710702061","710000206"
"710020705","710020701","710020704","100","710020702","710020703","710702071","710000207"
"710020805","710020801","710020804","100","710020802","710020803","710702081","710000208"
"710020905","710020901","710020904","100","710020902","710020903","710702091","710000209"
"710021005","710021001","710021004","100","710021002","710021003","710702101","710000210"
"710021105","710021101","710021104","100","710021102","710021103","710802111","710000211"
"710021205","710021201","710021204","100","710021202","710021203","710802121","710000212"
"710021305","710021301","710021304","100","710021302","710021303","710802131","710000213"
"710021405","710021401","710021404","100","710021402","710021403","710802141","710000214"
"710021505","710021501","710021504","100","710021502","710021503","710802151","710000215"
"710021605","710021601","710021604","100","710021602","710021603","710802161","710000216"
