947d8984e0fe7d606827568b73bbf7a455e97a0cb07e683bcd03de192a06dc0d,be737bdf6e77e9b3454384f2c94e154a6db4b0285f2d4352da28e58011952d8e,3d20dcb65e79dfa0bfcc9c28bb2b93c8e26c5a5c5b197ad3552159eaa988f784,94a1f7b15fe4a51d1451ce80fcbd1a4e1506981977359d15a17a408264aaeea7,6b6bf6cf91ca57cfecd27c6ad51e33abb7517dfe0f910b01df65b5f90f3367e9,ba4b377b9d7e8bad2767e132ce45cf8a569bd4a5bb775b1d68bcc88fbbc70323
"-1480","11","1","1","2816","-1480"
"-1302","21","1","1","2816","-1400"
"-1263","31","1","1","2816","-1302"
"-1224","41","1","1","2816","-1263"
"-1185","51","1","1","2816","-1224"
"-1146","61","1","1","2816","-1185"
"-1146","71","1","1","2816","-1146"
"-1146","81","1","1","2816","-1146"
"-1107","91","1","1","2816","-1146"
"-1068","101","1","1","2816","-1107"
"-1029","111","1","1","2816","-1068"
"-1029","121","1","1","2816","-1029"
"-1029","131","1","1","2816","-1029"
"-1029","141","1","1","2816","-1029"
"-988","151","1","1","2816","-1029"
"-947","161","1","1","2816","-988"
"-906","171","1","1","2816","-947"
"-865","181","1","1","2816","-906"
"-865","191","1","1","2816","-865"
"-865","201","1","1","2816","-865"
"-824","211","1","1","2816","-865"
"-783","221","1","1","2816","-824"
"-742","231","1","1","2816","-783"
"-701","241","1","1","2816","-742"
"-660","251","1","1","2816","-701"
"-619","261","1","1","2816","-660"
"-619","271","1","1","2816","-619"
"-619","281","1","1","2816","-619"
"-619","291","1","1","2816","-619"
"-578","301","1","1","2816","-619"
"-537","311","1","1","2816","-578"
"-496","321","1","1","2816","-537"
"-496","331","1","1","2816","-496"
"-496","341","1","1","2816","-496"
"-496","351","1","1","2816","-496"
"-455","361","1","1","2816","-496"
"-414","371","1","1","2816","-455"
"-373","381","1","1","2816","-414"
"-332","391","1","1","2816","-373"
"-332","401","1","1","2816","-332"
"-332","411","1","1","2816","-332"
"-200","421","1","1","2816","-332"
"-1181","431","2","2","2816","-1246"
"-1152","441","2","2","2816","-1181"
"-1152","451","2","2","2816","-1152"
"-1123","461","2","2","2816","-1152"
"-1094","471","2","2","2816","-1123"
"-1094","481","2","2","2816","-1094"
"-1065","491","2","2","2816","-1094"
"-1065","501","2","2","2816","-1065"
"-1036","511","2","2","2816","-1065"
"-1036","521","2","2","2816","-1036"
"-1007","531","2","2","2816","-1036"
"-978","541","2","2","2816","-1007"
"-978","551","2","2","2816","-978"
"-949","561","2","2","2816","-978"
"-920","571","2","2","2816","-949"
"-891","581","2","2","2816","-920"
"-862","591","2","2","2816","-891"
"-862","601","2","2","2816","-862"
"-862","611","2","2","2816","-862"
"-862","621","2","2","2816","-862"
"-833","631","2","2","2816","-862"
"-804","641","2","2","2816","-833"
"-775","651","2","2","2816","-804"
"-746","661","2","2","2816","-775"
"-717","671","2","2","2816","-746"
"-688","681","2","2","2816","-717"
"-659","691","2","2","2816","-688"
"-630","701","2","2","2816","-659"
"-601","711","2","2","2816","-630"
"-572","721","2","2","2816","-601"
"-543","731","2","2","2816","-572"
"-514","741","2","2","2816","-543"
"-449","751","2","2","2816","-514"
