217c1fe033d48a1c59f300c9b06c8ff8e0697e15bb9088fd08de3e4f7dabc79a,07468f0a66f3ef35bbb83f07a3bd77b3a1816964c4e639e1a8492890c1c00104,39a08ba03d7226d5a83b06406488cb928377f99e00cd4257f6aba9917d21ff41,c5f4fc3e044c351b665a939a40eea3ae416079ded5ffb77db20cb149d160d22d,12e674ba3a3d7fd3e915ec9f2ae3bfbbe392c3f453ddbe09f339274f04c83020,21b7512f32144d88beb6223076a982d0ce2c004a9100b6b066e8999555b5fbbf
"1","3001","2023/11/30 12:00:00","118001","1013206","バトル開始後90秒間物理攻撃力極大\nアップ"
"2","3002","2023/11/30 12:00:00","118001","1013206","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ"
"3","3010","2023/11/30 12:00:00","118001","1013206","バトル開始後90秒間ＴＰ上昇大アップ"
"4","3001","2023/11/30 12:00:00","105801","1013206","バトル開始後90秒間物理攻撃力極大\nアップ"
"5","3004","2023/11/30 12:00:00","105801","1013206","バトル開始後90秒間魔法防御力極大\nアップ"
"6","3005","2023/11/30 12:00:00","105801","1013206","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）"
"7","3001","2023/11/30 12:00:00","107501","1013206","バトル開始後90秒間物理攻撃力極大\nアップ"
"8","3002","2023/11/30 12:00:00","107501","1013206","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ"
"9","3010","2023/11/30 12:00:00","107501","1013206","バトル開始後90秒間ＴＰ上昇大アップ"
"10","3001","2023/11/30 12:00:00","111801","1013206","バトル開始後90秒間物理攻撃力絶大\nアップ"
"11","3004","2023/11/30 12:00:00","111801","1013206","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効"
"13","3001","2023/11/30 12:00:00","121001","1013206","バトル開始後90秒間物理攻撃力絶大\nアップ"
"14","3004","2023/11/30 12:00:00","121001","1013206","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効"
"16","3001","2023/11/30 12:00:00","180401","1013206","バトル開始後90秒間物理攻撃力極大\nアップ"
