ed263fdb0f8d1394ec160a16e66fa979c79afc55f3ecf0de3a1e7d54bf5a0940,b56a6a1acf270607df99b0a223c2bbf280dc40a562ea17dbdc0d69f74084f814,c3b2b8a3457a5a33388c75aadd28e878c17991c1bfa8aa34484eeb46fa52975a,844282afa092cee598a06b3144625853d80c66e53ef32efd9ae36b492d59b078,e45b40321cedf309190d200dd3bbca1d56fb7480a95100b7983df57b036cf745,7c276623d04f70c04ea6ea5064538c87da7b3db6e4facfcd90fe3dba5808f7e9,a7147e168d3044d430087c0faf2320af78565c0bb247e46e9742fec71a5ff0f3,f6c246c6c92a5673880b5790fdae47e7ae8365f46a5218ce820a4a7ad3523ac2,e7778eb2af4452af77a9053f41a854b054c6c5212c096225c2f944651e6fd745,8ee80f5c02cd8ca4a6c887a83ec9d9692ded02504146d871123c57c5d387f888,6daa3f60fb1cef5be466f72fb6b270fbe18a85e21542807d24d2b6c52fa58797,7c72790e64f3efd380c18d61e69700bd4b49c6fc705bc11e86b580dc29fc3c83,9f09789b91419ea9b7a159ab0128c3e46abafd9dbe7f0f01af3ded61b999187d,326cf3a162771389bc2a038c25ca399adebd902c5af39f1d6e4681b0bb9ff288,596c220137fffabbd816c2fa75c85c990b04ee94285a35a67885ad5735566d21,f99b111fbde6e81177b884b36ea86ff275a9abbb22216b9afbffb22dea6e4bf8,f6d27b69eea9027b1c1c12a04caa87bf5d93ba17191e8f3c82cc5d4a4e7e9b8d,e36404e485bc2ae34ca32f801672a323bf920e1285d089d92b82de6b457c4190
"150000","1","5","8","12","22003","0","20003","2","150","2","1","94002","20","0","91002","0","5"
"100000","6","2","8","12","22003","0","20003","2","145","2","2","94002","15","0","91002","0","9"
"80000","10","5","8","12","22002","0","20003","2","140","2","3","94002","11","0","91002","0","19"
"80000","20","5","8","12","22002","0","20003","2","130","2","4","94002","10","0","91002","0","29"
"70000","30","4","8","12","22002","0","20003","2","120","2","5","94002","9","0","91002","0","39"
"70000","40","4","8","12","22002","0","20003","2","110","2","6","94002","8","0","91002","0","49"
"60000","50","3","8","12","22002","0","20003","2","100","2","7","94002","7","0","91002","0","99"
"40000","100","2","8","12","22002","0","20003","2","80","2","8","94002","2","0","91002","0","499"
"20000","500","1","8","12","22002","0","20002","2","50","2","9","94002","7","0","91002","0","999"
"16000","1000","3","8","12","22001","0","20002","2","20","2","10","94002","4","0","91002","0","4999"
"9000","5000","2","8","12","22001","0","20002","2","15","2","11","94002","3","0","91002","0","9999"
"4000","10000","1","8","12","22001","0","20001","2","10","2","12","94002","8","0","91002","0","11999"
"3000","12000","1","8","12","22001","0","20001","2","5","2","13","94002","7","0","91002","0","13999"
"2000","14000","1","8","12","22001","0","20001","2","4","2","14","94002","6","0","91002","0","14999"
"1800","15000","1","8","12","22001","0","20001","2","3","2","15","94002","5","0","91002","0","30000"
