a1a6242f2caf27cdb3addb1663ef68ed27bda3d649f5cccf4d6d2197c892e1d1,f32f4a9c514949a5f52f085d43bd226a3abaca4cff6f8da5e9e0c0e8ac622271,313cb55c1574aa38d82514def6e6ee3768fb440de5615187bba70bb39eb9dd94,7e645bb9fd4a8fa447f7a488872d30044bb05477da23ba409cb3ad00f474654d,7c82e7d87eb70e3bbd2618075507b7e71f99f8dca3ff4f89a249c46c3b751393
"0","0","0","0","1"
"0","0","0","0","2"
"0","0","0","0","3"
"2","0","0","0","4"
"2","0","0","0","5"
"2","0","0","0","6"
"3","0","0","0","7"
"3","0","0","0","8"
"3","0","0","0","9"
"4","0","0","0","10"
"4","0","0","0","11"
"4","0","0","0","12"
"0","0","0","0","13"
"0","0","0","0","14"
"0","0","0","0","15"
"0","2","0","0","16"
"0","2","0","0","17"
"0","2","0","0","18"
"0","3","0","0","19"
"0","3","0","0","20"
"0","3","0","0","21"
"3","0","0","0","22"
"3","0","0","0","23"
"2","0","0","0","24"
"2","0","0","0","25"
"0","2","0","0","26"
"0","2","0","0","27"
"2","0","3","0","28"
"2","0","3","0","29"
"3","2","0","0","30"
"3","2","0","0","31"
"3","3","0","0","32"
"0","3","0","0","33"
"3","0","4","0","34"
"0","0","0","0","35"
"2","2","0","0","36"
"2","2","0","0","37"
"4","3","0","0","38"
