5cdeba8a828a08133f2b27766a5ba1528aaea29471aefb69aab7a48bc39523fb,6614eb515d5ef2918748051c0b125fcd0e3233dcf0a6e2b465d4fd64218506df,33dfbe0d3eeadc166c00fd73fd3cc2cd6d66ad444be9f67aaa9f131c03156ac7,9697fceb642cc5c6b585f117192b62507f5fb36fe657305802b11f1f47d847ff,df3c7774a78e512d669a99f6f229a790f7519517ede948a0616822d9c423083e,8ef20690641b94f043224c19f8244237d09fea76ec00709e3eefce80b631384d
"150","0","150","1","1","10"
"250","0","400","1","2","10"
"400","0","800","1","3","10"
"150","0","150","2","1","20"
"250","0","400","2","2","20"
"400","0","800","2","3","20"
"500","1","1300","2","4","20"
"800","0","800","3","1","30"
"1000","0","1800","3","2","30"
"1200","0","3000","3","3","30"
"1400","1","4400","3","4","30"
"1600","2","6000","3","5","30"
"800","0","800","4","1","40"
"1000","0","1800","4","2","40"
"1200","0","3000","4","3","40"
"1400","1","4400","4","4","40"
"1600","2","6000","4","5","40"
"0","0","0","5","0","0"
