ac0162aa0d3c634da77f46b3405f2216f2f83cb8729490bde7417c8a851a4aaf,225c7d1c76697fd763a33adfb28e3406302159ea0aaa59600ff5c720c58780ad,1e6480d371a6f07a1b27ad8d674892a2558500b701e19979b643483b9100f1c9,a501aa48a89d072ba2b6354993f159e768ecfebb2b6af119c3d89ca5f85e640e,4f8d87484fe151c35d9b68def19bff9d6b4580dcb44f51f1772ffc842a48e346,a6e542fe3b64de34b452f12d7a4c9fc16cd2cd21320683d249a6254b333a302e,df33a1797d3e060d8865d561ccdb953fc6d7d63c19ba629c22819f3bef1e1265
"細かいディテールにこだわった躍動感あふれる至高のツムギフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","0.3046875","ツムギのフィギュア","3","0.478515625","10101","1"
"細かいディテールにこだわった躍動感あふれる至高のノゾミフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","0.365234375","ノゾミのフィギュア","3","0.490234375","10102","1"
"細かいディテールにこだわった躍動感あふれる至高のチカフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","0.291015625","チカのフィギュア","3","0.478515625","10103","1"
"ツムギの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","0.440625","ツムギ直筆サイン色紙","3","0.440625","10201","2"
"ノゾミの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","0.440625","ノゾミ直筆サイン色紙","3","0.440625","10202","2"
"チカの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","0.440625","チカ直筆サイン色紙","3","0.440625","10203","2"
"ツムギのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","1.40625","ツムギのメモリアルピンバッジ","3","1.40625","10301","3"
"ノゾミのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","1.40625","ノゾミのメモリアルピンバッジ","3","1.40625","10302","3"
"チカのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","1.40625","チカのメモリアルピンバッジ","3","1.40625","10303","3"
"サマーライブ開催を記念し作られた限定メモリアルピンバッジ。\nエンブレムが刻印された高級感のある珠玉の一品。各メンバーの\nバッジと一緒にそろえよう！","1.40625","カルミナメモリアルピンバッジ","3","1.40625","10304","3"
"ツムギのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ツムギへの熱い思いがいっそう高まること間違いなし。","1.0875","ツムギのブロマイド","2","0.675","10401","7"
"ツムギのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","1.0875","ツムギのサマーブロマイド","2","0.675","10402","7"
"ツムギのハロウィン衣装のブロマイドセット。ハロウィンの時しか\n見られない貴重なショットの数々。甘いお菓子と悪戯、どっちも\n魅力的。ハッピーハロウィン！","1.0875","ツムギのハロウィンブロマイド","2","0.675","10403","7"
"ノゾミのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ノゾミへの熱い思いがいっそう高まること間違いなし。","1.0875","ノゾミのブロマイド","2","0.675","10404","7"
"ノゾミのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","1.0875","ノゾミのサマーブロマイド","2","0.675","10405","7"
"ノゾミのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。","1.0875","ノゾミのクリスマスブロマイド","2","0.675","10406","7"
