1f587945e26e2be60461d4c54012e82e0167835e0a64c00c8966f45087fd4672,eefe308079e6d791505aac970335471be13a27d23629383991c5a7b86f3971da,ec7d1e1b86aa292522e86c807ee34c43846dc1585481e7202effbd009432db7f,1ba4dc132826bd01962e75ad19101cedcd20782e5e62a3729bf72da053a78456,8a87a98e8f1baae43f0f0830b799956d8fdd74e9862493d60f008c482b5206d1,b6930f447b0e58e8c9a8a6d18a4e9c0eab52913cb3108a94e4ceb27e635011af,3b34afb6f74a9facf8205ed2295e36eaa3ee071a5f10e116621da2aa0a4cb386,868f0771422fbf4a7fc6f485deb978be8d346171cf9802081bd92b81038320e8,b9202de6460ce4c9fab84649aa24c04b2be5a86507c6d0114559687963da5ec2,5cfd48b36aadc80a06385852b5d095aaf01097ecb1aeca60615946edbf73e86c,34b923536bd5aad7423349e71ea7d1c83ad3e20ac3bff697143e6a20eae7b3c1
"0","0","380000","30001","1","380000","0","2015/04/01 15:00:00","0","2018/02/28 14:59:59","1"
"0","0","380000","30002","1","380000","0","2018/02/28 15:00:00","0","2018/03/15 14:59:59","2"
"0","0","380000","30003","1","380000","0","2018/03/15 15:00:00","0","2018/03/31 14:59:59","3"
"0","0","380000","30004","1","380000","0","2018/03/31 15:00:00","0","2018/04/16 14:59:59","4"
"0","0","380000","30005","1","380000","0","2018/04/16 15:00:00","0","2018/04/30 11:59:59","5"
"0","0","380000","30006","1","380000","0","2018/04/30 12:00:00","0","2018/05/15 14:59:59","6"
"0","0","380000","30007","1","380000","0","2018/05/15 15:00:00","0","2018/05/31 11:59:59","7"
"0","0","380000","30008","1","380000","0","2018/05/31 12:00:00","0","2018/06/15 14:59:59","8"
"0","0","380000","30009","1","380000","0","2018/06/15 15:00:00","0","2018/06/30 11:59:59","9"
"0","0","380000","30010","1","380000","0","2018/06/30 12:00:00","0","2018/07/17 14:59:59","10"
"0","0","380000","30011","1","380000","0","2018/07/17 15:00:00","0","2018/07/31 11:59:59","11"
"0","0","380000","30012","1","380000","0","2018/07/31 12:00:00","0","2018/08/21 14:59:59","12"
"0","0","380000","30014","1","380000","0","2018/08/31 12:00:00","0","2018/08/31 12:00:59","13"
"0","0","380000","40001","1","380000","0","2018/08/21 15:00:00","0","2018/08/31 11:59:59","14"
"0","0","380000","30014","1","380000","0","2018/08/31 12:01:00","0","2018/09/18 14:59:59","15"
"0","0","380000","30015","1","380000","0","2018/09/18 15:00:00","0","2018/09/30 11:59:59","16"
"0","0","380000","30016","1","380000","0","2018/09/30 12:00:00","0","2018/10/18 14:59:59","17"
"0","0","380000","30017","1","380000","0","2018/10/18 15:00:00","0","2018/10/31 11:59:59","18"
"380000","0","0","50018","2","380000","0","2018/10/31 12:00:00","380000","2018/11/03 18:59:59","19"
"0","0","380000","30019","1","380000","0","2018/11/03 19:00:00","0","2018/11/19 14:59:59","20"
"0","0","380000","30020","1","380000","0","2018/11/19 15:00:00","0","2018/11/30 11:59:59","21"
"0","0","380000","30021","1","380000","0","2018/11/30 12:00:00","0","2018/12/19 14:59:59","22"
"0","0","380000","30022","1","380000","0","2018/12/19 15:00:00","0","2018/12/31 11:59:59","23"
"380000","0","0","50023","2","380000","0","2018/12/31 12:00:00","380000","2019/01/03 18:59:59","24"
