2c9d5d35e1144e3fb3e08d8d92a4d7e7757fada7209df4ba5e20bf7a5f536c12,37bd29ee69028cd120f58c0b7ff8c48a7a7bc489c8c005db8f8cf65a789ac4f8,7d020277e269d13a8d284c0abc524f28f5966bc599a4f2e60558a05ed8e5bad0,5bcd8f32caf50a670118a2f9a58d3f3db31c0c8d0ed97a12076b15f8633b525b,c718ad3568d44c8f4a2401f19b3031b3b571fdff971d838ec8eac32092d7e2ce,5c3a530d4b2a86226fff469921e30f7a5b010729d9c7f1a2723aabc6b2270e89,cf73d26c836755a894fe84f4d0ea74f39ea29bbfd1c84ade359eb10c27071818
"100","200","250","50","150","1004","1"
"160","320","400","80","240","1004","2"
"100","200","250","50","150","1004","3"
"100","200","250","50","150","1004","5"
"160","320","400","80","240","1004","6"
"1","2","3","1","1","1004","12"
"100","200","250","50","150","1005","1"
"100","200","250","50","150","1005","3"
"160","320","400","80","240","1005","4"
"100","200","250","50","150","1005","5"
"160","320","400","80","240","1005","7"
"1","2","3","1","1","1005","13"
