8bcf5133a7f8d2cd9ddbcdba171dd1e9df11f94e19ab22822f5acce02fe3763b,1262e55c34427e8b86fb20767444d411b649cd5047e87ee0f18ce31a505cae2c,ce0655d9e322fe5c7066cb2760f0f2418c07dff2e066389ff7e1f6dedc879c75,f902c758ad2fbfa63ed2d48d15902549c7a70315e2f88e1950655a994dd9b97a,a3e9925890fb136d0d6893faef68f4538762fc755ff8984949edd4f366d6ba93
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","12","92407010","1"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit","92407010","2"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","92407010","3"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17","92407010","4"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","9","92407010","5"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","12","92407020","6"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit","92407020","7"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","92407020","8"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17","92407020","9"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","9","92407020","10"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","12","92407030","11"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit","92407030","12"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","92407030","13"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17","92407030","14"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","9","92407030","15"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","12","92407110","16"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18","92407110","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit","92407110","18"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","92407110","19"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17","92407110","20"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","9","92407110","21"
"バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut","92407110","22"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","12","92407120","23"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18","92407120","24"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit","92407120","25"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","92407120","26"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","17","92407120","27"
"バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","9","92407120","28"
"バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","boss_tp_down_cut","92407120","29"
"火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","12","92407130","30"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","18","92407130","31"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","boss_def_lower_limit","92407130","32"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","92407130","33"
