4ae5db4c2573f790acccc02272215426d1c6ec23b26043792dd478187eedd5b0,79cd3f37fcc9e72ab12e40561a0c923b09368accbd4f8443f9245ed66fbbdbcf,315f69839e85b9ee7cdebea81045f4f8ff869b381d1fd0eb86a958182933a9a6,1356534515e984f9ec5806d87f90fd7269b1815f77c82cb5be31135eb841e984,9586b591b9151d3ada3feb96f4f703f40865f1542466dcfaf3e32aa3b17b7360
"0","0","1001","1","1"
"0","0","1002","1","2"
"0","0","1003","1","3"
"0","0","1004","1","4"
"0","0","2001","2","1"
"0","0","2002","2","2"
"0","0","2003","2","3"
"0","0","2004","2","4"
"0","1","2101","2","1"
"0","1","2102","2","2"
"0","1","2103","2","3"
"0","1","2104","2","4"
"10001","2","2111","2","11"
"10001","2","2112","2","12"
"10001","2","2113","2","13"
"0","0","3001","3","1"
"0","0","3002","3","2"
"0","0","3003","3","3"
"0","0","3004","3","4"
"0","0","4001","4","1"
"0","0","4002","4","2"
"0","0","4003","4","3"
"0","0","4004","4","4"
"0","0","4005","4","100"
"0","1","5010","5","10101"
"1","2","5020","5","10201"
"2","2","5021","5","10202"
"0","3","5030","5","10301"
"1","3","5031","5","10301"
"0","4","5040","5","10302"
"0","5","5050","5","10303"
"0","6","5060","5","10304"
"0","1","6001","6","90001"
"0","2","6002","6","90001"
"1","2","6003","6","90001"
"0","3","6006","6","90001"
"1","3","6007","6","91101"
"2","3","6008","6","91201"
"3","3","6009","6","91301"
"0","4","6010","6","90001"
"1","4","6011","6","91101"
"2","4","6012","6","91201"
"3","4","6013","6","91301"
"0","5","6014","6","90001"
"1","5","6015","6","91101"
"2","5","6016","6","91201"
"3","5","6017","6","91301"
"0","6","6018","6","90001"
"1","6","6019","6","91101"
"2","6","6020","6","91201"
"3","6","6021","6","91301"
"0","7","6022","6","92001"
"1","7","6023","6","92101"
"2","7","6024","6","92201"
"3","7","6025","6","92301"
"4","7","6026","6","92401"
"0","8","6027","6","92001"
"1","8","6028","6","92101"
"2","8","6029","6","92201"
"3","8","6030","6","92301"
"4","8","6031","6","92401"
"0","9","6032","6","92001"
"1","9","6033","6","92101"
"2","9","6034","6","92201"
"3","9","6035","6","92301"
"4","9","6036","6","92401"
"0","10","6037","6","90001"
"1","10","6038","6","90101"
"2","10","6039","6","90201"
"3","10","6040","6","90301"
"4","10","6041","6","90401"
"0","0","7000","7","90002"
"1","0","7001","7","90002"
"2","0","7002","7","90003"
"1","2","7003","7","90002"
"2","2","7004","7","90003"
"1","3","7005","7","91102"
"2","3","7006","7","91103"
"1","4","7007","7","91102"
"2","4","7008","7","91103"
"1","5","7009","7","91102"
"2","5","7010","7","91103"
"1","6","7011","7","91102"
"2","6","7012","7","91103"
"1","7","7013","7","92102"
"2","7","7014","7","92103"
"1","8","7015","7","92102"
"2","8","7016","7","92103"
"1","9","7017","7","92102"
"2","9","7018","7","92103"
"1","10","7019","7","90102"
"2","10","7020","7","90103"
"0","0","9001","9","20101"
"0","0","10001","10","20201"
"0","1","10002","10","20202"
"0","8","10180","101","10501"
"0","1","100001","100","1"
"0","2","100002","100","1"
"0","3","100003","100","2"
"0","4","100004","100","2"
"0","5","100005","100","2"
"0","6","100006","100","2"
"0","7","100007","100","3"
"0","8","100008","100","3"
"0","9","100009","100","3"
"0","10","100010","100","1"
"0","98001","980001","101","10301"
"2","98001","980002","101","10402"
"1","98011","980011","101","10401"
"2","98012","980012","101","10402"
