ddd2dc90cb4e2aca39f2ae7ccae1e727ea8422d97a2bdc5b56c0fd7e347b88cc,1044319fd232c61d647419f84fd64c2b34e04f284f1073d69e29afde3898260d,07074b991a457cd446e2924250a6c4f51f60f4863701cde7caefd42da9af789d,3147dcef27b734becdabbd0fd6f33b14fed6f580ac5eccaa55710b930ffed6e5,0c16c4f4fcc926f95f9214fb5234779f0d59e7d48f6e01972cd0094edaadaeea,bbcf130b2a06e1e8af762aed03dadbf2946546f36d35e4a887468bbef12466eb,3cd816e3db14e32b7035392008b213e50f23c9c3ba81fc29b7b9eae121f6e628,118d4d21ce98f51442479489e4af46ebc37ede0c2a831b3b8f915145b840fd55,bb8e809e3af5d4736444eeb635034c4883fb0989282776a197785697d4de576f,324dcb6443504ed937e5ea45f4b919ed242522311d5e34a9800293f40bfe13aa,c40288f98c9261902a480acfaccbb6ffe4490d35efcb92e958030add270c6210,1a6d68f2b1203e68383a27001da7763e63693ef5f3a20477be8fccfa24d7e350
"1","0","0","107601","2018/07/19 14:59:59","0","2018/06/30 12:00:00","0","10004","107601","1004","5004401"
"2","0","1","107601","2018/07/19 14:59:59","0","2018/06/30 12:00:00","0","10004","1000403","1002","5004402"
"3","0","0","107701","2018/07/19 14:59:59","0","2018/06/30 12:00:00","0","10004","10","1001","5004403"
"4","0","0","107501","2018/07/19 14:59:59","0","2018/06/30 12:00:00","0","10004","20","1001","5004404"
"5","0","0","107601","2018/07/19 14:59:59","0","2018/06/30 12:00:00","0","10004","30","1001","5004405"
"6","0","0","107501","2018/07/19 14:59:59","0","2018/06/30 12:00:00","0","10004","2","1003","5004406"
"7","0","0","107601","2018/07/19 14:59:59","0","2018/06/30 12:00:00","0","10004","5","1003","5004407"
"8","0","0","107801","2018/07/19 14:59:59","0","2018/06/30 12:00:00","0","10004","8","1003","5004408"
"9","0","0","107701","2018/07/19 14:59:59","0","2018/06/30 12:00:00","0","10004","12","1003","5004409"
"10","0","0","107501","2018/07/19 14:59:59","0","2018/06/30 12:00:00","0","10004","16","1003","5004410"
"11","0","0","107601","2018/07/19 14:59:59","0","2018/06/30 12:00:00","0","10004","20","1003","5004411"
"12","0","0","108001","2018/08/19 14:59:59","0","2018/07/31 12:00:00","0","10005","108001","1004","5005401"
"13","0","1","107901","2018/08/19 14:59:59","0","2018/07/31 12:00:00","0","10005","1000503","1002","5005402"
"14","0","0","108001","2018/08/19 14:59:59","0","2018/07/31 12:00:00","0","10005","10","1001","5005403"
"15","0","0","107901","2018/08/19 14:59:59","0","2018/07/31 12:00:00","0","10005","20","1001","5005404"
"16","0","0","108001","2018/08/19 14:59:59","0","2018/07/31 12:00:00","0","10005","30","1001","5005405"
"17","0","0","107901","2018/08/19 14:59:59","0","2018/07/31 12:00:00","0","10005","2","1003","5005406"
"18","0","0","108001","2018/08/19 14:59:59","0","2018/07/31 12:00:00","0","10005","5","1003","5005407"
"19","0","0","107901","2018/08/19 14:59:59","0","2018/07/31 12:00:00","0","10005","8","1003","5005408"
"20","0","0","108001","2018/08/19 14:59:59","0","2018/07/31 12:00:00","0","10005","12","1003","5005409"
"21","0","0","107901","2018/08/19 14:59:59","0","2018/07/31 12:00:00","0","10005","16","1003","5005410"
