e0fb32aca606192247580febd73e9983ffda31f3f5c0fc2981750310ad34150d,73acf91bb856a0e852c376562ed5265641d8fd47b31231991c7d7e1a841639f6,522f2afce920cc5d9e5aad65172e538caaa1bfa7f3a5cb30a7f454f4c80916d3,945babe21e909e8468c62ff4f25b0b42664b70d4ca21c6f741e6ceeaa060c438,27d7602fd560c0eca97408e60e679e1664e3ece6bd12f3754f5c8c6a905b13db
"10213","1","5213062","10213001","9000277"
"10213","2","5213064","10213002","9000278"
"10213","3","5213066","10213003","9000279"
"10213","4","5213068","10213004","9000280"
"10213","5","5213070","10213005","9000281"
"10213","6","5213072","10213006","9000282"
"10213","7","5213074","10213007","9000283"
"10213","8","5213076","10213008","9000284"
"10213","9","5213078","10213009","9000285"
"10213","10","5213080","10213010","9000286"
"10213","11","5213082","10213011","9000287"
"10213","12","5213084","10213012","9000288"
"10213","13","5213086","10213013","9000289"
"10213","14","5213088","10213014","9000290"
"10213","15","5213090","10213015","9000291"
"10213","16","5213092","10213016","9000292"
"10213","17","5213094","10213017","9000293"
"10213","18","5213096","10213018","9000294"
"10213","19","5213098","10213019","9000295"
"10213","20","5213100","10213020","9000296"
"10213","21","5213102","10213021","9000297"
