43c16d742eaf6d4cdb7848097a2e637c7d1b86b97c51314ff733e990af8b46cd,8bceb09b5cd90fd5f3afe80de1ce260cfe1badefa09988c0a8c9a44c9db88f5e,8a89c3a51e5df69226b20e3018b540fadfcd332b2ed7da4f3c33f9f6f6f26b8f,5ad5abdcd240b03b1caa6d7d03c84c580742a11284daf4858048296b6d95dfec,31b17ff19c1f18fa7a9e4df5e64c7abbdc25f63022097d981c5b46b7a03cc1b0,26747d0ebb5acfcfadfc09a72d0b061f765c9dad8a597974a0983788f1d76df6,350ad8a0ee2c84270e5da3c0bfb7fb26919f267eb7dbb06477443fe3dc7bfdd0
"1001","2018/09/18 14:59:59","2018/09/18 5:00:00","2018/09/17 14:59:59","2018/09/13 12:00:00","1","7001000"
"1002","2018/10/18 14:59:59","2018/10/18 5:00:00","2018/10/17 14:59:59","2018/10/13 12:00:00","2","7002000"
"1003","2018/11/19 14:59:59","2018/11/19 5:00:00","2018/11/18 14:59:59","2018/11/14 12:00:00","3","7003000"
"1004","2018/12/19 14:59:59","2018/12/19 5:00:00","2018/12/18 14:59:59","2018/12/14 12:00:00","4","7003003"
"1005","2019/01/19 14:59:59","2019/01/19 5:00:00","2019/01/18 14:59:59","2019/01/14 12:00:00","5","7004000"
"1006","2019/02/19 11:59:59","2019/02/19 5:00:00","2019/02/18 11:59:59","2019/02/14 15:00:00","6","7004003"
"1007","2019/03/19 14:59:59","2019/03/19 5:00:00","2019/03/18 14:59:59","2019/03/14 12:00:00","7","7005000"
"1008","2019/04/18 20:59:59","2019/04/18 5:00:00","2019/04/17 20:59:59","2019/04/13 12:00:00","8","7005003"
"1009","2019/05/18 20:59:59","2019/05/18 5:00:00","2019/05/17 20:59:59","2019/05/13 12:00:00","9","7006000"
"1010","2019/06/19 20:59:59","2019/06/19 5:00:00","2019/06/18 20:59:59","2019/06/14 12:00:00","10","7006003"
"1011","2019/07/22 20:59:59","2019/07/22 5:00:00","2019/07/21 20:59:59","2019/07/15 12:00:00","11","7007000"
"1012","2019/08/19 20:59:59","2019/08/19 5:00:00","2019/08/18 20:59:59","2019/08/14 10:00:00","12","7007003"
"1013","2019/09/19 20:59:59","2019/09/19 5:00:00","2019/09/18 20:59:59","2019/09/14 12:00:00","13","7008000"
"1014","2019/10/19 20:59:59","2019/10/19 5:00:00","2019/10/18 20:59:59","2019/10/14 12:00:00","14","7008003"
"1015","2019/11/19 20:59:59","2019/11/19 5:00:00","2019/11/18 20:59:59","2019/11/14 12:00:00","15","7009000"
"1016","2019/12/19 20:59:59","2019/12/19 5:00:00","2019/12/18 20:59:59","2019/12/14 12:00:00","16","7009003"
"1017","2020/01/21 20:59:59","2020/01/21 5:00:00","2020/01/20 20:59:59","2020/01/14 12:00:00","17","7010000"
"1018","2020/02/21 20:59:59","2020/02/21 5:00:00","2020/02/20 20:59:59","2020/02/14 12:00:00","18","7010003"
"1019","2020/03/19 20:59:59","2020/03/19 5:00:00","2020/03/18 20:59:59","2020/03/12 12:00:00","19","7011000"
"1020","2020/04/19 20:59:59","2020/04/19 5:00:00","2020/04/18 20:59:59","2020/04/14 12:00:00","20","7011003"
"1021","2020/05/19 20:59:59","2020/05/19 5:00:00","2020/05/18 20:59:59","2020/05/14 12:00:00","21","7012000"
"1022","2020/06/19 20:59:59","2020/06/19 5:00:00","2020/06/18 20:59:59","2020/06/14 12:00:00","22","7012003"
"1023","2020/07/19 20:59:59","2020/07/19 5:00:00","2020/07/18 20:59:59","2020/07/14 12:00:00","23","7013000"
"1024","2020/08/19 20:59:59","2020/08/19 5:00:00","2020/08/18 20:59:59","2020/08/14 12:00:00","24","7013003"
"1025","2020/09/20 20:59:59","2020/09/20 5:00:00","2020/09/19 20:59:59","2020/09/15 12:00:00","25","7014000"
"1026","2020/10/19 20:59:59","2020/10/19 5:00:00","2020/10/18 20:59:59","2020/10/14 12:00:00","26","7014003"
"1027","2020/11/24 20:59:59","2020/11/24 5:00:00","2020/11/23 20:59:59","2020/11/18 12:00:00","27","7015000"
"1028","2020/12/23 20:59:59","2020/12/23 5:00:00","2020/12/22 20:59:59","2020/12/18 12:00:00","28","7015003"
"1029","2021/01/23 20:59:59","2021/01/23 5:00:00","2021/01/22 20:59:59","2021/01/18 12:00:00","29","7016000"
"1030","2021/02/23 20:59:59","2021/02/23 5:00:00","2021/02/22 20:59:59","2021/02/18 12:00:00","30","7016003"
"1031","2021/03/23 20:59:59","2021/03/23 5:00:00","2021/03/22 20:59:59","2021/03/18 12:00:00","31","7017000"
"1032","2021/04/21 20:59:59","2021/04/21 5:00:00","2021/04/20 20:59:59","2021/04/16 12:00:00","32","7017003"
