9eadcf364f2aeb90ac386fbbaa46493cd7356d4c20f2ead6ae7fdbbc8c842125,b635d1c90c68cb9d4a4bf30467cc16d0606ba007344da0f8df67d1335acb24f5,f17039e4c52c9f65d57e6fec24f9360600dee5618901330571dfd691c77a27ba,01a1f936bcb330ded97a0d780e5c29112a4f52a1e647490f31c49762221efb42,6902afb407ddb0872ad94fa58b92d11e48728778cbf9aefafd68d5d2724427c5,69ee4f109c4b84c1b232908b31a5d50e1c256edd8495a8c8f89176317d577cc5,1a9f56019b236e6786083b107e57ec31b6837edc2222daa39851463c318810a1,f6a4bce794136623e6c53be8c591005b33d1696ac7da7cc4683806927058cda1,e2985e7e7d88ed5de4bee0b6e05dada3fa3bcb801065cb2cd3a775864597a2fe,7abb1ba698429240ba7448ab7ece4b81e857c1cbd85ce2c230d44cc6bb995574,1330165be21f2c3c66b985e6738cdb0583007f8ccf101821ba48bca297c35fd8,bb2ba508ce66a1036317ce05cfd533e1477b6f7021e35abd92d882e932bd5c8a,632580dc5c59dd11fce535e54619723b275ab30c20efbd53ce5557b0b5d16655,5d43d8cf33d109f4edb2c0b00905a615cc06473f8615a818d49129202648c392,856cb80fba248f023ef054eb7c133aa476e49c3e0f15dcda926d1397bf53a955
"1001001","100584","350","bgm_M220","-75","800100101","100584","90","100000","2","bgm_M220","1","-30","？？？","0"
"1001002","100584","350","bgm_M220","-75","800100102","100584","90","100000","2","bgm_M220","1","-30","？？？","0"
"1001003","100584","350","bgm_M220","-75","800100103","100584","90","100000","2","bgm_M220","1","-30","？？？","0"
"1001004","100584","350","bgm_M221","-75","800100101","100584","90","100000","2","bgm_M221","1","-30","？？？","0"
"1001005","100584","350","bgm_M221","-75","800100102","100584","90","100000","2","bgm_M221","1","-30","？？？","0"
"1001006","100584","350","bgm_M221","-75","800100103","100584","90","100000","2","bgm_M221","1","-30","？？？","0"
"1002001","100584","350","bgm_M220","-75","800100201","100584","90","100000","2","bgm_M220","1","-30","？？？","0"
"1002002","100584","350","bgm_M220","-75","800100202","100584","90","100000","2","bgm_M220","1","-30","？？？","0"
"1002003","100584","350","bgm_M220","-75","800100203","100584","90","100000","2","bgm_M220","1","-30","？？？","0"
"1002004","100584","350","bgm_M221","-75","800100201","100584","90","100000","2","bgm_M221","1","-30","？？？","0"
"1002005","100584","350","bgm_M221","-75","800100202","100584","90","100000","2","bgm_M221","1","-30","？？？","0"
"1002006","100584","350","bgm_M221","-75","800100203","100584","90","100000","2","bgm_M221","1","-30","？？？","0"
