2b9472a0ea46841e32c0058a02e83b5261a8c127dd3277671a93104ffa806d7e,0e3d08353b5c53063ecb710f8987725a70e3ecc30a2c2898f62a9a9024f8f78f,a16241526abad8bcaf01a892662325dc29567ddf6b7306337d22a26d0edf0cf8,84ed9dcbfb57bee96c89eabb9bf19be879b86286718646ff1151d9353640e256,efc7a01b3a5dd14b8ef6e1971598339d1f02dff5473a5c4d95fbaab365f4cc22,af158e0328bf3b2e4cdb57d4aabae0482c009afa3daeaa7d0bd2139c5779b655,93d0c1e7b5c78120728ba0fdc19a4c390a0b5a1fadc01ac4a2ae15fda176e207,78fed17437bf39475d97c14c88da280f828fb38463b57f7ffdfebc94d28bd287
"1","1","1","24","10101020","3050100","0","0"
"2","1","2","24","0","4010200","0","0"
"3","1","3","24","10401020","3030200","0","0"
"4","1","4","24","10401020","3050200","0","0"
"5","1","5","24","10401020","3040200","0","0"
"6","1","6","24","10401020","3020200","0","0"
"7","1","7","24","0","4010300","0","0"
"101","1","8","24","10101020","3030100","0","0"
"102","1","9","24","0","3010201","0","0"
"103","1","10","24","0","3020201","0","0"
"104","1","11","24","0","3010301","0","0"
"105","1","12","24","0","3030301","0","0"
"106","1","13","24","0","3040301","0","0"
"107","1","14","24","0","3050301","0","0"
"108","1","15","24","0","3020301","0","0"
"109","1","16","24","10401050","3030300","0","0"
"110","1","17","24","10401050","3040300","0","0"
"111","1","18","24","10401050","3050300","0","0"
"112","1","19","24","10401050","3020300","0","0"
"201","1","20","24","10101020","3010100","0","0"
"202","1","21","24","10101020","3020100","0","0"
"203","1","22","24","10101020","3030100","0","0"
"204","1","23","24","10101020","3040100","0","0"
"205","1","24","24","10101020","3050100","0","0"
"206","1","25","24","10101020","3010200","0","0"
"207","1","26","24","10101020","3020200","0","0"
"208","1","27","24","10101020","3030200","0","0"
"209","1","28","24","10101020","3040200","0","0"
"210","1","29","24","10101020","3050200","0","0"
"401","1","30","24","0","1010301","0","112"
"402","1","31","24","0","1020301","0","203"
"403","1","32","24","0","1030301","0","306"
"404","1","33","24","0","1040301","0","401"
"405","1","34","24","0","1050301","0","508"
"406","1","35","24","20101050","1020301","0","209"
"407","1","36","24","20101050","1030301","0","306"
"408","1","37","24","20101050","1040301","0","407"
"409","1","38","24","20101050","1050301","0","501"
"600","1","39","15","0","0","11001337","0"
"600","150","40","8","0","0","91002","0"
"700","1","41","15","0","0","11001338","0"
"799","150","42","8","0","0","91002","0"
"800","1","43","15","0","0","11001339","0"
"999","1","44","24","0","0","0","0"
