0c9b2c2613f6a043dd1b4625a396fd8b899259a123f10299f10d85a48a09c076,e3bffd4f51abc1d5bcd1479efec395c1b9c8a2128a3233c8f83ddcc64c8160b8,070cff78793c224423d3c9ea31972fa8bf7478bf30ce25311c275c15ba0fa8f0,3f340bb1428263ee94e57eec3c373e78c227f6864e3b97636b442940fa71b288,5f6d4283710e3b713ecc2ee1958f2cdcffce0365d30b4920f177dd02e312803e,3331f5f38cdcdefe5f962377cf05542d37420fc2cd01e08d9ecc3c33c53ebe21,25e2f1b2d87d683d119541d4080570fdde22bcd54bac9206ddf0f98ba4f8292b,de8af9b9f3e2c84339038336304fa4c7639ba957fb1167761e13127f10998e92,7cf7cd8d59d555e5f233f1bf7c23d74fb77b61c6ad6d957ed9c6467c07e8e2aa,bff9ce1c29bbc514064c4e9049b0bbf1bbd21734dc1fa16fbacaf85fa73532b2,3cb86277a7895adfc86de055c1687fb3f7a97c7be2fda966f8aec414a950e7a0
"2","<weapon>_idle","55","-100","1000001","1.3","1","-250","1001","0","110010001"
"100","","0","0","100","1","31","1","1001","","110010002"
"101","","0","0","101","0","31","1","1001","","110010003"
"4","","0","0","4","1","31","1","1001","","110010004"
"5","","94.5","0","5","1","31","1","1001","","110010005"
"0","","","","0","","91","","1001","","110010006"
"0.4","","","","0","","93","","1001","","110010007"
"1000001","","0","","<weapon>_joy_short","0.2","3","","1001","","110010008"
"1.3","","","","0","","93","","1001","","110010009"
"1000001","","1","","<weapon>_run","0","3","","1001","","110010010"
"1000001","","-250","1","800","","2","0","1001","","110010011"
"0.7","","","","0","","93","","1001","","110010012"
"101","","","","1","","32","","1001","","110010013"
"0.7","","","","0","","93","","1001","","110010014"
"2","<weapon>_run","55","-640","1000001","1.3","1","-250","1101","0","111010001"
"100","","0","0","100","1","31","1","1101","","111010002"
"101","","0","0","101","0","31","1","1101","","111010003"
"4","","0","0","4","1","31","1","1101","","111010004"
"4","","","","0","","35","","1101","","111010005"
"5","","0","0","5","1","31","1","1101","","111010006"
"10","","0","0","10","1","31","1","1101","","111010007"
"0","","","","","","91","","1101","","111010008"
"100","","","","1","","35","","1101","","111010009"
"1000001","","-250","2.1","640","","2","0","1101","","111010010"
"1.7","","","","0","","93","","1101","","111010011"
"101","","","","1","","32","","1101","","111010012"
"0.7","","","","0","","93","","1101","","111010013"
"1","look_loop","55","0","1000001","1.3","1","-240","2001","0","120010001"
"1","","0","0","1","0","31","1","2001","0","120010002"
"1","","","","0","","35","","2001","","120010003"
"1","","","","1","","32","","2001","","120010004"
"2","","345.4","0","2","1","31","1","2001","0","120010005"
"2","","","","0","","35","","2001","","120010006"
"3","","345.4","0","3","0","31","1","2001","0","120010007"
"3","","","","0","","35","","2001","","120010008"
"3","","","","1","","32","","2001","","120010009"
"31000001","","-345.4","0","31000001","1","31","1","2001","","120010010"
"31000002","","345.4","0","31000002","1","31","1","2001","","120010011"
"100","","0","0","100","1","31","1","2001","","120010012"
"101","","0","0","101","0","31","1","2001","","120010013"
"0","","","","","","91","","2001","","120010014"
"100","","","","1","","35","","2001","","120010015"
"1000001","","0","look_loop","look_in","0","3","1","2001","0","120010016"
"1.3","","","","0","","93","","2001","","120010017"
"12","","0","0","998","0","31","1","2101","","121010001"
"14","","0","0","997","0","31","1","2101","","121010002"
"16","","0","0","996","0","31","1","2101","","121010003"
"31000001","","","","0","","32","","2101","","121010004"
"31000002","","","","0","","32","","2101","","121010005"
"0","","-1","1","0","0","121","0","2101","","121010006"
"1","","","","1","","35","","2101","","121010007"
"3","","","","1","","35","","2101","","121010008"
"1000001","","0","","pointing","0","3","","2101","","121010009"
"1","","","","0","","93","","2101","","121010010"
"505","","-1.47","1.47","100","0","121","2","2101","","121010011"
"1000001","","1","","run_talk1","0.2","3","","2101","","121010012"
"1000001","","-240","1","100","","2","0","2101","","121010013"
"se_travel","","0","","se_travel_treasure_cha_run","","23","","2101","","121010014"
"1","","","","0","","93","","2101","","121010015"
"11","","0","0","998","0","31","1","2201","","122010001"
"13","","0","0","997","0","31","1","2201","","122010002"
"15","","0","0","996","0","31","1","2201","","122010003"
"31000001","","","","0","","32","","2201","","122010004"
"31000002","","","","0","","32","","2201","","122010005"
"1","","","","1","","35","","2201","","122010006"
"3","","","","1","","35","","2201","","122010007"
"1000001","","0","","pointing","0","3","","2201","","122010008"
"1","","","","0","","93","","2201","","122010009"
