92c5d15c74e28ce266879e491dbcd9de6c70ba29adfc8035c025750617d0d04f,1b305ec2333eb27fbc90f164e6a4c60e2d5dd306f46c55117ba118e556b60bb0,e23d77740ef58bbc467ac778b0d1b9b183ab7533897f2320f4b170ae20e70d61,1f8378ac7aaf2e90c1be48b569ddf94b5aa0525c407cdb3892b0f90e7df4398e,74219390c2c38b4f60197216c549d26cb0fa0ffd78f940447d926f833b0af7cc,f47fb6a33abe8b0373c9847b42a186a28121b0b14192dacf76abc8e11d01613c,d1d1eb625a097e96721c1c05b77ac91b68704811c2ea4d1dc44847c0df484ec0,b23812f90dd29992093fd565401ffa4b28492ea7de6ee0ac47d9112410adec56,daf943a18160999455618094856072976203da787b3a63d36174ed9d24294408,cb120c569774903b5685c9c279e4b394724e5de7eaab348c93a9886765b4301b,6b05962891d75197d203d28e45e18bdec992cbb7a65c320e8e38c5734e2ad1ad,7badf571bad78909d6ee93690645b090085648db03d4841198f32a1d2e1d4512,bbd9e2c42f8374f304532fc177f4fc390d2759812e5469b05861dac0b4edd9f7
"","","","","","","1","","29","3100101","31001_01","",""
"","","","","","","30","","59","3100101","31001_03","",""
"","","","","","","60","","-1","3100101","31001_05","",""
"","","","","","","1","","29","3100102","31001_01","","31001_01"
"","","","","","","30","","59","3100102","31001_03","","31001_03"
"","","","","","","60","","-1","3100102","31001_05","","31001_05"
"","","","","31001_01","","1","","29","3100103","31001_01","","31001_01"
"","","","","31001_03","","30","","59","3100103","31001_03","","31001_03"
"","","","","31001_05","","60","","-1","3100103","31001_05","","31001_05"
"","","","","31001_01","","1","","29","3100104","31001_01","31001_01","31001_01"
"","","","","31001_03","","30","","59","3100104","31001_03","31001_03","31001_03"
"","","","","31001_05","","60","","-1","3100104","31001_05","31001_05","31001_05"
"","","","","","","1","","289","3100201","61005_01","",""
"","","","","","","290","","299","3100201","61005_02","",""
"","","","","","","300","","309","3100201","61005_03","",""
"","","","","","","310","","319","3100201","61005_04","",""
"","","","","","","320","","329","3100201","61005_05","",""
"","","","","","","330","","339","3100201","61005_06","",""
"","","","","","","340","","349","3100201","61005_07","",""
"","","","","","","350","","359","3100201","61005_08","",""
"","","","","","","360","","369","3100201","61005_09","",""
"","","","","","","370","","379","3100201","61005_10","",""
"","","","","","","380","","-1","3100201","61005_11","",""
