41faa269632b8a66bf5561ea3536bc25373155c37f0240e00613260ad90bbfcb,5cdde249995dc8d86220719a891ee27e98940cea4b2bff1cb51392071a048066,20d5efdf31d966ebd1a918a0999fdcf5d0332d33b33c060c1d448a268b9c0dea,70e9dc0f89da03a4afda7f6a42b4b8c6855593f4836b1266df9793f8b12b3cf2,ebccd8d624a72a00c67fb5f2f28c3d26145814c240fc1105e4b4e88a3c71a6a9,23d9826736c9eb07dbc70c6eb9e8ae32a506105d2e05ad14426f21ab156c2d2d,185e20755eca61d7bfd0ea81db579fdc22dd92c9c11c784d3191c9e35adfcc3b,8ece71231e770d490818df4bf1e9bd9896ea2ca5ebbbccaf10c256f4dfe30dd2,75c2ce01ebe97b9b4ac00ee9fe692e0f5e77d29bb54932de9c6a633b75e4e218,458042676d13e79d98af16df06e76a6a21733b363db6ba0dc1a9ccf3a88758d3,e3a9a5a2395566be76cfde89b0f2eb7529de04431ff5c20b117ac92fdc360f34
"119931","-200","1","psy_miyako_idle","0","1","-220","1001","1","1.7","100"
"1","1000","1","psy_idle_normal","1","1","-220","1002","5","1.7","100"
"2","-50","1","psy_fairy_idle","0","1","-220","1003","5","1.7","105"
"11","0","1","","","1","1","1004","31","1","0"
"psy_item00_run","","1","","","1","","1005","3","0.2","1"
"285","2.5","1","","","1","0","1006","2","","-220"
"","","2.5","","","1","","1007","93","",""
"psy_item00_idle","","1","","","1","","1008","3","0.2","1"
"","","0.5","","","1","","1009","93","",""
"psy_miyako_talk1","","119931","","","1","","1010","3","0.2","1"
"vo_minigame_1008_drama_0101","0","vo_minigame_1008","","","1","","1011","21","","0"
"おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！","1","119931","0.5","0","1","0","1012","11","0","6"
"1","","6","","","1","","1013","93","",""
"psy_miyako_doya_in","psy_miyako_doya_loop","119931","","0.2","1","1","1014","3","0.2","0"
"","","1012","","","1","","1015","91","",""
"0","","0","","","1","","1016","22","",""
"psy_fairy_talk","","2","","","1","","1017","3","0.2","1"
"vo_minigame_1008_drama_9901","0","vo_minigame_1008","","","1","","1018","21","","0"
"キュイキュイ！","1","2","0.5","0","1","0","1019","11","0","6"
"","","0","","","1","","1020","91","",""
"psy_fairy_idle","","2","","","1","","1021","3","0.2","1"
"psy_miyako_talk2","","119931","","","1","","1022","3","0.2","1"
"vo_minigame_1008_drama_0102","0","vo_minigame_1008","","","1","","1023","21","","0"
"オマエも手伝いたいの？\nそれなら卵と牛乳をマヒルから\nたくさんもらってくるの！\n材料はたくさんあったほうがいいの！","1","119931","0.5","0","1","0","1024","11","0","5"
"1","","2","","","1","","1025","93","",""
"psy_miyako_talk_joy2","","119931","","","1","","1026","3","0.2","1"
"","","1024","","","1","","1027","91","",""
"0","","0","","","1","","1028","22","",""
"psy_miyako_idle","","119931","","","1","","1029","3","0.2","1"
"1","","2","","","1","","1030","4","",""
"psy_fairy_run_in","psy_fairy_run","2","","0","1","1","1031","3","0.2","0"
"","","1.3","","","1","","1032","93","",""
"1000","1","2","","","1","0","1033","2","","-220"
"","","2","","","1","","1034","93","",""
"psy_miyako_doya_in","psy_miyako_doya_loop","119931","","0.2","1","1","1035","3","0.2","0"
"vo_minigame_1008_drama_0103","0","vo_minigame_1008","","","1","","1036","21","","0"
"オマエはミヤコを手伝うの！\nめんどくさいことは全部\nオマエに任せるの！","1","119931","0.5","0","1","0","1037","11","0","6"
"","","0","","","1","","1038","91","",""
"0","","0","","","1","","1039","22","",""
"11","0","1","0","0","1","0","1040","12","0","1"
"psy_item00_talk_guts","psy_item00_idle_guts","1","","0.2","1","1","1041","3","0.2","0"
"","","2","","","1","","1042","93","",""
"psy_miyako_talk_joy2","","119931","","","1","","1043","3","0.2","1"
"vo_minigame_1008_drama_0104","0","vo_minigame_1008","","","1","","1044","21","","0"
"みんなみんな\nおいしいプリンにしてやるの～♪","1","119931","0.5","0","1","0","1045","11","0","5"
"1","","4","","","1","","1046","93","",""
"psy_miyako_fight_in","psy_miyako_fight_loop","119931","","0.2","1","1","1047","3","0.2","0"
"psy_item00_handsup","psy_item00_handsup_loop","1","","0.2","1","1","1048","3","0.2","0"
"","","1.5","","","1","","1049","93","",""
"","","1045","","","1","","1050","91","",""
"0","","0","","","1","","1051","22","",""
"119931","-300","1","psy_miyako_start","0","2","-200","2001","1","1.7","100"
"106011","300","1","psy_walk","1","2","-220","2002","1","1.7","100"
"11","0","1","","","2","1","2003","31","1","0"
"1","-300","1","psy_smoke_start","0","2","-200","2004","5","1.7","101"
"185","2","106011","","","2","0","2005","2","","-220"
"","","2","","","2","","2006","93","",""
"psy_kyaru_talk_arm_crossed","psy_kyaru_talk_arm_crossed_loop","106011","","0","2","1","2007","3","0.2","0"
"vo_minigame_1008_drama_0305","0","vo_minigame_1008","","","2","","2008","21","","0"
"ねぇ、あんた。\nペコリーヌに差し入れるのにちょうど\nいいお菓子を適当に見つくろって……","1","106011","0.5","0","2","0","2009","11","0","8"
"","","0","","","2","","2010","91","",""
