bbc47f77f927962730ce5f4aecbc2834a94eba81487a3885ee33c82159fd7f4b,d2553a2935de1a7e5d03c4f592ef5d4189d3941a49073bf27cd763afef140f5e
"0","1110001"
"1","1110002"
"0","1110003"
"0","1110004"
"1","1110005"
"0","1110006"
"0","1110007"
"1","1110008"
"0","1110009"
"0","1110011"
"0","1110014"
"1","1110015"
"0","1110016"
"1","1110017"
"0","1110019"
"0","1110020"
"1","1110021"
"0","1110022"
"1","1110024"
"1","1110026"
"1","1110027"
"0","1110028"
"1","1110029"
"0","1110030"
"1","1110031"
"0","1110033"
"0","1110034"
"0","1110036"
"1","1110037"
"1","1110039"
"0","1110040"
"1","1110042"
"1","1110043"
"0","1110044"
"1","1110045"
"0","1110046"
"1","1110049"
"0","1110050"
"1","1110051"
"1","1110054"
"0","1110055"
"1","1110056"
"0","1110058"
"1","1110059"
"1","1110060"
"1","1111001"
"0","1111002"
"1","1111003"
"1","1111004"
"0","1111005"
"1","1120003"
"0","1120004"
"0","1120006"
"0","1120007"
"1","1120008"
"0","1120010"
"1","1120011"
"0","1120013"
"1","1120014"
"0","1120016"
"1","1120017"
"1","1120019"
"0","1120020"
"1","1120021"
"0","1120022"
"1","1120024"
"0","1120026"
"1","1120027"
"1","1120030"
"0","1120031"
"1","1120032"
"1","1120033"
"0","1120034"
"1","1120035"
"1","1120036"
"0","1120037"
"0","1120038"
"0","1120039"
"0","1120040"
"0","1120041"
"1","1120043"
"1","1120044"
"0","1120046"
"0","1120047"
"1","1120048"
"0","1120049"
"1","1120051"
"0","1120052"
"0","1120054"
"0","1120055"
"0","1120057"
"1","1120058"
"0","1120060"
"1","1120061"
"0","1121001"
"1","1121002"
"1","1121003"
"0","1121004"
"0","1121005"
"1","1130002"
"0","1130003"
"0","1130005"
"1","1130007"
"0","1130008"
"1","1130010"
"1","1130011"
"1","1130012"
"1","1130013"
"0","1130014"
"0","1130015"
"1","1130016"
"1","1130018"
"0","1130020"
"0","1130021"
"1","1130022"
"0","1130023"
"1","1130024"
"0","1130028"
"0","1130029"
"1","1130030"
"0","1130031"
"1","1130032"
"1","1130033"
"1","1130034"
"1","1130036"
"0","1130037"
"1","1130038"
"0","1130039"
"1","1130041"
