41249649f1b381433a87579c69f0b1f675f2e6d539aef65358f37baee836283f,db38a7f1d3a18c5e48fae558793acd4b8162217892434c36d86332f048dbbb31,f59a6d93bb2999f0f5372e4ed8e3b21b86ff84a018fdd3f7bfd77a0c3d47e83f,1415ae187dedca8c8ba1d0a39070ac2bbd117b71dc24cc13c3903fa50ea5bbc0,8e19c9aa1080d5c9bc789d787fa6b3d7bb41a8238bc1fd582d5d6540c0df1ad2,fff9355ef43625c14ede0403a24be20cf583ed175fef88c9fcd842ab245bb51d,e2766ec3e08ed601cdccaa08d045f2701937c34e373e6634fc9fd8b1d9cdfb14,88029d9eda33a5661cb6507178e7e46beae39383ab0c2598f89d1aa889877c14,a8051d97beb03d86f4d6e2a0d2b786b8670651369d8772a7b1ca4e528696316d,78e4530c46647dadf9511b4aef8087ccfdb8ebdcd5ad237cd11c374f23331df4,8a40e20685517ba8a595173f57755ef16e60211836ff1b2c1e142bb8068fac84
"1","1","0","100","130011","0","1","bsm_idle_yamato","0","1.3","1001"
"3","1","1","0","bsm_drama_arm_crossed","0","130011","","bsm_drama_arm_crossed_loop","0.2","1002"
"21","1","","0","vo_minigame_1014_top_1000","","vo_minigame_1014","","0","","1003"
"11","1","0","5","弱肉強食、上等だよ\n正面から勝てない時は\n裏をかくことも考えな","0","130011","1","1","0","1004"
"91","1","","","","","0","","","","1005"
"3","1","","1","bsm_idle_yamato","","130011","","","0.3","1006"
"1","2","0","100","130011","0","1","bsm_idle_yamato","0","1.3","2001"
"3","2","","1","bsm_drama_thinking","","130011","","","0.2","2002"
"21","2","","0","vo_minigame_1014_top_1001","","vo_minigame_1014","","0","","2003"
"11","2","0","6","いつかはワカナにも\n教えてやるか\n敵に勝って味わう\nヤシオーリの味をね","0","130011","1","1","0","2004"
"91","2","","","","","0","","","","2005"
"3","2","","1","bsm_idle_yamato","","130011","","","0.3","2006"
"1","3","0","100","130011","0","1","bsm_idle_yamato","0","1.3","3001"
"3","3","1","0","bsm_drama_doya","0","130011","","bsm_drama_doya_loop","0.2","3002"
"21","3","","0","vo_minigame_1014_top_1002","","vo_minigame_1014","","0","","3003"
"11","3","0","7","メカニックとしちゃ、\nフブキの腕は神業さ…\n妹でよかったよ、\nホントにさ","0","130011","1","1","0","3004"
"91","3","","","","","0","","","","3005"
"3","3","","1","bsm_idle_yamato","","130011","","","0.3","3006"
"1","4","0","100","130111","0","1","bsm_idle_wakana","0","1.3","4001"
"3","4","1","0","bsm_drama_guts","0","130111","","bsm_drama_guts_loop","0.2","4002"
"21","4","","0","vo_minigame_1014_top_2000","","vo_minigame_1014","","0","","4003"
"11","4","0","8","参加者のみなさんには\nごめんなさいですが…\nローン返済のためにも\n勝たせてもらいます！","0","130111","1","1","0","4004"
"91","4","","","","","0","","","","4005"
"3","4","","1","bsm_idle_wakana","","130111","","","0.3","4006"
"1","5","0","100","130111","0","1","bsm_idle_wakana","0","1.3","5001"
"3","5","","1","bsm_drama_wish","","130111","","","0.2","5002"
"21","5","","0","vo_minigame_1014_top_2001","","vo_minigame_1014","","0","","5003"
"11","5","0","8","こう言ったら\nなんですけど…\n姉さんが楽しそうで、\nわたしもうれしいです","0","130111","1","1","0","5004"
"91","5","","","","","0","","","","5005"
"3","5","","1","bsm_idle_wakana","","130111","","","0.3","5006"
"1","6","0","100","130111","0","1","bsm_idle_wakana","0","1.3","6001"
"3","6","","1","bsm_drama_pazzled","","130111","","","0.2","6002"
"21","6","","0","vo_minigame_1014_top_2002","","vo_minigame_1014","","0","","6003"
"11","6","0","7","フブキちゃんに\n野菜を食べてもらう\nにはどうしたら…\nも、もっと強引に…？","0","130111","1","1","0","6004"
"91","6","","","","","0","","","","6005"
"3","6","","1","bsm_idle_wakana","","130111","","","0.3","6006"
"1","7","0","100","130211","0","1","bsm_idle_fubuki","0","1.3","7001"
"3","7","","1","bsm_drama_smile","","130211","","","0.2","7002"
"21","7","","0","vo_minigame_1014_top_3000","","vo_minigame_1014","","0","","7003"
"11","7","0","5","対戦相手のお仕事は～\nぼくたちに賞金を\n運んでくるコト♪\nよろしくね～♡","0","130211","1","1","0","7004"
"91","7","","","","","0","","","","7005"
"3","7","","1","bsm_idle_fubuki","","130211","","","0.2","7006"
"1","8","0","100","130211","0","1","bsm_idle_fubuki","0","1.3","8001"
"3","8","1","0","bsm_drama_doya","","130211","","bsm_drama_doya_loop","0.2","8002"
"21","8","","0","vo_minigame_1014_top_3001","","vo_minigame_1014","","0","","8003"
"11","8","0","7","もうヤマ姉優勝で\n決まってっしー♪\n賞金全部もらっといて\nよくねー？","0","130211","1","1","0","8004"
"91","8","","","","","0","","","","8005"
"3","8","","1","bsm_idle_fubuki","","130211","","","0.2","8006"
"1","9","0","100","130211","0","1","bsm_idle_fubuki","0","1.3","9001"
"3","9","1","0","bsm_drama_laugh","0","130211","","bsm_drama_laugh_loop","0.2","9002"
"21","9","","0","vo_minigame_1014_top_3002","","vo_minigame_1014","","0","","9003"
"11","9","0","7","お兄さんを弾にして\n撃つ武器とか、ど～？\nきゃはは、よわそ～♡","0","130211","1","1","0","9004"
"91","9","","","","","0","","","","9005"
"3","9","","1","bsm_idle_fubuki","","130211","","","0.2","9006"
