78796e9c53aee35c9ac3a77bb5d3855d3ab5d847a48de9349a0c337810fe2eeb,d4b49d265667437859b18df9dfc8fd2db6154bcca820d4f9b43fde89da759067,1ef4b489f72b1b7f0516b48473884601c8fd4f3577b84d2789b5c1b56bf43354,92fb3e03d91b1e92cf0e2afe691865fae7815bbed953214e664e86e5d97d7c67,5af271f8e1c204b66a6344d2e1b97720271826b03b4f1b745c17c20d4b3f2d0a,0ea5174fb98ee9f63851bbd3d8fc21b8857c07db5625fe9985bb49493d471df4
"1000000","100","100","100","100","100"
"2000000","150","100","100","100","100"
"2000001","100","150","100","100","100"
"2000002","100","100","150","100","100"
"2000003","100","100","100","150","100"
"2000004","100","100","100","100","150"
"3000000","150","150","100","100","100"
"3000001","150","100","150","100","100"
"3000002","150","100","100","150","100"
"3000003","150","100","100","100","150"
"3000004","100","150","150","100","100"
"3000005","100","150","100","150","100"
"3000006","100","150","100","100","150"
"3000007","100","100","150","150","100"
"3000008","100","100","150","100","150"
"3000009","100","100","100","150","150"
"4000000","150","150","150","100","100"
"4000001","150","150","100","150","100"
"4000002","150","150","100","100","150"
"4000003","150","100","150","150","100"
"4000004","150","100","150","100","150"
"4000005","150","100","100","150","150"
"4000006","100","150","150","150","100"
"4000007","100","150","150","100","150"
"4000008","100","150","100","150","150"
"4000009","100","100","150","150","150"
"5000000","150","150","150","150","100"
"5000001","150","150","150","100","150"
"5000002","150","150","100","150","150"
"5000003","150","100","150","150","150"
"5000004","100","150","150","150","150"
