29f17c7934b6a90a7b1f494ee60010d8a3f9e596d9991380fe223b5a85b830b8,ff1e69db35d970eaf6fa51a9017e465b15e17c0869ffc91b86cc0125e3adc1f7,22abbac852b3aa0d4e4d8270c8c54e647b68b21d368c347fef8f91533bbd3412,2ef29708b01a77ee675eaf3446bce169762abbc1120002620cb5bda2025ca7ed,7c67cda99b312804b3be483a3de61dc5c8f5c450d0a516f7e39085f07c37d37f,2728980e2016982df70a8d7ce9ec02e77375b60e5d015dcf59b432a03ba83a03,9011d5dddc957e5048cbd5d03a5e040d7bc0dbea4782a2049147e6f2df6cf2fa
"1","料理入手イベント","0","3","0","1","0"
"2","ダイス入手イベント1","0","1","0","2","0"
"2","ダイス入手イベント2","0","2","0","3","0"
"3","ターン数カウントスキップ","1","0","3","4","0"
"4","マイル+100%","0","100","2","5","1"
"5","ミニゲームマイル+100%","0","100","2","6","1"
"6","ショップ割引イベント","0","300","3","7","1"
"3","ターン数カウントスキップ1","2","0","3","98001","0"
"3","ターン数カウントスキップ1","1","0","3","98011","0"
"3","ターン数カウントスキップ2","2","0","3","98012","0"
