4ff7b1d6c1ca5686da017d9553a7157883eb27c83151ae53ae523b155f53441c,c0ca60b856c588204450148c8322792bd24c8bc5afd52f62f4b3a8c1a302d77c,df6375d52338711e23a3613e2443a1b9a92162c976eb4620ecbfee668323d394,b1c9b20c2a85865dfcec1cd68333d78f7b602c9f668fdf1668489c368a0bbcb4,8f83865a5d2350fc8687364ee53e95c80eed64eb7c3976057e22bacb923aee23,0e7aa044648a91ba7550e89cd325e388515e37fae725ad3a02230e8e29d00484,6953b35cb5d63afcca04cc122d55d1e2f00dcd59758ab559da21ee150c70bb10,1c4e952ccafb4634b6fdf18134fcee923e03c96ddce64638e16266f8e284656d,2bf248728ed6650d6203734dc638d2e7168d73273af99a7fcdfdf5d00c4ed95b,60e50ac61c901c0e356805ce34f634897005018a8d3ae5ca33415cb1338e64c4,83416f619258bc691f585572cab7453047e20242c4991f9d039dd1613c69953f,0c2c34a60a69dbc7064b09bc49f437cf36187e3cf8625396a603f7ae05978cde,e9602d2680e39048b4fa37e50dc7abf33adc2d38c817ea1b80d7536772db4c1a,6c55f0387351900d58de72607fb1fa5dfae819dc8274b13feaed93021f5ecdcf,c0a69aeed1618f2bf6492fd0c66b560656f6d0dc245a82202ef4040dd336942a,3f55d3332b1312b96b2c90b0496f25f72c39e177499614c7ac93764008192bc2
"0","201","2018/04/19 14:59:59","0","0","0","2018/03/31 15:00:00","0","bgm_M32","0","bgm_M32","1","0","10001101","タルグム地方","10001"
"0","201","2018/04/19 14:59:59","0","0","0","2018/03/31 15:00:00","0","bgm_M32","0","bgm_M32","1","0","10001201","タルグム地方","10001"
"0","201","2018/05/21 14:59:59","0","0","0","2018/04/30 12:00:00","0","bgm_M98_2","0","bgm_M98","1","0","10002101","マシーナ地方","10002"
"0","201","2018/05/21 14:59:59","0","0","0","2018/04/30 12:00:00","0","bgm_M98_2","0","bgm_M98","1","0","10002201","マシーナ地方","10002"
"0","201","2018/06/19 14:59:59","0","0","0","2018/05/31 12:00:00","0","bgm_M106","0","bgm_M106","1","0","10003101","ランドソル郊外","10003"
"0","201","2018/06/19 14:59:59","0","0","0","2018/05/31 12:00:00","0","bgm_M106","0","bgm_M106","1","0","10003201","ランドソル郊外","10003"
"0","201","2018/07/19 14:59:59","0","0","0","2018/06/30 12:00:00","0","bgm_M112","0","bgm_M112","1","0","10004101","タパスビーチ周辺","10004"
"0","201","2018/07/19 14:59:59","0","0","0","2018/06/30 12:00:00","0","bgm_M112","0","bgm_M112","1","0","10004201","タパスビーチ周辺","10004"
"0","201","2018/08/19 14:59:59","0","0","0","2018/07/31 12:00:00","0","bgm_M121","0","bgm_M121","1","0","10005101","イルシオンの孤島","10005"
"0","201","2018/08/19 14:59:59","0","0","0","2018/07/31 12:00:00","0","bgm_M121","0","bgm_M121","1","0","10005201","イルシオンの孤島","10005"
"0","201","2018/09/18 14:59:59","0","0","0","2018/08/31 12:00:00","0","bgm_M128","0","bgm_M128","1","0","10006101","王都ランドソル","10006"
"0","201","2018/09/18 14:59:59","0","0","0","2018/08/31 12:00:00","0","bgm_M128","0","bgm_M128","1","0","10006201","王都ランドソル","10006"
"0","201","2018/10/18 14:59:59","1","0","0","2018/09/30 12:00:00","0","bgm_M135","0","bgm_M135","1","0","10007101","ランドソル郊外","10007"
"0","201","2018/10/18 14:59:59","2","1","202","2018/09/30 12:00:00","208","bgm_M29","80","bgm_M29","1","0","10007102","霊界","10007"
"0","201","2018/10/18 14:59:59","3","1","202","2018/09/30 12:00:00","209","bgm_M135","0","bgm_M135","1","1","10007103","ランドソル中央部","10007"
"0","201","2018/10/18 14:59:59","1","0","0","2018/09/30 12:00:00","0","bgm_M135","0","bgm_M135","1","1","10007201","ランドソル郊外","10007"
"35","201","2018/11/14 14:59:59","0","0","0","2018/10/31 12:00:00","0","bgm_M162","0","bgm_M162","1","0","10008101","ランドソル近郊","10008"
"0","201","2018/11/14 14:59:59","0","0","0","2018/10/31 12:00:00","0","bgm_M162","0","bgm_M162","1","0","10008201","ランドソル近郊","10008"
"110","201","2018/12/14 14:59:59","1","0","0","2018/11/30 12:00:00","0","bgm_M171","0","bgm_M171","1","11","10009101","サレンディア救護院","10009"
"0","201","2018/12/14 14:59:59","1","0","0","2018/11/30 12:00:00","0","bgm_M171","0","bgm_M171","1","0","10009201","王都ランドソル","10009"
