dc808f0215585e26ab05f68232786b080223326e683b279a9a2860674ddaf458,3305b8f896739c04bf2ba885e1b8958307cc9a40ac1c139ead8598f23570c503,02fb1ac20d19710dca1045c07d07165730c20a653353e57f79bc784339d0d0ef,0e3de9641c7fc6d1242e90ab52ba71dcdd9632f52d363f371dd43a5563709eea,d0efd454de454d68d3ff30d0cdc985c167ce7385d7b178f66bee0742e29686f1,c2eda6288d002665548482e6263f71c1e56a017c04dde0eb6aff2ede0316c2ae
"3001","212","803100263","1","2146041","211"
"3002","212","803100263","1","2146042","211"
"3003","212","803100263","1","2146043","211"
"3004","212","803100263","1","2146044","211"
"3006","212","803100272","1","2147041","213"
"3007","212","803100272","1","2147042","213"
"30011","313","803100253","1","2145039","202"
"30012","302","803100253","0","2145040","105"
"30021","311","803100256","1","2145069","204"
"30022","312","803100256","1","2145070","205"
"30031","310","803100259","1","2145099","212"
"30032","301","803100259","0","2145100","107"
"30041","307","803100262","0","2146039","110"
"30042","302","803100262","0","2146040","105"
"30051","314","803100267","1","2146081","203"
"30061","312","803100269","1","2147019","205"
"30062","303","803100269","0","2147020","106"
"30071","313","803100271","1","2147039","202"
"30072","310","803100271","1","2147040","212"
"300101","100","803100251","0","2145011","104"
"300102","100","803100251","0","2145012","104"
"300103","102","803100251","0","2145013","105"
"300104","100","803100251","0","2145014","104"
"300105","102","803100251","0","2145015","105"
"300106","103","803100251","0","2145016","106"
"300107","102","803100251","0","2145017","105"
"300108","103","803100251","0","2145018","106"
"300109","111","803100251","1","2145019","204"
"300110","100","803100251","0","2145020","104"
"300111","100","803100252","0","2145021","104"
"300112","102","803100252","0","2145022","105"
"300113","100","803100252","0","2145023","104"
"300114","102","803100252","0","2145024","105"
"300115","103","803100252","0","2145025","106"
"300116","102","803100252","0","2145026","105"
"300117","103","803100252","0","2145027","106"
"300118","111","803100252","1","2145028","204"
"300119","100","803100252","0","2145029","104"
"300120","100","803100252","0","2145030","104"
"300121","102","803100253","0","2145031","105"
"300122","100","803100253","0","2145032","104"
"300123","102","803100253","0","2145033","105"
"300124","112","803100253","1","2145034","208"
"300125","110","803100253","1","2145035","212"
"300126","100","803100253","0","2145036","104"
"300127","102","803100253","0","2145037","105"
"300128","103","803100253","0","2145038","106"
"300201","101","803100254","0","2145041","107"
"300202","101","803100254","0","2145042","107"
"300203","102","803100254","0","2145043","105"
"300204","103","803100254","0","2145044","106"
"300205","113","803100254","1","2145045","202"
"300206","114","803100254","1","2145046","203"
"300207","101","803100254","0","2145047","107"
"300208","113","803100254","1","2145048","202"
"300209","114","803100254","1","2145049","203"
"300210","101","803100254","0","2145050","107"
"300211","101","803100255","0","2145051","107"
"300212","102","803100255","0","2145052","105"
"300213","103","803100255","0","2145053","106"
"300214","113","803100255","1","2145054","202"
"300215","114","803100255","1","2145055","203"
"300216","101","803100255","0","2145056","107"
"300217","113","803100255","1","2145057","202"
"300218","114","803100255","1","2145058","203"
"300219","101","803100255","0","2145059","107"
"300220","101","803100255","0","2145060","107"
"300221","102","803100256","0","2145061","105"
"300222","103","803100256","0","2145062","106"
"300223","101","803100256","0","2145063","107"
"300224","112","803100256","1","2145064","208"
