15bb538f6be0f11aa5e4733877b429efdc2218faced64ad0659ef8d566c28fca,cc1c7ab7ddb2a81c33025e747fb37665c7850429b8778bc242d37841097b47df,5cbbd11a26d2295770a48072156c552199936adfd6479bcb2d076024f8ce555c,d0e5464835007b4d0c5d490d522238569f210094c7b0fb559ba9160beb137398,d67b38be696b7cfa6180a7940606aa67a399c7c0a8a8cf2d0150d627891f0b78,d45d20ff7968e76d9b41458aa4fbaacea07b1af9990956421ee8c8fa596ef960,1082d8cdabc77f4a52c5c4924c319c44afc53ed0f959196efd74dab3c4b99e63,3b9324d8c5274d5d68d3ad3c4509eceaa7994f47e47e3f35a23e37d4a707eea9,4ac73e76b22b27362e4e5124df960be1044c38c6afe34307484c5008ab68d8ce,f54b646a7220e0881b86cef5eac54ef887c05d18e851705fba32f395eb47c8aa,5657ec3b63e0f760834b7573b96208e2dc573c47ee3c0bcfd4aba13104bec3b3
"119931","1.7","-200","1","1","0","100","1","1001","psy_miyako_idle","-220"
"1","1.7","1000","5","1","1","100","1","1002","psy_idle_normal","-220"
"2","1.7","-50","5","1","0","105","1","1003","psy_fairy_idle","-220"
"11","1","0","31","1","","0","1","1004","","1"
"psy_item00_run","0.2","","3","1","","1","1","1005","",""
"285","","2.5","2","1","","-220","1","1006","","0"
"","","","93","1","","","2.5","1007","",""
"psy_item00_idle","0.2","","3","1","","1","1","1008","",""
"","","","93","1","","","0.5","1009","",""
"psy_miyako_talk1","0.2","","3","1","","1","119931","1010","",""
"vo_minigame_1008_drama_0101","","0","21","1","","0","vo_minigame_1008","1011","",""
"おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！","0","1","11","1","0","6","119931","1012","0.5","0"
"1","","","93","1","","","6","1013","",""
"psy_miyako_doya_in","0.2","psy_miyako_doya_loop","3","1","0.2","0","119931","1014","","1"
"","","","91","1","","","1012","1015","",""
"0","","","22","1","","","0","1016","",""
"psy_fairy_talk","0.2","","3","1","","1","2","1017","",""
"vo_minigame_1008_drama_9901","","0","21","1","","0","vo_minigame_1008","1018","",""
"キュイキュイ！","0","1","11","1","0","6","2","1019","0.5","0"
"","","","91","1","","","0","1020","",""
"psy_fairy_idle","0.2","","3","1","","1","2","1021","",""
"psy_miyako_talk2","0.2","","3","1","","1","119931","1022","",""
"vo_minigame_1008_drama_0102","","0","21","1","","0","vo_minigame_1008","1023","",""
"オマエも手伝いたいの？\nそれなら卵と牛乳をマヒルから\nたくさんもらってくるの！\n材料はたくさんあったほうがいいの！","0","1","11","1","0","5","119931","1024","0.5","0"
"1","","","93","1","","","2","1025","",""
"psy_miyako_talk_joy2","0.2","","3","1","","1","119931","1026","",""
"","","","91","1","","","1024","1027","",""
"0","","","22","1","","","0","1028","",""
"psy_miyako_idle","0.2","","3","1","","1","119931","1029","",""
"1","","","4","1","","","2","1030","",""
"psy_fairy_run_in","0.2","psy_fairy_run","3","1","0","0","2","1031","","1"
"","","","93","1","","","1.3","1032","",""
"1000","","1","2","1","","-220","2","1033","","0"
"","","","93","1","","","2","1034","",""
"psy_miyako_doya_in","0.2","psy_miyako_doya_loop","3","1","0.2","0","119931","1035","","1"
"vo_minigame_1008_drama_0103","","0","21","1","","0","vo_minigame_1008","1036","",""
"オマエはミヤコを手伝うの！\nめんどくさいことは全部\nオマエに任せるの！","0","1","11","1","0","6","119931","1037","0.5","0"
"","","","91","1","","","0","1038","",""
"0","","","22","1","","","0","1039","",""
"11","0","0","12","1","0","1","1","1040","0","0"
"psy_item00_talk_guts","0.2","psy_item00_idle_guts","3","1","0.2","0","1","1041","","1"
"","","","93","1","","","2","1042","",""
"psy_miyako_talk_joy2","0.2","","3","1","","1","119931","1043","",""
"vo_minigame_1008_drama_0104","","0","21","1","","0","vo_minigame_1008","1044","",""
"みんなみんな\nおいしいプリンにしてやるの～♪","0","1","11","1","0","5","119931","1045","0.5","0"
"1","","","93","1","","","4","1046","",""
"psy_miyako_fight_in","0.2","psy_miyako_fight_loop","3","1","0.2","0","119931","1047","","1"
"psy_item00_handsup","0.2","psy_item00_handsup_loop","3","1","0.2","0","1","1048","","1"
"","","","93","1","","","1.5","1049","",""
"","","","91","1","","","1045","1050","",""
"0","","","22","1","","","0","1051","",""
"119931","1.7","-300","1","2","0","100","1","2001","psy_miyako_start","-200"
"106011","1.7","300","1","2","1","100","1","2002","psy_walk","-220"
"11","1","0","31","2","","0","1","2003","","1"
"1","1.7","-300","5","2","0","101","1","2004","psy_smoke_start","-200"
"185","","2","2","2","","-220","106011","2005","","0"
"","","","93","2","","","2","2006","",""
"psy_kyaru_talk_arm_crossed","0.2","psy_kyaru_talk_arm_crossed_loop","3","2","0","0","106011","2007","","1"
"vo_minigame_1008_drama_0305","","0","21","2","","0","vo_minigame_1008","2008","",""
"ねぇ、あんた。\nペコリーヌに差し入れるのにちょうど\nいいお菓子を適当に見つくろって……","0","1","11","2","0","8","106011","2009","0.5","0"
"","","","91","2","","","0","2010","",""
"vo_minigame_1008_drama_0306","","0","21","2","","0","vo_minigame_1008","2011","",""
