80fda047b65cf745d29ee579021801da6eff539573038ec284a9543a80c5267b,4e69496a6adbca3bcdb9e38f0c90183c9c5b7dfe9391bd26cd1b648cebe2b965,5671586a1b6e4819e194185d40ad902319770e6daa56ccbb68dacdb64ed4968b,db595f5a4a7f5216e653435757d4ae4121dfbf1a3c1e2003d3c4a36cbac69fb9,8c91ef89c8640ac9859f13c4d26a3601f9a1145fab77e6b6d6a5dedc0a6ccbea,5e2391c87f4f2ba5ae3190ebd350391dabfc1b33eaeb52d69f8b306294c560e1,265d82087dea0e9949b0af858c972ef5bb3eb3749331c5e917df223926f4d882,a0382d4faab2d075145ff691e63009085780d76321ddba545418ad4f2ed78cea,98760178e2a10a6eb47a68b1205b70ff85d444559c2705a7fdbf3c074224a853,a8a467048e24234cbcb1593d379d0d211aa9c2c75733551e3d67ea6081a03ce9,0812d2216b10ff02ec8b4cdbb429b4031a3802648c0d72077c95f54ed4dcfed2
"201001","0","-150","1","55","empty","1.3","201","118511","150","2"
"201002","0","-150","5","56","empty","0.65","201","1","150","1"
"201003","0","-180","5","50","empty","1.9","201","3","-650","3"
"201004","","","91","","","","201","0","","201001"
"201005","","","3","0","","0","201","empty","","118511"
"201006","","","91","","","","201","","","0"
"201007","","","23","0","","","201","se_labyrinth_event_drama_201","","se_labyrinth"
"201008","","","3","0","","0","201","201_karin","","118511"
"201009","","","3","0","","0","201","201_karin","","1"
"201010","","","3","0","","0","201","201_hero","","3"
"201011","","11","2","-180","","","201","-150","1.2","3"
"201012","","","93","","","","201","0","","1.7"
"201013","","","21","0","","","201","vo_labyrinth_drama_20101","","vo_labyrinth_drama"
"201014","","","93","","","","201","0","","0.8"
"201015","0","0","12","1","0","0","201","7","0","3"
"201016","","","23","0","","","201","se_labyrinth_event_emote_7","","se_labyrinth"
"201017","","","93","","","","201","0","","1.1"
"311001","0","-213","5","55","empty","1.9","311","310","-225","310"
"311002","0","-187","5","50","empty","0.8","311","104","427","104"
"311003","","1","31","0","","0","311","300","0","300"
"311004","","1","31","0","","1","311","303","0","303"
"311005","","1","31","0","","1","311","304","0","303"
"311006","","1","31","0","","0","311","301","0","301"
"311007","","","91","","","","311","0","","311001"
"311008","","","3","0","","0","311","empty","","310"
"311009","","","91","","","","311","","","0"
"311010","","","23","0","","","311","se_labyrinth_event_drama_311","","se_labyrinth"
"311011","","","21","0","","","311","vo_labyrinth_drama_31101","","vo_labyrinth_drama"
"311012","","","3","0","","0","311","311_hiyori_jankenpon_win","","310"
"311013","","","3","0","","0","311","jankenpon_lose","","104"
"311014","","","32","","","","311","1","","300"
"311015","","","37","","","","311","L_gu_WIN","","303"
"311016","","","37","","","","311","R_choki_LOSE","","304"
"311017","","","93","","","","311","0","","3.133"
"311018","","","32","","","","311","1","","301"
"311019","","","21","0","","","311","vo_labyrinth_drama_31102","","vo_labyrinth_drama"
"311020","","","93","","","","311","0","","1.867"
"312001","0","-213","5","55","empty","1.9","312","310","-225","310"
"312002","0","-187","5","50","empty","0.8","312","105","427","105"
"312003","","1","31","0","","0","312","300","0","300"
"312004","","1","31","0","","1","312","303","0","303"
"312005","","1","31","0","","1","312","304","0","303"
"312006","","1","31","0","","0","312","302","0","302"
"312007","","","91","","","","312","0","","312001"
"312008","","","3","0","","0","312","empty","","310"
"312009","","","91","","","","312","","","0"
"312010","","","23","0","","","312","se_labyrinth_event_drama_312","","se_labyrinth"
"312011","","","21","0","","","312","vo_labyrinth_drama_31201","","vo_labyrinth_drama"
"312012","","","3","0","","0","312","312_hiyori_jankenpon_lose","","310"
"312013","","","3","0","","0","312","jankenpon_win","","105"
"312014","","","32","","","","312","1","","300"
"312015","","","37","","","","312","L_gu_LOSE","","303"
"312016","","","37","","","","312","R_pa_WIN","","304"
"312017","","","93","","","","312","0","","3"
"312018","","","32","","","","312","1","","302"
"312019","","","21","0","","","312","vo_labyrinth_drama_31202","","vo_labyrinth_drama"
"312020","","","93","","","","312","0","","2"
"321001","0","-213","5","55","empty","1.9","321","320","-225","320"
"321002","0","-187","5","50","empty","0.8","321","105","427","105"
"321003","","1","31","0","","0","321","300","0","300"
"321004","","1","31","0","","1","321","303","0","303"
"321005","","1","31","0","","1","321","304","0","303"
"321006","","1","31","0","","0","321","301","0","301"
"321007","","","91","","","","321","0","","321001"
"321008","","","3","0","","0","321","empty","","320"
"321009","","","91","","","","321","","","0"
"321010","","","23","0","","","321","se_labyrinth_event_drama_321","","se_labyrinth"
"321011","","","21","0","","","321","vo_labyrinth_drama_32101","","vo_labyrinth_drama"
"321012","","","3","0","","0","321","321_rei_jankenpon_win","","320"
"321013","","","3","0","","0","321","jankenpon_lose","","105"
"321014","","","32","","","","321","1","","300"
"321015","","","37","","","","321","L_choki_WIN","","303"
"321016","","","37","","","","321","R_pa_LOSE","","304"
"321017","","","93","","","","321","0","","3.133"
"321018","","","32","","","","321","1","","301"
"321019","","","21","0","","","321","vo_labyrinth_drama_32102","","vo_labyrinth_drama"
"321020","","","93","","","","321","0","","1.867"
"322001","0","-213","5","55","empty","1.9","322","320","-225","320"
"322002","0","-187","5","50","empty","0.9","322","103","427","103"
"322003","","1","31","0","","0","322","300","0","300"
"322004","","1","31","0","","1","322","303","0","303"
"322005","","1","31","0","","1","322","304","0","303"
"322006","","1","31","0","","0","322","302","0","302"
"322007","","","91","","","","322","0","","322001"
"322008","","","3","0","","0","322","empty","","320"
"322009","","","91","","","","322","","","0"
"322010","","","23","0","","","322","se_labyrinth_event_drama_322","","se_labyrinth"
"322011","","","21","0","","","322","vo_labyrinth_drama_32201","","vo_labyrinth_drama"
"322012","","","3","0","","0","322","322_rei_jankenpon_lose","","320"
"322013","","","3","0","","0","322","jankenpon_win","","103"
"322014","","","32","","","","322","1","","300"
"322015","","","37","","","","322","L_choki_LOSE","","303"
"322016","","","37","","","","322","R_gu_WIN","","304"
"322017","","","93","","","","322","0","","3"
"322018","","","32","","","","322","1","","302"
"322019","","","21","0","","","322","vo_labyrinth_drama_32202","","vo_labyrinth_drama"
"322020","","","93","","","","322","0","","2"
"331001","0","-213","5","55","empty","1.9","331","330","-225","330"
"331002","0","-187","5","50","empty","0.9","331","103","427","103"
"331003","","1","31","0","","0","331","300","0","300"
