aa96ae597b828a3b62644fa39441bd12e0e67bb7195c5ef800e640f9e7d1dc5d,9dfd04bce60dfa388d46460ca27c616a2b610c53aad8f9a29acdcae7e2635ac6,46770f903b4e69147526ae5c697bdc087e91a3c25812c7e24dfc41f1d0e4d8a9,47c166d8d8106523284e303226658bd9e5100f2b4c22a094c279a839c1eb1a0c,a358a3b06a4bdd893ba2aa8258e8c6e42a02af788178d3c85c53691d397c562d,1b98949e2f3654ae57b2ae065801ec43bfc6ed03c0ce15ad7b7a982ccaa7e9e1
"1","15","10101001","58002001","1001","1"
"2","15","10101002","58002002","1002","1"
"3","15","10101003","58002003","1003","1"
"4","15","10201001","56011001","1001","1"
"5","15","10201002","56011002","1002","1"
"6","15","10201003","56011003","1003","1"
"7","8","91002","56011003","0","50"
"8","15","10201004","56011004","1001","1"
"9","15","10201005","56011005","1002","1"
"10","15","10201006","56011006","1003","1"
"11","8","91002","56011006","0","50"
"12","15","10201007","56011007","1001","1"
"13","15","10201008","56011008","1002","1"
"14","15","10201009","56011009","1003","1"
"15","8","91002","56011009","0","50"
"16","15","10201010","56011010","1001","1"
"17","15","10201011","56011011","1002","1"
"18","15","10201012","56011012","1003","1"
"19","8","91002","56011012","0","50"
"20","15","10201013","56011013","1001","1"
"21","15","10201014","56011014","1002","1"
"22","15","10201015","56011015","1003","1"
"23","8","91002","56011015","0","50"
"24","15","10201016","56011016","1001","1"
"25","15","10201017","56011017","1002","1"
"26","15","10201018","56011018","1003","1"
"27","8","91002","56011018","0","50"
"28","15","10201019","56011019","1001","1"
"29","15","10201020","56011020","1002","1"
"30","15","10201021","56011021","1003","1"
"31","8","91002","56011021","0","50"
"32","15","10201022","56011022","1001","1"
"33","15","10201023","56011023","1002","1"
"34","15","10201024","56011024","1003","1"
"35","8","91002","56011024","0","50"
"36","15","10201025","56011025","1001","1"
"37","15","10201026","56011026","1002","1"
"38","15","10201027","56011027","1003","1"
"39","8","91002","56011027","0","50"
"40","15","10201028","56011028","1001","1"
"41","15","10201029","56011029","1002","1"
"42","15","10201030","56011030","1003","1"
"43","8","91002","56011030","0","50"
"44","15","10201031","56011031","1001","1"
"45","15","10201032","56011032","1002","1"
"46","15","10201033","56011033","1003","1"
"47","8","91002","56011033","0","50"
"48","15","10201034","56011034","1001","1"
"49","15","10201035","56011035","1002","1"
"50","15","10201036","56011036","1003","1"
"51","8","91002","56011036","0","50"
"52","15","10201037","56011037","1001","1"
"53","15","10201038","56011038","1002","1"
"54","15","10201039","56011039","1003","1"
"55","8","91002","56011039","0","50"
"56","15","10201040","56011040","1001","1"
"57","15","10201041","56011041","1002","1"
"58","15","10201042","56011042","1003","1"
"59","8","91002","56011042","0","50"
"60","15","10201043","56011043","1001","1"
"61","15","10201044","56011044","1002","1"
"62","15","10201045","56011045","1003","1"
"63","8","91002","56011045","0","50"
"64","15","10201046","56011046","1001","1"
"65","15","10201047","56011047","1002","1"
"66","15","10201048","56011048","1003","1"
"67","8","91002","56011048","0","50"
"68","15","10201049","56011049","1001","1"
"69","15","10201050","56011050","1002","1"
"70","15","10201051","56011051","1003","1"
"71","8","91002","56011051","0","50"
"72","15","10201052","56011052","1001","1"
"73","15","10201053","56011053","1002","1"
"74","15","10201054","56011054","1003","1"
"75","8","91002","56011054","0","50"
"76","15","10201055","56011055","1001","1"
"77","15","10201056","56011056","1002","1"
"78","15","10201057","56011057","1003","1"
"79","8","91002","56011057","0","50"
"80","15","10201058","56011058","1001","1"
"81","15","10201059","56011059","1002","1"
"82","15","10201060","56011060","1003","1"
"83","8","91002","56011060","0","50"
"84","15","10201061","56011061","1001","1"
"85","15","10201062","56011062","1002","1"
"86","15","10201063","56011063","1003","1"
"87","8","91002","56011063","0","50"
"88","15","10201064","56011064","1001","1"
"89","15","10201065","56011065","1002","1"
"90","15","10201066","56011066","1003","1"
"91","8","91002","56011066","0","50"
"92","15","10201067","56011067","1001","1"
"93","15","10201068","56011068","1002","1"
"94","15","10201069","56011069","1003","1"
"95","8","91002","56011069","0","50"
"96","15","10201070","56011070","1001","1"
"97","15","10201071","56011071","1002","1"
"98","15","10201072","56011072","1003","1"
"99","8","91002","56011072","0","50"
"100","15","10201073","56011073","1001","1"
"101","15","10201074","56011074","1002","1"
"102","15","10201075","56011075","1003","1"
"103","8","91002","56011075","0","50"
"104","15","10201076","56011076","1001","1"
"105","15","10201077","56011077","1002","1"
"106","15","10201078","56011078","1003","1"
"107","8","91002","56011078","0","50"
"108","15","10201079","56011079","1001","1"
"109","15","10201080","56011080","1002","1"
"110","15","10201081","56011081","1003","1"
"111","8","91002","56011081","0","50"
"112","15","10201082","56011082","1001","1"
"113","15","10201083","56011083","1002","1"
"114","15","10201084","56011084","1003","1"
"115","8","91002","56011084","0","50"
"116","15","10201085","56011085","1001","1"
"117","15","10201086","56011086","1002","1"
"118","15","10201087","56011087","1003","1"
"119","8","91002","56011087","0","50"
"120","15","10201088","56011088","1001","1"
"121","15","10201089","56011089","1002","1"
"122","15","10201090","56011090","1003","1"
"123","8","91002","56011090","0","50"
"124","15","10201091","56011091","1001","1"
"125","15","10201092","56011092","1002","1"
"126","15","10201093","56011093","1003","1"
"127","8","91002","56011093","0","50"
"128","15","10201094","56011094","1001","1"
"129","15","10201095","56011095","1002","1"
"130","15","10201096","56011096","1003","1"
"131","8","91002","56011096","0","50"
"132","15","10201097","56011097","1001","1"
"133","15","10201098","56011098","1002","1"
"134","15","10201099","56011099","1003","1"
"135","8","91002","56011099","0","50"
"136","15","10201100","56011100","1001","1"
"137","15","10201101","56011101","1002","1"
"138","15","10201102","56011102","1003","1"
"139","8","91002","56011102","0","50"
"140","15","10201103","56011103","1001","1"
