14bd14e74a1573598b307890943f667d1de1c7294f192c760d7da97b7b32523b,fccd1eac24c984d00dc9b02920907c7abb164ed274d14e5e67225db1fe9995ec,5159411897b4b4d50ade9ea244ca176e9b0241f13173850afeea3ad4c7b9ef6e,2dda6381721883cfd62de60bb0831d07fcb1db62ae92312c56e2a35cf89cd7d4,2fda94df0ecce2ca8947ca10cf2405ca3f620ed7f2ef178564f776643abd4d54,b4d5f3fb50a20394f9261eed82f6b1d21813d3ff6a987f7a5f5473abaae9be0e,c32d1139848703bd43c743c90fc5619f9697788b73d8acd062d49a925c631737,d176fb70007e6e32e2b27da0623915ae26c7267570a0c2f0fd2b481c9eb27e22,227545a3f04ca6d36f3d64ddd3f06b166664fd8d3cc88f90398b96bb93b2c114
"2","2","3","6","2","3","1","1","100101"
"1","1","2","5","1","3","2","3","100201"
"2","3","3","7","1","2","3","1","100301"
"2","2","3","13","2","2","3","1","100401"
"3","2","1","18","2","3","2","2","100501"
"3","2","2","25","1","3","2","1","100601"
"1","3","2","26","2","3","2","3","100701"
"1","3","1","40","2","2","3","3","100801"
"3","3","3","34","1","2","2","1","100901"
"1","1","2","8","1","3","2","3","101001"
"1","2","2","56","3","3","2","2","101101"
"2","2","3","43","3","1","2","1","101201"
"3","2","1","33","1","3","3","1","101301"
"2","1","1","11","1","2","2","3","101401"
"1","1","2","42","1","2","3","3","101501"
"1","2","1","46","3","3","3","2","101601"
"2","2","1","10","3","3","2","1","101701"
"2","1","1","45","1","2","3","3","101801"
"2","1","3","12","2","3","1","2","102001"
"2","1","2","30","1","3","3","1","102101"
"2","1","2","24","3","1","3","1","102201"
"3","2","3","31","2","3","1","1","102301"
"1","1","1","29","3","2","2","3","102501"
"1","1","2","51","2","3","1","3","102601"
"1","3","3","36","2","1","3","2","102701"
"1","1","1","28","2","2","3","2","102801"
"1","1","2","52","2","3","2","2","102901"
"2","2","1","39","1","3","3","2","103001"
"1","3","3","27","2","2","1","3","103101"
"1","2","3","19","2","1","2","3","103201"
"2","2","3","48","1","3","1","2","103301"
"3","1","2","20","2","1","2","2","103401"
"3","3","1","14","2","1","2","3","103601"
"3","3","1","17","2","2","3","1","103701"
"3","3","2","49","1","2","1","3","103801"
"3","1","2","44","3","1","1","2","104001"
"2","3","1","53","2","2","2","3","104201"
"1","3","3","9","3","2","2","1","104301"
"2","3","3","23","1","2","1","3","104401"
"3","1","2","38","1","2","2","2","104501"
"1","2","2","21","3","2","1","3","104601"
"3","3","1","15","3","2","2","1","104701"
"2","3","2","22","3","1","3","1","104801"
"1","1","3","55","2","2","2","2","104901"
"2","1","1","47","3","3","2","2","105001"
"2","3","1","35","3","1","1","3","105101"
"1","2","2","50","2","3","2","2","105201"
"1","3","3","37","2","2","3","1","105301"
"1","2","2","54","3","3","1","2","105401"
"3","1","3","41","1","2","1","2","105501"
"1","3","2","32","3","3","2","1","105601"
"2","1","2","67","2","3","2","1","105701"
"1","2","2","1","2","3","2","2","105801"
"2","1","2","2","1","2","2","3","105901"
"3","3","1","3","3","2","1","2","106001"
"2","2","3","58","2","3","2","1","106101"
"2","1","3","68","2","3","1","1","106301"
"3","1","2","4","2","3","2","1","106401"
"3","3","1","61","2","3","2","1","106501"
"3","2","1","62","2","3","1","3","106601"
"2","3","1","60","1","2","2","2","106701"
"3","1","1","57","2","1","2","1","106801"
"2","3","2","59","1","1","1","3","107001"
"2","3","2","16","2","1","3","1","107101"
"2","1","2","70","1","2","2","2","109201"
"1","2","2","72","3","3","2","2","109301"
"2","3","1","71","3","2","3","1","109401"
"2","1","2","64","3","2","2","1","110801"
"1","2","1","65","2","2","3","2","110901"
"2","3","1","63","1","3","1","3","111001"
"3","2","2","69","3","2","1","2","111401"
"2","2","1","66","3","1","2","3","118001"
