bc837e748f31162cdaba45a2f3a891123218b5cafcb4c63b319e7229e92363d1,7b6c95bc652f05c2880a56ad784ca57684d2eaa9b4a2b6f4d160fce3d666f6dc,6a5d05e2eab71e50832b1db6e8fb617523cfba504bd7feedd9a53b1043fca340,c529b010edca91ef1f901a39d8713a4427444847826a2ba8a959b9d685779e01,0b47a22503b75547f57a0574810e1c5c1122a5c577e2044a2ccb156f0271738a,81b24f0b40a9d45f55f2382e0e072b260754c28cf4bf7c6c6e26612a548bb17a,728dac5b8a0c2a9ab3421630717c747032e4214ec9ebd12274ed4dd5c8581ca7,4f7555e627a9deb81d4e7f8f8e5986cb409927aed853428c97e0135475ddd963,91fe475e26731d2a4de29437f103bb527c7195f39a03f93df54d5a6366aee387,12a8146e59872ad42a49eeedd4639bbf24cd078ccd59d76591d1dc66d3a92d25,9380d526c61eded9b35857924ac2f7278dd606035e2ffcabaad879e036e2b9da,43e83de3f157931afca1630f1e6a214e70f2dac7ecbd8cc4937c1916e54a9efb,ed87ee08d849e3f4249d0b496693ff28092869806016895673089e201b56920c,6aa97d0e49c409290ebb39211474b69e24adaaa91b02630f8804b7db723e8a4a
"4","0","0","1","10021","24","110501","0","カオリ（サマー）","24015","2019/07/31 12:00:00","2030/12/17 14:59:59","4","あうぅ～残念さ～\nマジムンに魂を\n奪われちゃったかな～？"
"1","0","4","2","10021","24","110501","0","カオリ（サマー）","24016","2019/07/31 12:00:00","2030/12/17 14:59:59","4","今日は踊りのキレも悪いよ～\nゴーヤーっぽいもの食べて、元気回復さ～！"
"4","0","0","3","10021","24","110501","0","カオリ（サマー）","24017","2019/07/31 12:00:00","2030/12/17 14:59:59","4","マジムンだらけで目が回るさ～！\nふらふらさ～！"
"2","0","5.2","4","10021","24","110501","0","カオリ（サマー）","24018","2019/07/31 12:00:00","2030/12/17 14:59:59","1","なんくるない、なんくるない\n次、頑張ればいいんだよ～！\n海で泳いで\nリフレッシュするさー！"
"6","0","4.2","5","10021","24","110501","0","カオリ（サマー）","24019","2019/07/31 12:00:00","2030/12/17 14:59:59","5","恥ずかしいところ\n見られちゃったね～\n水着？　水着のことじゃないよー？"
"2","0","0","6","10021","24","110501","0","カオリ（サマー）","24020","2019/07/31 12:00:00","2030/12/17 14:59:59","2","絶好調さ～！　この調子で\n海の平和を取り戻すよ～！\n楽しい夏が待ってるさ～！"
"6","0","6.4","7","10021","24","110501","0","カオリ（サマー）","24021","2019/07/31 12:00:00","2030/12/17 14:59:59","1","何匹で襲ってきたって\n私はマブイを落っことさないよ～！\nくしゅん！　あ……\n今のくしゃみで落っこちたかも～？"
"2","0","0","8","10021","24","110501","0","カオリ（サマー）","24022","2019/07/31 12:00:00","2030/12/17 14:59:59","2","ひーやーさーさー♪\n戦いの後は、踊りを踊って\n気分スッキリさ～！"
"3","0","10.08","9","10021","24","110501","0","カオリ（サマー）","24023","2019/07/31 12:00:00","2030/12/17 14:59:59","6","あれ～？　戦ってるうちに\n水着がどっか行っちゃった～？\nねぇキミ、どっかで見なかった～？\nなんで離れるさ～？"
"2","0","5","10","10021","24","110501","0","カオリ（サマー）","24024","2019/07/31 12:00:00","2030/12/17 14:59:59","1","まだまだ私は元気だよ～！\nマジムンでもなんでも、\nどんとこーいさー♪"
"2","0","0","11","10021","24","110501","0","カオリ（サマー）","24025","2019/07/31 12:00:00","2030/12/17 14:59:59","2","私の空手は世界最強さ～！\n夏の陽射しと青い海も合わされば、\n向かうところ敵なしだよー！"
