b5968f3e4f7b4b6d287342d026c79c7a46c4097f85c043b1c090383ed89218d7,8f1dc7f5448a45269f58d7c5315cbf0fe96fb63884f8a9747579dd23a8f64920,f19e238f8e563fe433a913336cab2ca040915202006ce1fe7aaf0927a9cbefd6,97bd831064b6d03d0669f657d015bd919e666923add3dec5b1bf3baaf57cfdbe,e5fbe4b6df4b00a53e4d95bfaf248cbcafc8f483a1dbb97de0d2dd27e671a8c8,8979b2ea893e2dca7fe3b4910d947703817dbf3407a9e1ef85e2d015dbdf97e3,4244fbbacd3aaa7e420a7e615291283c0d12c7fb632b311c0e34e585ff15aaa6,415c7923ebe00a91b10cd5b2d917c8768fa4aed6912c96cddfacb411fee3613e,5f4601d0b74feb932347eb5f800cb5890fe570d9f11d7dbb21f2889538711006,4d32aa2cc5495cf3c90feb4a940798d439fa18848856e8885587e4010b412ce9,598a44217c41dffbb26323b6865d313bf9c9275ba04611f1d1ecf94feaf5fb30
"23","","","","","se_10053800","","","se_fpc_water_random","101","11010001"
"1","1.75","0","cmn_swm_tread","23","1","-180","-850","<unit_id>","101","11010002"
"5","1.75","0","cmn_swm_tread_pink","22","1","-180","-850","1","101","11010003"
"31","1","","","-850","3","1","-180","3","101","11010004"
"91","","","","","0","","","0","101","11010005"
"2","","","","-180","<unit_id>","","10","850","101","11010006"
"2","","","","-180","1","","10","850","101","11010007"
"33","","","","-180","3","","10","850","101","11010008"
"23","","","","","se_10053800","","","se_fpc_water_random","102","11020001"
"1","1.75","0","cmn_swm_tread","23","1","-180","-850","<unit_id>","102","11020002"
"5","1.75","0","cmn_swm_tread_blue","22","1","-180","-850","1","102","11020003"
"31","1","","","-850","3","1","-180","3","102","11020004"
"91","","","","","0","","","0","102","11020005"
"2","","","","-180","<unit_id>","","10","850","102","11020006"
"2","","","","-180","1","","10","850","102","11020007"
"33","","","","-180","3","","10","850","102","11020008"
"23","","","","","se_10053800","","","se_fpc_water_random","103","11030001"
"1","1.75","0","cmn_swm_tread","23","1","-180","-850","<unit_id>","103","11030002"
"5","1.75","0","cmn_swm_tread","22","1","-180","-850","1","103","11030003"
"31","1","","","-850","3","1","-180","3","103","11030004"
"91","","","","","0","","","0","103","11030005"
"2","","","","-180","<unit_id>","","10","850","103","11030006"
"2","","","","-180","1","","10","850","103","11030007"
"33","","","","-180","3","","10","850","103","11030008"
"23","","","","","se_10053800","","","se_fpc_water_random","151","11510001"
"1","1.75","0","cmn_swm_flutterKick","22","1","-180","-850","<unit_id>","151","11510002"
"31","1","","","-850","1","1","-180","1","151","11510003"
"91","","","","","0","","","0","151","11510004"
"2","","","","-180","<unit_id>","","10","1050","151","11510005"
"33","","","","-180","1","","10","1050","151","11510006"
"23","","","","","se_10053800","","","se_fpc_water_random","201","12010001"
"1","1.75","0","cmn_swm_breastStroke","22","1","-180","-850","<unit_id>","201","12010002"
"31","1","","","-850","2","1","-180","2","201","12010003"
"91","","","","","0","","","0","201","12010004"
"2","","","","-180","<unit_id>","","10","850","201","12010005"
"33","","","","-180","2","","10","850","201","12010006"
"23","","","","","se_10053800","","","se_fpc_water_random","251","12510001"
"1","1.75","0","cmn_swm_diving","22","1","-180","-850","<unit_id>","251","12510002"
"31","1","","","-850","9","1","-180","9","251","12510003"
"91","","","","","0","","","0","251","12510004"
"2","","","","-180","<unit_id>","","10","850","251","12510005"
"33","","","","-180","9","","10","850","251","12510006"
"23","","","","","se_10053800","","","se_fpc_water_random","301","13010001"
"1","1.75","0","cmn_swm_flutterKick_floatRing","23","1","-180","-850","<unit_id>","301","13010002"
"5","1.75","0","cmn_swm_flutterKick_floatRing_pink","22","1","-180","-850","1","301","13010003"
"31","1","","","-850","1","1","-180","1","301","13010004"
"91","","","","","0","","","0","301","13010005"
"2","","","","-180","<unit_id>","","10","1050","301","13010006"
"2","","","","-180","1","","10","1050","301","13010007"
"33","","","","-180","1","","10","1050","301","13010008"
