61daf5762f99f8522ac3713fb51e21730af79cf47b6e9779565cbd690040fcba,745ac68ccdfb25ff113aa17cbe23d0384345d9bcc40484393a3a459fe2064f95,218eeb783534581caa69905c67c88990377215e487df5aa3a5f87d57b45eab50
"101","サイドストーリーでは、特別なストーリーを楽しめます。\nイベントストーリーはイベントクエストを進めると解放されていきます。","1"
"201","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","2"
"301","ボスに挑戦すると、信頼度エピソードが発生する\nことがございます。会話の結果によって信頼度がアップし、\n特定の信頼度に到達するとプレゼントがもらえます。","3"
"20005","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","4"
"20007","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","5"
"20009","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","6"
"20010","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","7"
"20011","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","8"
"20013","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","9"
"20015","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","10"
"20016","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","11"
"20018","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","12"
"20020","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","13"
"20021","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","14"
"20022","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","15"
"20025","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","16"
"20026","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","17"
"20027","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","18"
"20029","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","19"
"20031","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20"
"20032","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","21"
"20033","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","22"
"20035","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","23"
"20038","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","24"
"20040","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","25"
"20042","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","26"
"20044","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","27"
"20045","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","28"
"20047","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","29"
"20051","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","30"
"20052","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","31"
"20053","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","32"
"20055","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","33"
"20057","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","34"
"20058","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","35"
"20059","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","36"
"20063","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","37"
"20065","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","38"
"20066","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","39"
"20067","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","40"
"20068","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","41"
"2003201","VERY HARDでカズマサさまが援護してくれるようです。\n強力なスタン効果のユニオンバーストで、サポートしてくださいますよ。\nボスが身動きを取れなくなっている間に、一気に倒しましょう。","2003201"
"2003901","主さまが宿題に励んでおられるようです。\n宿題が終わるまでモンスターの攻撃を耐え抜けば勝利となりますよ。\n宿題がどこまで進んでいるかは画面のゲージを確認しましょう。	","2003901"
