cdb66a2e5e7818f2682ecc8fe5d830ba05032870c19cee08fff8e1208f8886b5,3aee4be68fb8da41579e7715aa3bf5dd14eaf082c5a4004903b94d01eb201c6c,8aeea803228086cd43f0a81c34909997a814bf1b014e55c86d9227ca33f39acf,89e7cf04dc4f6bdd1175e3cf7ddeeb8df5db29a6ad51f6492c7c3c167ffed211,537f652d14500a59c3851cd640ea85bb77c934302eac096df812ff1ae0cd6deb,9a597585df62ccb5b73ce2c05c26c176acdf134e5582bb16f175d99102428523,090a1a676d5e71c48f74bd77e9249d61b81aa946022843fe9aa54571d3df1585,b92b0f9ffa9c02d86cefd5f1de0e26ccfaf96a1e042e4a66593ce02809a877b1,18deee63e22f6d75036cab90ad34ca8b789abdd66c8e97e1a007412504d1b2cf,affc320020bb38f27343c53f0aef9ce203e063f6a3abdc1f75261c65022a90c5,ccd198b8a2928f415981f17e2b563fab1b294cc0fe6366b5424f2cdb0a921683
"20070115","0","8","0","2","91002","5128071","25","二人だけの時間","10128","0"
"0","0","8","0","2","91002","5128072","25","新居の必須条件","10128","5128071"
"0","0","8","0","2","91002","5128073","25","本当は誰よりも","10128","5128072"
"0","0","8","0","2","91002","5128074","25","家族で大切に\nしたいこと","10128","5128073"
"0","0","8","0","2","91002","5128075","50","誓いの言葉","10128","5128074"
"20070115","0","8","0","3","91002","5128081","25","血の婚約報告","10128","0"
"0","0","8","0","3","91002","5128082","25","風来人の家探し","10128","5128081"
"0","0","8","0","3","91002","5128083","25","愛おしい時間","10128","5128082"
"0","0","8","0","3","91002","5128084","25","トーゴクの\n家族文化","10128","5128083"
"0","0","8","0","3","91002","5128085","50","飾らない愛を","10128","5128084"
"0","5128085","0","0","4","0","5128091","0","口約束は災いのもと","10128","5128075"
"0","0","0","11001271","4","0","5128092","0","譲れない家庭の味","10128","5128091"
"20070115","0","0","0","1","0","5128161","0","夢の語り部に誘われて","10128","0"
