3fea4b3c4e2cadba67513780d2e23fae3364011bf3ce55c37f9d84aade8cf42f,270153079378a7d482f89bb0c5c6fb6353655e0275af32b57c169b75839b4b14,381870b4b1ee22b32092b5778c6370d69bc4f1c6835c1684e518cb7d38322f7c,fe0942ed088ea297fe64125e2b68c4f72a8c4d356ca6db6a865fc6106ba6e637,80e146be8edc63ca53ae4596f6991128dcc908e6172b29754e1d37f322b462a1,0415e6bd5eda4503c0d1794167ff1c70a0d1f9c88a3e7b9036018eba97a568ab,f6bede806393e096b3a697b0e9a2d839d346cae14b52b602e7d24deab9a1a584
"ふっふっふ、これでカヤぴぃとボスを見返してやるです！","1000101","2","1","vo_minigame_1004_top_1_000","10001","vo_minigame_1004"
"しりとりでの戦い、お兄さんにも手伝ってもらうです","1000201","2","1","vo_minigame_1004_top_1_003","10002","vo_minigame_1004"
"どんなケンカも売られた以上は買うのが喧嘩屋だ！やってやるぜ！","1000301","1","2","vo_minigame_1004_top_1_004","10003","vo_minigame_1004"
"石板でしりとりか……イノリのヤツおもしろいこと考えるな","1000401","1","2","vo_minigame_1004_top_1_005","10004","vo_minigame_1004"
"しりとりだろうがなんだろうが返り討ちにしてやるぜ","1000501","1","2","vo_minigame_1004_top_1_006","10005","vo_minigame_1004"
"ぐもも……（オデ、ハラヘッタ）","1000601","2","3","vo_minigame_1004_top_1_007","10006","vo_minigame_1004"
"ぐもももも（シリトリ タノシイ）","1000701","2","3","vo_minigame_1004_top_1_008","10007","vo_minigame_1004"
"ぐもももも！（イノリ イイヤツ）","1000801","2","3","vo_minigame_1004_top_1_009","10008","vo_minigame_1004"
"カヤぴぃ相手でも手加減しないです","1000901","2","1","vo_minigame_1004_top_2_010","10009","vo_minigame_1004"
"上等だ！やるからには本気で来いよな","1000902","1","2","vo_minigame_1004_top_2_011","10009","vo_minigame_1004"
"カヤぴぃ、謝るなら今のうちです","1001001","2","1","vo_minigame_1004_top_2_012","10010","vo_minigame_1004"
"イノリこそ泣きを入れるなら今のうちだぜ？","1001002","1","2","vo_minigame_1004_top_2_013","10010","vo_minigame_1004"
"カヤぴぃ、これからは知性の時代ですよ？","1001101","2","1","vo_minigame_1004_top_2_014","10011","vo_minigame_1004"
"待て！オレがバカみたいにいうな！！","1001102","1","2","vo_minigame_1004_top_2_015","10011","vo_minigame_1004"
"さあ、あたしたちの力を見せてやるです","1001201","1","1","vo_minigame_1004_top_2_016","10012","vo_minigame_1004"
"ぐも！（マカセロ！）","1001202","2","3","vo_minigame_1004_top_2_017","10012","vo_minigame_1004"
"よしよし、いいですようまくできたらチョコをあげるです！","1001301","1","1","vo_minigame_1004_top_2_018","10013","vo_minigame_1004"
"ぐも！（オデ チョコスキ）","1001302","2","3","vo_minigame_1004_top_2_019","10013","vo_minigame_1004"
"なあイノリ……もしかして当初の目的見失ってないよな？","1001401","1","2","vo_minigame_1004_top_2_023","10014","vo_minigame_1004"
"もちろん覚えてるですカヤぴぃを倒し我々の知能を証明するです","1001402","2","1","vo_minigame_1004_top_2_024","10014","vo_minigame_1004"
"いくらイノリ相手でも勝ちを譲る気はないからな！","1001501","1","2","vo_minigame_1004_top_2_025","10015","vo_minigame_1004"
"望むところです手加減はなしですよ","1001502","2","1","vo_minigame_1004_top_2_026","10015","vo_minigame_1004"
"へっ、なかなかやるじゃねえか","1001601","1","2","vo_minigame_1004_top_2_027","10016","vo_minigame_1004"
"カヤぴぃも思ったよりやるですね！","1001602","2","1","vo_minigame_1004_top_2_028","10016","vo_minigame_1004"
"お～い、ドラゴンもどき？","1001701","1","2","vo_minigame_1004_top_2_029","10017","vo_minigame_1004"
"ぐもっ！？（ヒッ！）","1001702","2","3","vo_minigame_1004_top_2_030","10017","vo_minigame_1004"
"いやあ、あんときは悪かったなはっはっは","1001801","1","2","vo_minigame_1004_top_2_031","10018","vo_minigame_1004"
"ぐももも……（かやピィ コワカッタ）","1001802","2","3","vo_minigame_1004_top_2_032","10018","vo_minigame_1004"
"お前ってさ……ほんとマヌケな顔してるよな","1001901","1","2","vo_minigame_1004_top_2_033","10019","vo_minigame_1004"
"ぐも……（オマエガ イウカ）","1001902","2","3","vo_minigame_1004_top_2_034","10019","vo_minigame_1004"
"ぐも……（ハラヘッタ チョコホシイ）","1002001","2","3","vo_minigame_1004_top_2_044","10020","vo_minigame_1004"
"なんだ？眠いのか？","1002002","1","2","vo_minigame_1004_top_2_045","10020","vo_minigame_1004"
"ぐもも（コイツ……キケン）","1002101","2","3","vo_minigame_1004_top_2_046","10021","vo_minigame_1004"
"うん？　なんだ？オレの舎弟にでもなりたいのか？","1002102","1","2","vo_minigame_1004_top_2_047","10021","vo_minigame_1004"
"ぐも…（かやピィノウキン）","1002201","2","3","vo_minigame_1004_top_2_048","10022","vo_minigame_1004"
"おい、今失礼なこと考えてるだろ？","1002202","1","2","vo_minigame_1004_top_2_049","10022","vo_minigame_1004"
"なあ、これいつまで続けるんだ？","1002301","1","2","vo_minigame_1004_top_3_058","10023","vo_minigame_1004"
"カヤぴぃが降参するまでです！","1002302","2","1","vo_minigame_1004_top_3_059","10023","vo_minigame_1004"
"ぐもも！（コウサンシロ！）","1002303","2","3","vo_minigame_1004_top_3_060","10023","vo_minigame_1004"
"ぐも！（イノリ チョコホシイ）","1002401","2","3","vo_minigame_1004_top_3_065","10024","vo_minigame_1004"
"しょうがないですね、食べ過ぎはダメですよ","1002402","1","1","vo_minigame_1004_top_3_066","10024","vo_minigame_1004"
"土産のチョコ、そうとう気に入ったみたいだな","1002403","1","2","vo_minigame_1004_top_3_067","10024","vo_minigame_1004"
"ぐも！（かやピィニハ マケナイ！）","1002501","2","3","vo_minigame_1004_top_3_068","10025","vo_minigame_1004"
"お？なんだ？腹でも減ってるのか？","1002502","1","2","vo_minigame_1004_top_3_069","10025","vo_minigame_1004"
"……全然話が通じてないです","1002503","2","1","vo_minigame_1004_top_3_070","10025","vo_minigame_1004"
