df975c20ecbafaf17333f0fa016f895d024a3c8a5ee4c34ebbabc65990fa204e,f410613c5dbe03fa9065f214b7c2d6dd692950c6f742c7003668a2dc8e5bd6d9,a0ae1bb3669a20605fdd2de93e8e7254c1fce9a1efd6397f36d2e47971b85473,f341d2504dd362a42dcea42019ec6074f4efd3a99549e76ca730a7ec95289f08,192e7a8ebc4ce58a5bd27e710742bb9824b2f1d01bfc11688f85bddcdee3d891,44162daca218ed74daec8e8d1db5e8b0221944e9decad4e93d68177060e9944f,b6734b6ba55367f9121eddc285bf92d54293596ea95ba9d6cfc71699fd5de313,c49a86811cfd9f23967c97589834b27bfde77ce2b1ad443091705ea7beea3c8d,1cc1f7fa45cd9d4aae68d49bd4430628a845961cf75d71b075d440e2d5cb2f69
"1010","1","7008","32000101","500000","全プレイヤーでバンディ・シスターズを合計500,000回倒そう","1","1002","32000101"
"1010","1","7008","32000102","750000","全プレイヤーでバンディ・シスターズを合計750,000回倒そう","2","1002","32000102"
"1010","1","7008","32000103","1000000","全プレイヤーでバンディ・シスターズを合計1,000,000回倒そう","3","1002","32000103"
"1010","1","7008","32000104","500000","全プレイヤーでフレイヤを合計500,000回倒そう","4","1003","32000104"
"1010","1","7008","32000105","750000","全プレイヤーでフレイヤを合計750,000回倒そう","5","1003","32000105"
"1010","1","7008","32000106","1000000","全プレイヤーでフレイヤを合計1,000,000回倒そう","6","1003","32000106"
"1010","0","7008","32000107","1000000","全プレイヤーでアラクネを合計1,000,000回倒そう","7","1004","32000107"
"1010","0","7008","32000108","1500000","全プレイヤーでアラクネを合計1,500,000回倒そう","8","1004","32000108"
"1010","0","7008","32000109","2000000","全プレイヤーでアラクネを合計2,000,000回倒そう","9","1004","32000109"
"1009","1","7007","32000110","1","宝石蜘蛛の群れに1回挑戦しよう","10","1001","32000110"
"1009","1","7007","32000111","1","バンディ・シスターズを1回倒そう","11","1002","32000111"
"1009","1","7007","32000112","1","フレイヤを1回倒そう","12","1003","32000112"
"1009","0","7007","32000113","1","アラクネを1回倒そう","13","1004","32000113"
