924fe7fc2076c0bac015834a5b255890733d1b14a21aefd7b5028801c97ad4a1,f348ab6c187eac8603c6a7d11b87d129fd72f26c79acd1e196dcbd580708d278,05a3fced708b6dc65440faa50d2dd643cef2bccc99c03c7a9fca36f04c735ef4,4e3ff1137f4fbafff97fdf529ed5a5a4d47ac56d805cf775e659a449d210617b,9f46146a8d6934c6878b7dac65e7efd7711c2937e1ce3253d1e5a75419ac47f0,432023712fcbf751c7c233b047d233b1a7084ae78c2018257d508a4a4435b6d5,9c21e9cb2378492cc94dcae31d1398b17d10e72fb5a80152927a500642b8464c,e27946541e04b3d401354387b83d141dd04d8a51683acbcf5117facaeaeb7a1e,c87eda9db280be60b5805f47a1cd6d2aff6bbda6aff5505b96a91cc4b67996f9
"320010106","11","43.5","1","0.7","1","1","502001102","0"
"320010106","67","13","2","0.65","3","2","502001103","0"
"320010106","49","-74","3","0.65","2","3","0","0"
"320010107","13","-49","4","0.7","1","1","502001108","0"
"320010107","62","-4","5","0.85","3","2","502001109","0"
"320010107","50","59","6","0.65","2","3","0","0"
"320010108","-10","0","7","1.05","1","1","0","0"
"320010109","-10","-15","8","1.05","1","1","0","0"
"320010110","-45","-85","9","0.43","1","1","0","0"
"320010110","-45","85","10","0.43","2","2","0","0"
"320010206","11","43.5","11","0.7","1","1","502001202","0"
"320010206","67","13","12","0.65","3","2","502001203","0"
"320010206","49","-74","13","0.65","2","3","0","0"
"320010207","13","-49","14","0.7","1","1","502001208","0"
"320010207","62","-4","15","0.85","3","2","502001209","0"
"320010207","50","59","16","0.65","2","3","0","0"
"320010208","-10","0","17","1.05","1","1","0","0"
"320010209","-10","-15","18","1.05","1","1","0","0"
"320010210","-45","-85","19","0.43","1","1","0","0"
"320010210","-45","85","20","0.43","2","2","0","0"
"320010306","11","43.5","21","0.7","1","1","502001302","0"
"320010306","67","13","22","0.65","3","2","502001303","0"
"320010306","49","-74","23","0.65","2","3","0","0"
"320010307","13","-49","24","0.7","1","1","502001308","0"
"320010307","62","-4","25","0.85","3","2","502001309","0"
"320010307","50","59","26","0.65","2","3","0","0"
"320010308","-10","0","27","1.05","1","1","0","0"
"320010309","-10","-15","28","1.05","1","1","0","0"
"320010310","-45","-85","29","0.43","1","1","0","0"
"320010310","-45","85","30","0.43","2","2","0","0"
"320010406","11","43.5","31","0.7","1","1","502001402","0"
"320010406","67","13","32","0.65","3","2","502001403","0"
"320010406","49","-74","33","0.65","2","3","0","0"
"320010407","13","-49","34","0.7","1","1","502001408","0"
"320010407","62","-4","35","0.85","3","2","502001409","0"
"320010407","50","59","36","0.65","2","3","0","0"
"320010408","-10","0","37","1.05","1","1","0","0"
"320010409","-10","-15","38","1.05","1","1","0","0"
"320010410","-45","-85","39","0.43","1","1","0","0"
"320010410","-45","85","40","0.43","2","2","0","0"
"320010506","11","43.5","41","0.7","1","1","502001502","0"
"320010506","67","13","42","0.65","3","2","502001503","0"
"320010506","49","-74","43","0.65","2","3","0","0"
"320010507","13","-49","44","0.7","1","1","502001508","0"
"320010507","62","-4","45","0.85","3","2","502001509","0"
"320010507","50","59","46","0.65","2","3","0","0"
"320010508","-10","0","47","1.05","1","1","0","0"
"320010509","-10","-15","48","1.05","1","1","0","0"
"320010510","-45","-85","49","0.43","1","1","0","0"
"320010510","-45","85","50","0.43","2","2","0","0"
"320020106","11","43.5","51","0.7","1","1","502002102","0"
"320020106","67","13","52","0.65","3","2","502002103","0"
"320020106","49","-74","53","0.65","2","3","0","0"
"320020107","13","-49","54","0.7","1","1","502002108","0"
"320020107","62","-4","55","0.85","3","2","502002109","0"
"320020107","50","59","56","0.65","2","3","0","0"
"320020108","-10","0","57","1.05","1","1","0","0"
"320020109","-10","-15","58","1.05","1","1","0","0"
"320020110","-45","-85","59","0.43","1","1","0","0"
"320020110","-45","85","60","0.43","2","2","0","0"
"320020206","11","43.5","61","0.7","1","1","502002202","0"
"320020206","67","13","62","0.65","3","2","502002203","0"
"320020206","49","-74","63","0.65","2","3","0","0"
"320020207","13","-49","64","0.7","1","1","502002208","0"
"320020207","62","-4","65","0.85","3","2","502002209","0"
"320020207","50","59","66","0.65","2","3","0","0"
"320020208","-10","0","67","1.05","1","1","0","0"
"320020209","-10","-15","68","1.05","1","1","0","0"
"320020210","-45","-85","69","0.43","1","1","0","0"
"320020210","-45","85","70","0.43","2","2","0","0"
"320020306","11","43.5","71","0.7","1","1","502002302","0"
"320020306","67","13","72","0.65","3","2","502002303","0"
"320020306","49","-74","73","0.65","2","3","0","0"
"320020307","13","-49","74","0.7","1","1","502002308","0"
"320020307","62","-4","75","0.85","3","2","502002309","0"
"320020307","50","59","76","0.65","2","3","0","0"
"320020308","-10","0","77","1.05","1","1","0","0"
"320020309","-10","-15","78","1.05","1","1","0","0"
"320020310","-45","-85","79","0.43","1","1","0","0"
"320020310","-45","85","80","0.43","2","2","0","0"
"320020406","11","43.5","81","0.7","1","1","502002402","0"
"320020406","67","13","82","0.65","3","2","502002403","0"
"320020406","49","-74","83","0.65","2","3","0","0"
"320020407","13","-49","84","0.7","1","1","502002408","0"
"320020407","62","-4","85","0.85","3","2","502002409","0"
"320020407","50","59","86","0.65","2","3","0","0"
"320020408","-10","0","87","1.05","1","1","0","0"
"320020409","-10","-15","88","1.05","1","1","0","0"
"320020410","-45","-85","89","0.43","1","1","0","0"
"320020410","-45","85","90","0.43","2","2","0","0"
"320020506","11","43.5","91","0.7","1","1","502002502","0"
"320020506","67","13","92","0.65","3","2","502002503","0"
"320020506","49","-74","93","0.65","2","3","0","0"
"320020507","13","-49","94","0.7","1","1","502002508","0"
"320020507","62","-4","95","0.85","3","2","502002509","0"
"320020507","50","59","96","0.65","2","3","0","0"
"320020508","-10","0","97","1.05","1","1","0","0"
"320020509","-10","-15","98","1.05","1","1","0","0"
"320020510","-45","-85","99","0.43","1","1","0","0"
"320020510","-45","85","100","0.43","2","2","0","0"
"320030106","11","43.5","101","0.7","1","1","502003102","0"
"320030106","67","13","102","0.65","2","2","502003103","0"
"320030106","49","-74","103","0.65","3","3","0","0"
"320030107","13","-49","104","0.7","1","1","502003108","0"
"320030107","62","-4","105","0.85","3","2","502003109","0"
"320030107","50","59","106","0.65","2","3","0","0"
"320030108","-10","0","107","1.05","1","1","0","0"
"320030109","-10","-15","108","1.05","1","1","0","0"
"320030110","-45","-85","109","0.43","1","1","0","0"
"320030110","-45","85","110","0.43","2","2","0","0"
"320030206","11","43.5","111","0.7","1","1","502003202","0"
"320030206","67","13","112","0.65","2","2","502003203","0"
"320030206","49","-74","113","0.65","3","3","0","0"
"320030207","13","-49","114","0.7","1","1","502003208","0"
"320030207","62","-4","115","0.85","3","2","502003209","0"
"320030207","50","59","116","0.65","2","3","0","0"
"320030208","-10","0","117","1.05","1","1","0","0"
"320030209","-10","-15","118","1.05","1","1","0","0"
"320030210","-45","-85","119","0.43","1","1","0","0"
"320030210","-45","85","120","0.43","2","2","0","0"
"320030306","11","43.5","121","0.7","1","1","502003302","0"
