2580e584fafaf87092788947808845f6e9cbd454423b4cea2f4a89af34e178b1,dd4268a45b88e1130182f46cc63568455f0004744a0eedc7c8a6d1a75642a45b,70bf4865e85960850f0c7354406ae49fbe49d40845149c83330854ed6582243c,fe3d34432083a238c1a0802d9842316f5bbe147e520d8b38dbf3a59c6441b516,2710d6bb111aa6ea58ce112fa099d1e580d494085e2462a1e83b1ff3539504b3,2121a21824f9a98b9fb93d7c4d7c2cf35fad3132aed68520257bbc2b70a77cd3,5475410774f87b687d36f012f65952cd74da5f2f63f1fd79b76c74f9c2711571,a356ffd47884044ebf305600ca4e9cc93418115c8e186c8182cc5d030fb38753,482cc218539226912404fa055c0ab81cfd3cbf2e9d4a20b109fcc5e67cbc8f5b,1bf5af2e3684c335091526ba51332a6fcf293c03ed7b114b669a7af59b358846,c7fe314f1c99b20cef6ff79a194cf320abd5ab9cd3d2bcff3cdd301e667822c9,cb40145e2672e0abad41039872f7c4ef9232d2c480c3a93bc6267ccefc23ea58,165c821a1d9e611ec3e9391e6756295a4097c6c44199fbaa8ef1ab21aaf9af4e,b1c5d4eecdfa0015f2cf3753184483573accba0eb205722108f353bb799920ed,3a621729329eed680b9d0987ff5e9021caf4a0a3c4a7f3064cb68968aa341910,7db015f8d636f4590f42895fc0393d2b93f448f1370194cfd21d62eb3fb714b4,a6cf5d59bb1e50e9822310a78f3e8b369ac16d95c717e6903b8150727652937a,b2d49d76deefeb9388052db18abf54d6487fe0c1acd91b240c579e214bed243f,f806a77df33a8daae41593c559c231fbf0919affaf3d417acf5af7396ad83c49
"10010","","0","0","1.5","0","1","90","0","5","0","610010401","0","0","0","5010321","2","0","610010004"
"10010","","0","0","1.5","0","2","90","0","5","0","610010402","0","108","0","5010322","3","0","610010005"
"10010","","0","0","1.5","0","3","90","0","5","0","0","0","0","0","0","1","0","610010006"
"10011","","0","0","1.5","0","1","90","5011321","5","70","0","0","0","0","5011322","1","0","610011004"
"10011","","0","0","1.5","0","2","90","0","5","40","0","0","0","0","5011323","1","0","610011005"
"10011","","0","0","1.5","0","3","90","0","5","0","0","0","0","0","0","1","0","610011006"
"10012","","0","0","1.5","600","1","90","0","5","0","610012401","0","0","1","5012321","2","3","610012004"
"10012","","0","0","1.5","0","2","90","0","5","51","0","0","0","1","5012322","1","0","610012005"
"10012","","0","0","1.5","0","3","90","0","5","0","0","0","0","1","0","1","0","610012006"
"10013","","0.9","0","1.5","600","1","90","0","5","0","610013401","50","0","1","5013321","2","3","610013004"
"10013","","1","0","1.5","0","2","90","0","5","50","0","84","0","0","5013322","1","0","610013005"
"10013","","1","0","1.5","0","3","90","0","5","0","0","84","0","0","0","1","0","610013006"
"10015","","0.9","0","1.5","600","1","90","0","5","0","610015401","1","0","1","5015321","2","3","610015004"
"10015","","1.3","0","1.5","0","2","90","0","5","50","0","-50","0","1","5015322","1","0","610015005"
"10015","","1.3","0","1.5","0","3","90","0","5","0","0","-50","0","1","0","1","0","610015006"
"10017","","0.9","0","1.5","600","1","90","0","5","0","610017401","50","0","1","5017321","2","3","610017004"
"10017","","1","0","1.5","0","2","90","0","5","50","0","84","0","1","5017322","1","0","610017005"
"10017","","1","0","1.5","0","3","90","0","5","0","0","84","0","1","0","1","0","610017006"
"10019","","1.25","0","1.5","0","1","90","5019321","5","0","610019401","-50","200","1","5019322","4","0","610019004"
"10019","","1.25","0","1.5","0","2","90","0","5","50","0","-50","0","1","5019323","1","0","610019005"
"10019","","1.25","0","1.5","0","3","90","0","5","0","0","-50","0","1","0","1","0","610019006"
"10021","","1","0","1.5","0","1","90","5021321","5","60","0","0","0","1","5021322","1","0","610021004"
"10021","","1","0","1.5","0","2","90","0","5","0","0","0","30","1","5021323","3","0","610021005"
"10021","","1","0","1.5","0","3","90","0","5","0","0","0","0","1","0","1","0","610021006"
"10023","","1.25","0","1.5","0","1","135","5023321","5","75","0","-50","0","1","5023322","1","0","610023004"
"10023","","1.25","0","1.5","0","2","135","0","5","25","0","-50","0","1","5023323","1","0","610023005"
"10023","","1.25","0","1.5","0","3","135","0","5","0","0","-50","0","1","0","1","0","610023006"
"10025","","1.25","0","5.5","600","1","140","5025321","5","0","610025401","-50","0","1","5025322","2","3","610025004"
"10025","","1.25","0","1.5","0","2","140","0","5","50","0","-50","0","1","5025323","1","0","610025005"
"10025","","1.25","0","1.5","0","3","140","0","5","0","0","-50","0","1","0","1","0","610025006"
"10027","","1.25","0","5.5","600","1","145","5027321","5","60","0","-50","0","1","5027322","1","3","610027004"
"10027","","1.25","0","1.5","600","2","145","0","5","0","610027501","-50","0","1","5027323","2","0","610027005"
"10027","","1.25","0","1.5","0","3","145","0","5","0","0","-50","0","1","0","1","0","610027006"
"10029","","1.5","0","5.5","600","1","145","5029321","5","0","610029401","0","0","1","5029322","2","3","610029004"
"10029","","1.5","0","1.5","0","2","145","0","5","60","0","0","0","1","5029323","1","0","610029005"
"10029","","1.5","0","1.5","0","3","145","0","5","0","0","0","0","1","0","1","0","610029006"
"10031","","1.25","0","5.5","600","1","150","5031321","5","0","610031401","-50","0","1","5031322","2","3","610031004"
"10031","","1.25","0","1.5","0","2","150","0","5","50","0","-50","0","1","5031323","1","0","610031005"
"10031","","1.25","0","1.5","0","3","150","0","5","0","0","-50","0","1","0","1","0","610031006"
"10033","","1.25","0","5.5","600","1","150","5033321","5","50","0","-50","0","1","5033322","1","3","610033004"
"10033","","1.25","0","1.5","600","2","150","0","5","0","610033402","-50","0","1","5033323","2","0","610033005"
"10033","","1.25","0","1.5","0","3","150","0","5","0","0","-50","0","1","0","1","0","610033006"
"10034","","1.4","0","1.5","0","1","90","5011321","5","70","0","0","0","1","5011322","1","0","610034004"
"10034","","1.4","0","1.5","0","2","90","0","5","40","0","0","0","1","5011323","1","0","610034005"
"10034","","1.4","0","1.5","0","3","90","0","5","0","0","0","0","1","0","1","0","610034006"
"10035","","2.5","0","5.5","600","1","155","5035321","5","0","610035401","5","0","1","5035322","2","3","610035004"
"10035","","2.5","0","1.5","600","2","155","0","5","0","610035402","5","0","1","5035323","2","0","610035005"
"10035","","2.5","0","1.5","0","3","155","0","5","0","0","5","0","1","0","1","0","610035006"
"10036","","0.4","0","5.5","600","1","155","5036321","5","75","0","-50","0","1","5036322","1","3","610036004"
"10036","","0.4","0","1.5","600","2","155","0","5","20","0","-50","0","1","5036323","1","0","610036005"
"10036","","0.4","0","1.5","0","3","155","0","5","0","0","-50","0","1","0","1","0","610036006"
"10037","","1.5","0","1.5","600","1","90","0","5","0","610037401","-50","0","1","5012321","2","3","610037004"
"10037","","1.5","0","1.5","0","2","90","0","5","53","0","-50","0","1","5012322","1","0","610037005"
"10037","","1.5","0","1.5","0","3","90","0","5","0","0","-50","0","1","0","1","0","610037006"
"10038","","1.8","0","5.5","600","1","155","5038321","5","0","610038401","-20","0","1","5038322","2","3","610038004"
"10038","310700_detail_idle","2","0","1.5","0","2","155","0","5","55","0","-20","0","1","5038323","1","0","610038005"
"10038","","1.8","0","1.5","0","3","155","0","5","0","0","-20","0","1","0","1","0","610038006"
"10039","","0.9","0","1.5","600","1","90","0","5","0","610039401","50","0","1","5013321","2","3","610039004"
