7477a622f3ef03d23e35a78bea4d9be7b7c85f84377ab24c083456162a422ae7,56f1421744152449c7d4b76423e264d16b0ed06d88dc6096b3c939cb0a8856aa,c4f3df6d7ead8b5229116bb8ef4b42047186f285503d43c6ad628ca7402ad7e7,827fa6bea53eecb3251170f8faa2265bc8fd16dd812353a749bfac8371e5e995,dc516af175215a9156e739d0c84d98de49ca3e4cf960e5ba0719b6eda7599fd6,6abaea6c8f019f5466cc8f8a25c6ec4ea36412e63006b6b0642cc1c7cc8ce407,45da1caf0507572eb72477dd095fdd36a59fb2039f151f3084444f1634de5597,6b0358a62e9bef2a79bc9209076d84768b0e13d50b57b4dc028cb60c040c4981,ceac42ef4d8ab4c52d27d8df1c82ba564b7cd59f9afc92d8a53c501950e282cf,bcc772d6cf518f22f9cc99b973c9244518f3df9b364a9f271cb175d0a526a8c0,e0fad615a081fa7b157604f052d0256af9cfcd44632ada9844faeb8f4c35bc20,e2a51a663967b1e2504dd3de8272c80c5be4ba6c646fa8aa9a23b8af4f6f06fc,19294082f2d34fd30fcb448a4f3efc11bd5e05037f631695f0b6218da7b06b21,a2292e6a3d05229992fd897eb7fbfff92fbe4767a6e687223f0646f3eb341700
"0","0","0","24001","リン","あたしだって\nやるときはやるよ！","2030/12/17 14:59:59","24","0","102601","2020/04/30 12:00:00","10040","1","1"
"0","0","0","24002","リン","ふぅ…\nこれであたしの仕事は\n終わりだね","2030/12/17 14:59:59","24","1","102601","2020/04/30 12:00:00","10040","1","1"
"0","0","0","24003","リン","終わった終わった\n一人でもなんとか\nなるもんだね","2030/12/17 14:59:59","24","2","102601","2020/04/30 12:00:00","10040","1","1"
"0","0","0","24004","リン","やったね！\nこれでようやく\nサボれるよ…","2030/12/17 14:59:59","24","3","102601","2020/04/30 12:00:00","10040","2","2"
"0","0","0","24005","リン","チーズが欲しいなら\nきちんと働いて\n買いに来なよ","2030/12/17 14:59:59","24","4","102601","2020/04/30 12:00:00","10040","1","1"
"0","0","0","24006","リン","あたしを敵に回した\n恐ろしさ\n思い知ったか！","2030/12/17 14:59:59","24","5","102601","2020/04/30 12:00:00","10040","2","2"
"0","0","0","24007","リン","あたしも意外と\nやるもんでしょ？","2030/12/17 14:59:59","24","6","102601","2020/04/30 12:00:00","10040","2","2"
"0","0","0","24008","リン","疲れた…\nねずみの逃げ足\n速すぎるよ…","2030/12/17 14:59:59","24","7","102601","2020/04/30 12:00:00","10040","4","4"
"0","0","0","24009","リン","このままじゃ\nまっひ～に\n叱られちゃうよ","2030/12/17 14:59:59","24","8","102601","2020/04/30 12:00:00","10040","4","4"
"0","0","0","24010","リン","まじめに\nやったんだけどな…\n悔しいな～","2030/12/17 14:59:59","24","9","102601","2020/04/30 12:00:00","10040","4","4"
"0","0","0","24011","リン","やられた…\nねずみって意外と\nてごわいね","2030/12/17 14:59:59","24","10","102601","2020/04/30 12:00:00","10040","4","4"
"0","0","0","24012","リン","おのれ～\nあたしのチーズを\n盗みやがって～！","2030/12/17 14:59:59","24","11","102601","2020/04/30 12:00:00","10040","4","4"
"1.81","0","0","24013","リン","疲れた…\nけど、次こそは\n守り抜くよ…","2030/12/17 14:59:59","24","12","102601","2020/04/30 12:00:00","10040","4","1"
