60a894ff8ac29b99988102150f63a854488566742d986ec21672f31a10c14b48,5f64f74a584c957cdaa712be69f755bfa859814fd3cb6ac406e9404c8d872677,ee19628ec5f3448d65ce1c5dcdd44da2df04fedfce262b73f23af0a24728b284,10df2d93b5f46a69e24a122f49b1042f79f75f90030e8a5e16503a4fb1b033e1,eaadba75db19c25d303b4cf74166605ad7cd990c586d337a58fe351204aac4a6
"1025","1","1048","1037","1045"
"1003","2","1004","1062","1006"
"1003","3","1007","1029","1006"
"1047","4","1045","1025","1062"
"1043","5","1013","1003","1022"
"1006","6","1004","1048","1019"
"1062","7","1033","1037","1003"
"1056","8","1053","1050","1059"
"1001","9","1011","1030","1034"
"1063","10","1023","1046","1026"
"1020","11","1038","1014","1044"
"1017","12","1049","1008","1040"
"1023","13","1044","1017","1020"
"1017","14","1038","1001","1020"
"1030","15","1048","1036","1008"
"1044","16","1038","1004","1011"
"1043","17","1011","1005","1022"
"1046","18","1016","1042","1047"
"1014","19","1028","1041","1063"
"1052","20","1055","1061","1058"
"1025","21","1001","1031","1024"
"1024","22","1063","1064","1005"
"1040","23","1000","1066","1044"
"1000","24","1038","1076","1010"
"1003","25","1019","1077","1043"
"1070","26","1069","1071","1068"
"1092","27","1091","1089","1090"
"1098","28","1100","1097","1099"
"1102","29","1104","1101","1103"
"1106","30","1108","1105","1107"
"1012","31","1006","1083","1021"
"1087","32","1085","1086","1084"
"1094","33","1095","1093","1096"
