13f4f6d2941ca2e394d21464cfefde1ac2cbe804d3b32fd149e9526153806025,636ac2845497730143834e00f7198245d634ced19afd8dad2a643c6ac310b40e,e575a3b260097ce79dda937081bf6c1f9daabd90de40c301fdb0b34d0a2ca367,e0aeb451bff4b8c170e63c7c9d6d79f1a6b48cf4759c8892504404d61ca81974
"18","4301511","1","1"
"18","4301512","2","1"
"18","4301513","3","1"
"18","4301514","4","1"
"18","4301515","5","1"
"2","26202","6","1"
"18","4302511","1","2"
"18","4302512","2","2"
"18","4302513","3","2"
"18","4302514","4","2"
"18","4302515","5","2"
"2","26202","6","2"
"18","4303511","1","3"
"18","4303512","2","3"
"18","4303513","3","3"
"18","4303514","4","3"
"18","4303515","5","3"
"2","26202","6","3"
"18","4304511","1","4"
"18","4304512","2","4"
"18","4304513","3","4"
"18","4304514","4","4"
"18","4304515","5","4"
"2","26202","6","4"
"18","4305511","1","5"
"18","4305512","2","5"
"18","4305513","3","5"
"18","4305514","4","5"
"18","4305515","5","5"
"2","26202","6","5"
"18","4301516","1","6"
"18","4301517","2","6"
"18","4301518","3","6"
"18","4301519","4","6"
"18","4301520","5","6"
"2","26202","6","6"
"18","4302516","1","7"
"18","4302517","2","7"
"18","4302518","3","7"
"18","4302519","4","7"
"18","4302520","5","7"
"2","26202","6","7"
"18","4303516","1","8"
"18","4303517","2","8"
"18","4303518","3","8"
"18","4303519","4","8"
"18","4303520","5","8"
"2","26202","6","8"
"18","4304516","1","9"
"18","4304517","2","9"
"18","4304518","3","9"
"18","4304519","4","9"
"18","4304520","5","9"
"2","26202","6","9"
"18","4305516","1","10"
"18","4305517","2","10"
"18","4305518","3","10"
"18","4305519","4","10"
"18","4305520","5","10"
"2","26202","6","10"
"18","4201511","1","11"
"18","4201512","2","11"
"18","4201513","3","11"
"18","4201514","4","11"
"18","4201515","5","11"
"2","26202","6","11"
"18","4202511","1","12"
"18","4202512","2","12"
"18","4202513","3","12"
"18","4202514","4","12"
"18","4202515","5","12"
"2","26202","6","12"
"18","4203511","1","13"
"18","4203512","2","13"
"18","4203513","3","13"
"18","4203514","4","13"
"18","4203515","5","13"
"2","26202","6","13"
"18","4204511","1","14"
"18","4204512","2","14"
"18","4204513","3","14"
"18","4204514","4","14"
"18","4204515","5","14"
"2","26202","6","14"
