03705cef3d55b2bb53fc81af97a3cd3e7bd8a282b0170295117a86b61e08cabf,c2f59fbf54922ae02aad31d4617898c63cdde9b3dc42fcacea8c943a7f46b137,8c91a4b9d20c9c8bf6152c8f534f29fc34eea481c6865962c0fcf6f15dccf6a4,51299e0e186a0cdb741ac46e72767af0c0cad9ff28c734d17691e5ed8b27fec7,61d9b57b6079f41965c07f336c92a5486e043364b4d8c6d0c04df4fd9278a31e,151d7ec55feceb26c0b5c94c004e523d723279e22a6657d86469730b98882c0b
"1","1","26202","50000","2","50000"
"1","2","90013","10","2","10"
"1","3","26203","0","2","1"
"2","4","26202","55000","2","55000"
"2","5","90013","10","2","10"
"2","6","26203","0","2","1"
"3","7","26202","60000","2","60000"
"3","8","90013","10","2","10"
"3","9","26203","0","2","1"
"4","10","26202","65000","2","65000"
"4","11","90013","10","2","10"
"4","12","26203","0","2","1"
"5","13","26202","70000","2","70000"
"5","14","90013","10","2","10"
"5","15","26203","0","2","1"
"6","16","26202","75000","2","75000"
"6","17","90013","10","2","10"
"6","18","26203","0","2","1"
"7","19","26202","80000","2","80000"
"7","20","90013","10","2","10"
"7","21","26203","0","2","1"
"8","22","26202","85000","2","85000"
"8","23","90013","10","2","10"
"8","24","26203","0","2","1"
"9","25","26202","90000","2","90000"
"9","26","90013","20","2","20"
"9","27","26203","0","2","1"
"10","28","26202","95000","2","95000"
"10","29","90013","20","2","20"
"10","30","26203","0","2","1"
"11","31","26202","100000","2","100000"
"11","32","90013","20","2","20"
"11","33","26203","0","2","1"
"12","34","26202","105000","2","105000"
"12","35","90013","20","2","20"
"12","36","26203","0","2","1"
