28ba37a92251669f40511945f127148d68d363411f20431a3381490b8ed42758,bb8f96b96d5f75c9e0e4ccd145f9f8430172baa41d8a430de573358d1b4e79c9,e9d27c918c9471bf0e00ba6eed03154103ae156bfd26a65a20a6c0cb2464d2a9,676a4a3dfe9b59a7366e508b25e1e30b01ef6736a85af2e3408cea342ea2aee3,dccfadf55132fa2bfc391f970f6d5be48a44932c5e38fcd05b62bb420152d5b0,33a79ec52ac937a16ea7622db79420e13a14595dab89b453cf9b7d02e8342f81,33ce4139336bef47f22f0c4c74a0bd08620499f1ba2ccd2961c1abdb4dec3e91,ac54288dcf2dffb873c60cbd72e875b93f2b49755c2b014d231e8a91b17f5c0a,56fafcdf6df95ba23093afc41f7edd772803069588ef98941d10f905352a1e51,c3d74fbb99715958d34b5fb8978ff24b86dc139866fea445e55b3c55c153f9f5,66d915d8ec031f8cdc9e5231af8baa4f05502697c81bb5561d97504e7c591df5
"0","1","lsv_idle_normal","102","-495","-200","1.95","122711","1009801","1","1009801001"
"1","1","lsv_idle_normal","100","-480","100","1.95","122811","1009801","1","1009801002"
"1","1","lsv_idle_normal","101","-510","270","1.95","122911","1009801","1","1009801003"
"0","1","lsv_white_loop","0","0","0","1","333","1009801","5","1009801004"
"0","333","","1","0","1","0","1","1009801","6","1009801005"
"0","122711","","1","0","1","0","1","1009801","6","1009801006"
"0","122811","","1","0","1","0","1","1009801","6","1009801007"
"0","122911","","1","0","1","0","1","1009801","6","1009801008"
"","1","","","","","","0","1009801","93","1009801009"
"0","333","","1","0.4","1","0.8","1","1009801","6","1009801010"
"0.2","122711","","0","1","lsv_idle_normal","0.2","lsv_jump1","1009801","3","1009801011"
"0.2","122811","","0","1","lsv_idle_normal","0.2","lsv_jump1","1009801","3","1009801012"
"0.2","122911","","0","1","lsv_idle_normal","0.2","lsv_jump1","1009801","3","1009801013"
"","0.3","","","","","","","1009801","93","1009801014"
"","122711","","-235","0","0.75","","-200","1009801","2","1009801015"
"","122811","","-220","0","0.75","","100","1009801","2","1009801016"
"","122911","","-250","0","0.75","","270","1009801","2","1009801017"
"0","122711","","1","1","1","0.4","1","1009801","6","1009801018"
"0","122811","","1","1","1","0.4","1","1009801","6","1009801019"
"0","122911","","1","1","1","0.4","1","1009801","6","1009801020"
"","2","","","","","","0","1009801","93","1009801021"
"","122911","","1","","","0.2","lsv_talk_joy1","1009801","3","1009801022"
"","vo_lsv","","0","","0","","vo_lsv_0121","1009801","21","1009801023"
"0","122911","0","10","1","1","0","『みゅ～ちゃん　すくすく日記』♪\nはじまりはじまり～","1009801","11","1009801024"
"","0","","","","","","","1009801","91","1009801025"
