cbfe5e2d1c083713be5095c49b4a9ba969edf59811ecd031576473d5d7f8a089,2f6e888a18d46f2687b7793260bf08b5d42c1e5e0e55670482175134de114562,e6943d38fb1c47de0500c0a66f3ac663fe5e396c7758f98a75f9e9a81fb91437,2b537ceb77b4cbc3ec1f10ad6c80d96f4a17a07ac47e8180f3c75505ebe19e73,2a37914793af8be69ffafe3f1dd41b2a28c44f6d828ab463d871b31ae65207cc,7bdad24843f33286b830d881372000d6bf890b0e87d067b3a0c1f2982e792654,c8d53e645cb006ee51a178363b1f0a241e8c21ecee6cdecb9208449fa3f88b69,9f319684b2a080db383dc79dce7400bd85622a30b99773bd8e6ff113441688d2
"76010001","2024/10/15 15:00:00","1","376010001","760100011","276010001","90","1"
"76010002","2024/10/15 15:00:00","1","376010002","760100021","276010002","90","2"
"76010003","2024/10/15 15:00:00","1","376010003","760100031","276010003","90","3"
"76010004","2024/10/15 15:00:00","1","376010004","760100041","276010004","90","4"
"76010005","2024/10/15 15:00:00","1","376010005","760100051","276010005","90","5"
"76020001","2024/10/15 15:00:00","2","376020001","760200011","276020001","90","1"
"76020002","2024/10/15 15:00:00","2","376020002","760200021","276020002","90","2"
"76020003","2024/10/15 15:00:00","2","376020003","760200031","276020003","90","3"
"76020004","2024/10/15 15:00:00","2","376020004","760200041","276020004","90","4"
"76020005","2024/10/15 15:00:00","2","376020005","760200051","276020005","90","5"
