ab509a5f76ab1d0ace3ad8bfb693c4afb4e3b2a28dac6e290f831974a8d074ed,8a3859a69bc62deb75ed2ee7cd25f8f912c23a02af7e5f5e00ee57295f332a1a,0b5ac3ec7c72a68f464ba0fbb089aa1aa4dbfc4f0454a92e84ab5fbd73ca4160,7d9d2ea8381c06bef4377813c5a969a09ac461a2ba021d0e88ccd0f45bea1e7c,05ad39b530604e22e482653917b3b9c931cc22aa12a38216090d1828ff0aa09a,7f7b66acf8c5dcbee626edeacd5bd92c2a1345e845d1719be60f1a54bee46aa7,e8b2e6dfc79b22cafcf90f42e0ca088199b74cf49dd985cf899ac64f4265935f,bad94c4524ba11a635b38c0a6999175b83b8200c1809052819a3045fcf1344ab,d806eeb78b383a847667a83290ff6e031880a3d0673a9598cf47bb0042802ad9,81b9eaf6f9232f3a970bb0e165611790b77e31e2d2fa94b164a34ba770e9efd3,591af33563da06cbed8c610c90edf4d6bddfe998f0dd1c9c6084f28555b0ca9c,1c531d177bfe5080650a9968489bbfc1299d78d2fd9cb4948bc29220a3a1f094
"1","0","4","0","0","0","0","1010001","1","3","0","1"
"2","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki01_000","1010002","1","0","0","0"
"3","1.418","1","0","0","202","0","1010003","1","0","1","0"
"4","0","4","0","0","0","0","1010004","1","1","0","1.858"
"5","2.536","1","0","0","316","0","1010005","1","0","2","0"
"6","0","4","0","0","0","0","1010006","1","1","0","3.484"
"7","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki01_001","1010007","1","0","0","0"
"8","1.131","1","0","0","121","0","1010008","1","0","3","0"
"9","0","4","0","0","0","0","1010009","1","1","0","1.407"
"10","1.043","1","121","0","276","0","1010010","1","0","3","0"
"11","0","4","0","0","0","0","1010011","1","1","0","1.719"
"12","0.69","1","276","0","389","0","1010012","1","0","3","0"
"13","0","4","0","0","0","0","1010013","1","1","0","0.69"
"14","1.694","1","0","0","224","0","1010014","1","0","4","0"
"15","0","4","0","0","0","0","1010015","1","1","0","2.204"
"16","1.298","1","224","0","384","0","1010016","1","0","4","0"
"17","0","4","0","0","0","0","1010017","1","1","0","1.298"
"18","1.118","1","0","0","131","0","1010018","1","0","5","0"
"19","0","4","0","0","0","0","1010019","1","1","0","1.199"
"20","0.958","1","131","0","244","0","1010020","1","0","5","0"
"21","0","4","0","0","0","0","1010021","1","1","0","1.269"
"22","1.373","1","244","0","394","0","1010022","1","0","5","0"
"23","0","4","0","0","0","0","1010023","1","1","0","1.373"
"24","0.193","1","0","0","25","0","1010024","1","0","6","0"
"25","0","4","0","0","0","0","1010025","1","1","0","0.552"
"26","2.64","1","25","0","368","0","1010026","1","0","6","0"
"27","0","4","0","0","0","0","1010027","1","1","0","3.195"
"28","0.599","1","0","0","65","0","1010028","1","0","7","0"
"29","0","4","0","0","0","0","1010029","1","1","0","0.929"
"30","1.302","1","65","0","252","0","1010030","1","0","7","0"
"31","0","4","0","0","0","0","1010031","1","1","0","2.395"
"32","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki01_002","1010032","1","0","0","0"
"33","2.09","1","0","0","271","0","1010033","1","0","8","0"
"34","0","4","0","0","0","0","1010034","1","1","0","2.512"
"35","0.868","1","271","0","400","0","1010035","1","0","8","0"
"36","0","4","0","0","0","0","1010036","1","1","0","0.907"
"37","2.214","1","0","0","315","0","1010037","1","0","9","0"
"38","0","4","0","0","0","0","1010038","1","1","0","2.562"
"39","1.65","1","0","0","242","0","1010039","1","0","10","0"
"40","0","4","0","0","0","0","1010040","1","1","0","2.654"
"41","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki01_003","1010041","1","0","0","0"
"42","0.685","1","242","0","345","0","1010042","1","0","10","0"
"43","0","4","0","0","0","0","1010043","1","1","0","1.036"
"44","0.378","1","345","0","397","0","1010044","1","0","10","0"
"45","0","4","0","0","0","0","1010045","1","1","0","0.378"
"46","2.438","1","0","0","377","0","1010046","1","0","11","0"
"47","0","4","0","0","0","0","1010047","1","1","0","3.395"
"48","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki01_004","1010048","1","0","0","0"
"49","0.642","1","0","0","83","0","1010049","1","0","12","0"
"50","0","4","0","0","0","0","1010050","1","1","0","1.061"
"51","0.539","1","83","0","159","0","1010051","1","0","12","0"
"52","0","4","0","0","0","0","1010052","1","1","0","0.877"
"53","1.135","1","159","0","316","0","1010053","1","0","12","0"
"54","0","4","0","0","0","0","1010054","1","1","0","2.635"
"1","0","4","0","0","0","0","1020001","2","3","0","1"
"2","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_000","1020002","2","0","0","0"
"3","2.91","1","0","0","345","0","1020003","2","0","1","0"
"4","0","4","0","0","0","0","1020004","2","1","0","3.814"
"5","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_001","1020005","2","0","0","0"
"6","1.67","1","0","0","239","0","1020006","2","0","2","0"
"7","0","4","0","0","0","0","1020007","2","1","0","2.19"
"8","2.455","1","0","0","314","0","1020008","2","0","3","0"
"9","0","4","0","0","0","0","1020009","2","1","0","3.527"
"10","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_002","1020010","2","0","0","0"
"11","0.454","1","0","0","70","0","1020011","2","0","4","0"
"12","0","4","0","0","0","0","1020012","2","1","0","0.874"
"13","2.154","1","70","0","392","0","1020013","2","0","4","0"
"14","0","4","0","0","0","0","1020014","2","1","0","3.373"
"15","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_003","1020015","2","0","0","0"
"16","0.895","1","0","0","125","0","1020016","2","0","5","0"
"17","0","4","0","0","0","0","1020017","2","1","0","1.311"
"18","1.114","1","125","0","265","0","1020018","2","0","5","0"
"19","0","4","0","0","0","0","1020019","2","1","0","1.181"
"20","0.497","1","265","0","340","0","1020020","2","0","5","0"
"21","0","4","0","0","0","0","1020021","2","1","0","0.497"
"22","1.37","1","0","0","189","0","1020022","2","0","6","0"
"23","0","4","0","0","0","0","1020023","2","1","0","2.407"
"24","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_004","1020024","2","0","0","0"
"25","1.616","1","0","0","195","0","1020025","2","0","7","0"
"26","0","4","0","0","0","0","1020026","2","1","0","2.035"
"27","0.951","1","195","0","295","0","1020027","2","0","7","0"
"28","0","4","0","0","0","0","1020028","2","1","0","1.322"
"29","1.924","1","0","0","258","0","1020029","2","0","8","0"
"30","0","4","0","0","0","0","1020030","2","1","0","2.98"
"31","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_005","1020031","2","0","0","0"
"32","0.93","1","0","0","114","0","1020032","2","0","9","0"
"33","0","4","0","0","0","0","1020033","2","1","0","1.24"
"34","0.879","1","114","0","257","0","1020034","2","0","9","0"
"35","0","4","0","0","0","0","1020035","2","1","0","1.877"
"36","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_006","1020036","2","0","0","0"
"37","1.148","1","0","0","144","0","1020037","2","0","10","0"
"38","0","4","0","0","0","0","1020038","2","1","0","1.541"
"39","1.145","1","144","0","307","0","1020039","2","0","10","0"
"40","0","4","0","0","0","0","1020040","2","1","0","2.645"
