46975641881532a3cbcab15667ace7c559d64698576107127114f4f3f8156b64,adc03e10aeb822d1768ff537381e536865ff69acc0700e57b559d8752aa12ac9,058f12616cd60e36399a58004cc6cccbe372f3f1703d2acc9cd72efc540d334e,5d3a5553d61fe035a04b59883884f69fc948deebe2302b6968a0db3cc068f263,f6eb66d560ccc4ed10b696a9a56c0c7d35b75006770917a2c4b5bfd847cfa92d,143b8f57e8ee1ed071d66d98d1d94908472c70d3404f722338638f433ab800fe,18c58a599c2ebefa0ebc49ca06fbfb87d3fb0a3b91fd9deb8e418687083ab957,3bfdca5de98b16431ba3afa07ce2856631f3f7d1e3ef4031bf0fd4b4c577c0fe,9180206a5db8abd221b2fd48d02d7797af45cfa95650f45ffdde7d7d15267bc9
"唯一無二の","3","1","1","1","0","1","1","2"
"完全無欠の","3","1","1","1","0","2","1","2"
"ランドソル最速の","3","1","1","1","1","3","1","2"
"明鏡止水の","3","1","1","1","0","4","1","2"
"史上最速の","3","1","1","1","0","5","1","2"
"最強最速の","3","1","1","1","0","6","1","2"
"アルティメット","3","1","1","1","2","7","1","2"
"百点満点","3","1","1","1","0","8","1","2"
"最優秀","3","1","1","1","0","9","1","2"
"一騎当千の","3","1","1","1","0","10","1","2"
"唯一無二の","3","1","1","1","0","11","1","2"
"天下無双の","3","1","1","1","0","12","1","2"
"泰然自若の","3","1","1","0","0","13","1","2"
"ハイパー","3","1","1","0","0","14","1","2"
"光速の","3","1","1","0","0","15","1","2"
"稀代の","3","1","1","0","0","16","1","2"
"極限の","3","1","1","0","0","17","1","2"
"至高の","3","1","1","0","0","18","1","2"
"煌めく","3","1","1","0","0","19","1","2"
"百戦錬磨の","3","1","1","0","0","20","1","2"
"疾風迅雷の","3","1","1","0","0","21","1","2"
"電光石火の","3","1","1","0","0","22","1","2"
"変幻自在の","3","1","0","1","0","23","1","2"
"空前絶後の","3","1","0","1","0","24","1","2"
"レペゼン","3","1","0","1","0","25","1","2"
"音速の","3","1","0","1","0","26","1","2"
"常識外れの","3","1","0","1","0","27","1","2"
"獅子奮迅の","3","1","0","1","0","28","1","2"
"勇猛果敢なる","3","1","0","1","2","29","1","2"
"威風堂々たる","3","1","0","1","2","30","1","2"
"急がば回れ","3","1","0","1","0","31","1","2"
"心頭滅却","3","1","0","1","0","32","1","2"
"夢見る","3","1","0","0","0","33","1","2"
"ナイス","3","1","0","0","0","34","1","2"
"そこそこの","3","1","0","0","0","35","1","2"
"若葉マークの","3","1","0","0","2","36","1","2"
"未来ある","3","1","0","0","0","37","1","2"
"新米","3","1","0","0","0","38","1","2"
"駆け出しの","3","1","0","0","0","39","1","2"
"ぼちぼちの","3","1","0","0","0","40","1","2"
"新進気鋭の","3","1","0","0","0","41","1","2"
"不撓不屈の","3","1","0","0","0","42","1","2"
"七転八起の","3","1","0","0","0","43","1","2"
"がんばれ","3","1","0","0","0","44","1","2"
