0ce6104d0b5f0d13f1ff9c0139bbf869ad441452359d0f4e4376139eaff563e2,46e91c42605648db237cb652d5636568bd25260f99656888326c3ab29dc3ca82,9ee0013ca65546811d81ec3d112f497944bf6bc16c472e1818377a452d3421b3,4544395227d7b6007e8b71e221378051e3ab2d77a5aacdb85829ae93c5d5e3e3,5abf03889e59b503588c7efcc7384e46f3584bcb75da9e4bbe9eefbb83eb6b6e,8ed17a86312bf5181f3561168caa059430d8d200b7afeac1bd778cc5c4a63a44,f2dd011f4bf40b2295d46629a416478cc44f006a0e95b3369968c991470d62d4,6da5efa7a3d4d88fa972a5145369acb1ea44e707c1a9aa2b83ce33d58338798e,9268c8176bca85a0bb0896fc9808398088bfb91dce6bee0b4bda1e1e2fe01d57,a9ba2dedae2d787544efb1d80971c54194c797f35859f75d6279ddb4282c48a2,fd90b37e16c64abbb0ec4276652068ddadca4cd34476b9ee7d9a3d4bd69a91a5,8241da7bc41643de0b9eee129a4185f8d843d565150031a9b70e7513f371f193,a6aceba4f16a9a34e7137d98e1997380db428df900637016b9d0c7dc02796d28
"ミッションねえ……\nちょうどいいや\nどこまで片付けられるか\n賭けをしようじゃないか","3001100","130011","ヤマト","2024/10/31 12:00:00","2.1","-416.5","100","0","3001","2030/01/01 14:59:59","2","1"
"他人から言われた任務を\n言われるままにやるなんざ\n性に合わないんだがね……\nま、報酬は貰っとこうか","3001101","130011","ヤマト","2024/10/31 12:00:00","5.68","-416.5","101","0","3001","2030/01/01 14:59:59","2","4"
"なんだい？　やれンなら\nとっとと済ませちまいな。\nフブキが早くやることやれ\nってボヤいてたよ。","3001102","130011","ヤマト","2024/10/31 12:00:00","0","-416.5","102","0","3001","2030/01/01 14:59:59","1","1"
"え～？　ぼくに頼みごと～？\nどうしちゃおっかな～\nちゃんとお願いできたら\n考えてあげよっかな～？","3002100","130211","フブキ","2024/10/31 12:00:00","0","-416.5","100","0","3002","2030/01/01 14:59:59","1","1"
"ほらほらぁ、これが\n欲しいんでしょ～？\nほんと、しょうがないよね～\nザコおに～いさん♡","3002101","130211","フブキ","2024/10/31 12:00:00","0","-416.5","101","0","3002","2030/01/01 14:59:59","1","1"
"へえ～、欲しいんだ～？\nぼくのた・い・せ・つ・な・モ・ノ\nあははっ！　なに考えてんの？\nもうへんふしじゃ～んｗ","3002102","130211","フブキ","2024/10/31 12:00:00","8.53","-416.5","102","0","3002","2030/01/01 14:59:59","2","5"
"なになに～？　もしかしてまた\nおねだりするつもりなんだ？\nとか言って、ほんとはぼくに\n会いたいだけだったりして～？","3002103","130211","フブキ","2024/10/31 12:00:00","5.67","-416.5","103","0","3002","2030/01/01 14:59:59","1","7"
"ザコお兄さんってぇ\n頼み方もワンパなのぉ～？\nもっと必死にならないと\nぼくの心は動かせないよ～？","3002104","130211","フブキ","2024/10/31 12:00:00","0","-416.5","104","0","3002","2030/01/01 14:59:59","1","1"
"あのさーザコお兄さん、\nな～んか調子乗ってない？\nぼくのこと、なんでもくれる\nチョロいやつとか思ってたりー？","3002300","130211","フブキ","2024/10/31 12:00:00","0","-416.5","300","0","3004","2030/01/01 14:59:59","3","3"
"ざんね～ん♪\nうざいお兄さんには、もうな～んにもあげませ～ん♡\nほんとなっさけなーい♪\nばいば～い♡","3002400","130211","フブキ","2024/10/31 12:00:00","0","-416.5","301","0","3005","2030/01/01 14:59:59","7","7"
"きゃはは、ほんと必死～♡\nは～、面白かった。\n笑えたからいいよ～\nそれ、恵んだげる～♪","3003200","130211","フブキ","2024/10/31 12:00:00","4.4","-416.5","200","0","3003","2030/01/01 14:59:59","1","2"
"は～、しょうがないな～♡\nザコお兄さんってば\nほんとよわよわで\n情けないよね～ｗ","3003201","130211","フブキ","2024/10/31 12:00:00","0","-416.5","201","0","3003","2030/01/01 14:59:59","7","7"
"お兄さんってば、ぼくがいないと\nほんとザッコザコだよね～\nもっと感謝しろし～♪","3003202","130211","フブキ","2024/10/31 12:00:00","5.6","-416.5","202","0","3003","2030/01/01 14:59:59","2","1"
