5b4594db3c58f5a9ac2bd104932a820c8e7986877e6ee07806f004d25bf5219b,eb80b98414cbc054b5b7e5eaf009b27d6ac601d3fe682f5e754c7f00046d76d7,5dd9d1cdf7e7a705471994754c2d700403f94b04ac107bb7b4f1031c95812675,972a07c0787df4ac6936ffa2492bd6a1c29f07c6d5f3712a736c0779a0892519,a0c4a44d63bd80953db4da3ef01ef81f4db4ff2b4f9b27e2e8e90870c7856176
"1","26","1","41","1"
"1","101","2","41","2"
"1","61","3","61","3"
"1","82","4","50","4"
"1","21","5","41","5"
"1","108","6","41","6"
"1","79","7","55","7"
"1","57","8","68","8"
"1","28","9","44","9"
"1","97","10","44","10"
"1","47","11","55","11"
"1","68","12","67","12"
"1","10","13","38","13"
"1","119","14","38","14"
"1","90","15","52","15"
"1","28","16","65","16"
"1","25","17","40","17"
"1","101","18","40","18"
"1","65","19","58","19"
"1","36","20","64","20"
"1","25","21","41","21"
"1","86","22","41","22"
"1","40","23","60","23"
"1","16","24","40","24"
"1","115","25","40","25"
"1","28","26","63","26"
"1","28","27","41","27"
"1","96","28","41","28"
"1","70","29","55","29"
"1","33","30","41","30"
"1","83","31","41","31"
"1","57","32","68","32"
"1","36","33","37","33"
"1","82","34","37","34"
"1","82","35","58","35"
"1","27","36","38","36"
"1","102","37","38","37"
"1","39","38","52","38"
"1","62","39","65","39"
"1","28","40","38","40"
"1","93","41","38","41"
"1","54","42","56","42"
"1","28","43","63","43"
"1","39","44","40","44"
"1","115","45","40","45"
"1","21","46","55","46"
"1","60","47","66","47"
"1","15","48","38","48"
"1","76","49","38","49"
"1","58","50","53","50"
"1","36","51","61","51"
"1","28","52","38","52"
"1","89","53","38","53"
"1","23","54","56","54"
"1","67","55","66","55"
"2","31","56","40","56"
"2","89","57","40","57"
"2","42","58","67","58"
"2","61","59","55","59"
"2","21","60","40","60"
"2","93","61","40","61"
"2","61","62","57","62"
"2","44","63","68","63"
"2","21","64","43","64"
"2","101","65","43","65"
"2","56","66","57","66"
"2","108","67","75","67"
"2","30","68","37","68"
"2","83","69","37","69"
"2","39","70","53","70"
"2","24","71","67","71"
"2","25","72","38","72"
"2","91","73","38","73"
"2","83","74","65","74"
"2","65","75","55","75"
"2","21","76","39","76"
"2","93","77","39","77"
"2","26","78","62","78"
"2","107","79","72","79"
"2","36","80","38","80"
"2","86","81","38","81"
"2","50","82","55","82"
"2","25","83","62","83"
"2","24","84","40","84"
"2","86","85","40","85"
"2","46","86","65","86"
"2","69","87","58","87"
"2","24","88","43","88"
"2","99","89","43","89"
"2","24","90","62","90"
"2","107","91","72","91"
"2","21","92","43","92"
"2","104","93","43","93"
"2","46","94","67","94"
"2","69","95","55","95"
"2","28","96","40","96"
"2","86","97","40","97"
"2","43","98","65","98"
"2","21","99","44","99"
"2","98","100","44","100"
"2","54","101","65","101"
"2","36","102","38","102"
"2","83","103","38","103"
"2","93","104","58","104"
"2","17","105","43","105"
"2","98","106","43","106"
"2","28","107","61","107"
"2","36","108","37","108"
"2","86","109","37","109"
"2","72","110","65","110"
"3","26","111","44","111"
"3","102","112","44","112"
"3","50","113","91","113"
"3","88","114","78","114"
"3","43","115","35","115"
"3","86","116","35","116"
"3","43","117","85","117"
"3","53","118","66","118"
"3","28","119","47","119"
"3","101","120","47","120"
"3","46","121","66","121"
"3","79","122","85","122"
"3","39","123","37","123"
"3","91","124","37","124"
"3","57","125","78","125"
"3","71","126","60","126"
"3","36","127","37","127"
"3","93","128","37","128"
"3","39","129","62","129"
"3","50","130","88","130"
"3","65","131","106","131"
"3","39","132","35","132"
"3","91","133","35","133"
"3","65","134","86","134"
"3","41","135","57","135"
"3","93","136","70","136"
"3","65","137","106","137"
"3","30","138","41","138"
"3","99","139","41","139"
"3","78","140","91","140"
"3","57","141","60","141"
"3","37","142","72","142"
"3","65","143","106","143"
"3","36","144","41","144"
"3","93","145","41","145"
"3","57","146","57","146"
"3","39","147","75","147"
"3","86","148","85","148"
"3","65","149","106","149"
"3","39","150","38","150"
"3","91","151","38","151"
"3","48","152","88","152"
"3","67","153","63","153"
"3","83","154","81","154"
"3","65","155","106","155"
"3","39","156","35","156"
"3","91","157","35","157"
"3","92","158","72","158"
"3","43","159","57","159"
"3","46","160","88","160"
"3","39","161","35","161"
"3","90","162","35","162"
"3","46","163","60","163"
"3","79","164","91","164"
"3","41","165","33","165"
"3","88","166","33","166"
"3","43","167","85","167"
"3","83","168","60","168"
"3","36","169","36","169"
"3","93","170","36","170"
"3","83","171","86","171"
"3","50","172","60","172"
"3","28","173","42","173"
"3","101","174","42","174"
"3","50","175","88","175"
"3","75","176","66","176"
"3","32","177","38","177"
"3","97","178","38","178"
"3","93","179","63","179"
"3","43","180","86","180"
"4","24","181","40","181"
"4","107","182","40","182"
"4","87","183","61","183"
"4","54","184","86","184"
"4","35","185","40","185"
"4","94","186","40","186"
"4","42","187","65","187"
"4","71","188","86","188"
"4","28","189","41","189"
"4","101","190","41","190"
"4","55","191","65","191"
"4","61","192","86","192"
"4","26","193","43","193"
"4","107","194","43","194"
"4","61","195","86","195"
"4","71","196","68","196"
"4","35","197","46","197"
"4","94","198","46","198"
"4","82","199","71","199"
"4","59","200","91","200"
"4","58","201","102","201"
"4","26","202","41","202"
"4","104","203","41","203"
"4","48","204","60","204"
"4","71","205","80","205"
"4","58","206","102","206"
"4","35","207","40","207"
"4","94","208","40","208"
"4","78","209","80","209"
"4","45","210","65","210"
"4","58","211","102","211"
"4","29","212","46","212"
"4","100","213","46","213"
"4","80","214","65","214"
"4","45","215","75","215"
"4","58","216","102","216"
"4","29","217","41","217"
"4","105","218","41","218"
"4","57","219","83","219"
"4","45","220","65","220"
"4","58","221","102","221"
"4","32","222","46","222"
"4","97","223","46","223"
"4","68","224","62","224"
"4","74","225","86","225"
"4","32","226","41","226"
"4","104","227","41","227"
"4","42","228","65","228"
"4","57","229","86","229"
"4","78","230","73","230"
"4","24","231","40","231"
"4","110","232","40","232"
"4","44","233","58","233"
"4","81","234","71","234"
"4","57","235","93","235"
"4","42","236","40","236"
"4","97","237","40","237"
"4","65","238","61","238"
"4","75","239","83","239"
"4","46","240","77","240"
"4","41","241","41","241"
"4","105","242","41","242"
"4","48","243","71","243"
"4","58","244","91","244"
"4","88","245","61","245"
