f97c50e26454e054c19c1426cbab91848224f857ee869e6999cd034603a1936f,6b63b7001e1fe64021779a2f09a7c7682b6062701f5e96ab769e86fe5f923dac,ab4eb2c9d09fedea94a03a1dab0da26f09d9a867ee7ba3b27aee19ff1a70c097,2e682111f7cf8abeb5e2d6a3c6ee9baa43325f8328d84f427f4baa0c8a1caf4c,17f8488135d4882cc12d99c14957ee9557049984c13dc0d0979880acd5b257a1
"1","10101","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit","ダメージ減衰"
"1","10102","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit","防御力（ダウン不可）アップ"
"2","10201","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit","ダメージ減衰"
"2","10202","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit","防御力（ダウン不可）アップ"
"2","10203","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut","全ダメージカット"
"2","10204","すべてのモンスターの与えるダメージをアップさせる。","damage_up","与ダメージアップ"
"2","10205","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up","防御力アップ"
"3","10301","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit","ダメージ減衰"
"3","10302","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit","防御力（ダウン不可）アップ"
"3","10303","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut","全ダメージカット"
"3","10304","すべてのモンスターの与えるダメージをアップさせる。","damage_up","与ダメージアップ"
"3","10305","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up","防御力アップ"
"3","10306","すべてのキャラの物理/魔法クリティカルをダウンさせる。","critical_down","クリティカルダウン"
"4","10401","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit","ダメージ減衰"
"4","10402","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit","防御力（ダウン不可）アップ"
"4","10403","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut","全ダメージカット"
"4","10404","すべてのモンスターの与えるダメージをアップさせる。","damage_up","与ダメージアップ"
"4","10405","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up","防御力アップ"
"4","10406","すべてのキャラの物理/魔法クリティカルをダウンさせる。","critical_down","クリティカルダウン"
"4","10407","すべてのキャラのＨＰ吸収をダウンさせる。","life_steal_down","ＨＰ吸収ダウン"
"5","10501","EXTREMEバトル時に一定確率で強敵が出現する。","add_monster","強敵出現"
"5","10502","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit","ダメージ減衰"
"5","10503","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit","防御力（ダウン不可）アップ"
"5","10504","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut","全ダメージカット"
"5","10505","すべてのモンスターの与えるダメージをアップさせる。","damage_up","与ダメージアップ"
"5","10506","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up","防御力アップ"
"5","10507","すべてのキャラの物理/魔法クリティカルをダウンさせる。","critical_down","クリティカルダウン"
"5","10508","すべてのキャラのＨＰ吸収をダウンさせる。","life_steal_down","ＨＰ吸収ダウン"
"5","10509","すべてのモンスターがＴＰダウンカット状態になる。","tp_down_cut","ＴＰダウンカット"
"5","10510","すべてのキャラのＨＰ回復量をダウンさせる。","hp_recovery_down","ＨＰ回復量ダウン"
