69eafbc3bd8a15c36ca80fc0d764bcc0ecffdd1bdd4c1ac28c0cc8e20498cdcc,e229b608725d62cd282da818447279c3543f9ef9459367dbe50388b4904a65a7,2780657a654d06dd8700519b230ec4eba8ea322dc6e1054e22dd1af403301884,fa58b729cc6d390734aa033d1fa80106e736535220da57e964a23bd8eab2f96e,f8156ac16c14e33e0f6a060429bfd633aa907292d655d3b8b538848266e251e4
"1001","1","1","0","0"
"1002","1","2","0","0"
"1003","1","3","0","0"
"1004","1","4","0","0"
"2001","2","1","0","0"
"2002","2","2","0","0"
"2003","2","3","0","0"
"2004","2","4","0","0"
"2101","2","1","1","0"
"2102","2","2","1","0"
"2103","2","3","1","0"
"2104","2","4","1","0"
"2111","2","11","2","10001"
"2112","2","12","2","10001"
"2113","2","13","2","10001"
"3001","3","1","0","0"
"3002","3","2","0","0"
"3003","3","3","0","0"
"3004","3","4","0","0"
"4001","4","1","0","0"
"4002","4","2","0","0"
"4003","4","3","0","0"
"4004","4","4","0","0"
"4005","4","100","0","0"
"5010","5","10101","1","0"
"5020","5","10201","2","1"
"5021","5","10202","2","2"
"5030","5","10301","3","0"
"5031","5","10301","3","1"
"5040","5","10302","4","0"
"5050","5","10303","5","0"
"5060","5","10304","6","0"
"6001","6","90001","1","0"
"6002","6","90001","2","0"
"6003","6","90001","2","1"
"6006","6","90001","3","0"
"6007","6","91101","3","1"
"6008","6","91201","3","2"
"6009","6","91301","3","3"
"6010","6","90001","4","0"
"6011","6","91101","4","1"
"6012","6","91201","4","2"
"6013","6","91301","4","3"
"6014","6","90001","5","0"
"6015","6","91101","5","1"
"6016","6","91201","5","2"
"6017","6","91301","5","3"
"6018","6","90001","6","0"
"6019","6","91101","6","1"
"6020","6","91201","6","2"
"6021","6","91301","6","3"
"6022","6","92001","7","0"
"6023","6","92101","7","1"
"6024","6","92201","7","2"
"6025","6","92301","7","3"
"6026","6","92401","7","4"
"6027","6","92001","8","0"
"6028","6","92101","8","1"
"6029","6","92201","8","2"
"6030","6","92301","8","3"
"6031","6","92401","8","4"
"6032","6","92001","9","0"
"6033","6","92101","9","1"
"6034","6","92201","9","2"
"6035","6","92301","9","3"
"6036","6","92401","9","4"
"6037","6","90001","10","0"
"6038","6","90101","10","1"
"6039","6","90201","10","2"
"6040","6","90301","10","3"
"6041","6","90401","10","4"
"6042","6","90001","11","0"
"6043","6","90101","11","1"
"6044","6","90201","11","2"
"6045","6","90301","11","3"
"6046","6","90401","11","4"
"7000","7","90002","0","0"
"7001","7","90002","0","1"
"7002","7","90003","0","2"
"7003","7","90002","2","1"
"7004","7","90003","2","2"
"7005","7","91102","3","1"
"7006","7","91103","3","2"
"7007","7","91102","4","1"
"7008","7","91103","4","2"
"7009","7","91102","5","1"
"7010","7","91103","5","2"
"7011","7","91102","6","1"
"7012","7","91103","6","2"
"7013","7","92102","7","1"
"7014","7","92103","7","2"
"7015","7","92102","8","1"
"7016","7","92103","8","2"
"7017","7","92102","9","1"
"7018","7","92103","9","2"
"7019","7","90102","10","1"
"7020","7","90103","10","2"
"7021","7","90102","11","1"
"7022","7","90103","11","2"
"9001","9","20101","0","0"
"10001","10","20201","0","0"
"10002","10","20202","1","0"
"10180","101","10501","8","0"
"100001","100","1","1","0"
"100002","100","1","2","0"
"100003","100","2","3","0"
"100004","100","2","4","0"
"100005","100","2","5","0"
"100006","100","2","6","0"
"100007","100","3","7","0"
"100008","100","3","8","0"
"100009","100","3","9","0"
"100010","100","1","10","0"
"100011","100","1","11","0"
"980001","101","10301","98001","0"
"980002","101","10402","98001","2"
"980011","101","10401","98011","1"
"980012","101","10402","98012","2"
