08dc8d576923f17fcdc0944fbd5d64d7701726df7491c476454ed9696e01208d,728190ab80969d70d3d0002ef46526067d8ef6e43f7b19dd249e6af4f44f8ada,de2f373ea4dbb1efe6c0d82b952b0d8b498066354f4b518616d3fe6f43957acc,f0b3e28418b407dad88f94f3178945aa0d44113f0571d063bd54afe083d78c58,c9f875e34633cca35d26cd065cead63141860a9ea15576be3182d5fa1478f7b4,7469670f8a3fc4cc3fdacecb81744042488da43bef597ddb48b6c6db5c82dce8,87aef80486c3372fafbe7cc94afe53a6ab8a79d5b020f9886bc34450c0522044,3cae74e472cb8d5e734ce9d45a0a0beff083f53ca7a00a1f3ac9e25861a5c3ee,decbc4ec94ddb944620f75a521203fa656416a9c085c30bf13448179f864a276,d5eb37950b6ceb37838c52101070d54a451315436b66348ed0e3f1066cb7417e,0521bc987b85636db2ea79dafe1fb9ffbb62a199777325e804713f1da9761029
"285001001","8","2","31","2","25015","8","10","91002","25021","1"
"285001002","8","2","31","2","25015","8","10","91002","25021","2"
"285001003","8","2","32","2","25015","8","10","91002","25021","3"
"285001004","8","2","32","2","25015","8","10","91002","25021","4"
"285001005","8","2","33","2","25015","8","10","91002","25021","5"
"285001006","8","2","33","2","25015","9","10","91002","25021","6"
"285001007","8","2","34","2","25015","9","10","91002","25021","7"
"285001008","8","2","35","2","25015","9","10","91002","25021","8"
"285001009","8","2","35","2","25015","9","10","91002","25021","9"
"285001010","8","2","37","2","25015","10","30","91002","25021","10"
"285001011","8","2","41","2","25015","10","10","91002","25021","11"
"285001012","8","2","43","2","25015","11","10","91002","25021","12"
"285001013","8","2","46","2","25015","11","10","91002","25021","13"
"285001014","8","2","48","2","25015","12","10","91002","25021","14"
"285001015","8","2","50","2","25015","12","10","91002","25021","15"
"285001016","8","2","53","2","25015","13","10","91002","25021","16"
"285001017","8","2","55","2","25015","14","10","91002","25021","17"
"285001018","8","2","58","2","25015","14","10","91002","25021","18"
"285001019","8","2","60","2","25015","15","10","91002","25021","19"
"285001020","8","2","62","2","25015","15","30","91002","25021","20"
"285001021","8","2","68","2","25015","16","10","91002","25021","21"
"285001022","8","2","70","2","25015","16","10","91002","25021","22"
"285001023","8","2","72","2","25015","16","10","91002","25021","23"
"285001024","8","2","75","2","25015","17","10","91002","25021","24"
"285001025","8","2","77","2","25015","18","10","91002","25021","25"
"285001026","8","2","79","2","25015","18","10","91002","25021","26"
"285001027","8","2","82","2","25015","19","10","91002","25021","27"
"285001028","8","2","84","2","25015","19","10","91002","25021","28"
"285001029","8","2","86","2","25015","19","10","91002","25021","29"
"285001030","8","2","89","2","25015","20","30","91002","25021","30"
"285001031","8","2","94","2","25015","20","10","91002","25021","31"
"285001032","8","2","96","2","25015","21","10","91002","25021","32"
"285001033","8","2","99","2","25015","21","10","91002","25021","33"
"285001034","8","2","101","2","25015","22","10","91002","25021","34"
"285001035","8","2","103","2","25015","22","10","91002","25021","35"
"285001036","8","2","106","2","25015","23","10","91002","25021","36"
"285001037","8","2","108","2","25015","23","10","91002","25021","37"
"285001038","8","2","111","2","25015","24","10","91002","25021","38"
"285001039","8","2","113","2","25015","25","10","91002","25021","39"
"285001040","8","2","115","2","25015","25","30","91002","25021","40"
"285001041","8","2","121","2","25015","26","10","91002","25021","41"
"285001042","8","2","123","2","25015","27","10","91002","25021","42"
"285001043","8","2","125","2","25015","28","10","91002","25021","43"
"285001044","8","2","128","2","25015","28","10","91002","25021","44"
"285001045","8","2","130","2","25015","29","10","91002","25021","45"
"285001046","8","2","132","2","25015","30","10","91002","25021","46"
"285001047","8","2","135","2","25015","30","10","91002","25021","47"
"285001048","8","2","137","2","25015","31","10","91002","25021","48"
"285001049","8","2","139","2","25015","31","10","91002","25021","49"
"285001050","8","2","142","2","25015","31","30","91002","25021","50"
"285001051","8","2","144","2","25015","32","10","91002","25021","51"
"285001052","8","2","146","2","25015","32","10","91002","25021","52"
"285001053","8","2","149","2","25015","32","10","91002","25021","53"
"285001054","8","2","152","2","25015","33","10","91002","25021","54"
"285001055","8","2","155","2","25015","33","10","91002","25021","55"
"285001056","8","2","157","2","25015","33","10","91002","25021","56"
"285001057","8","2","160","2","25015","34","10","91002","25021","57"
"285001058","8","2","163","2","25015","34","10","91002","25021","58"
"285001059","8","2","166","2","25015","34","10","91002","25021","59"
"285001060","8","2","169","2","25015","35","30","91002","25021","60"
"285001061","8","2","171","2","25015","35","10","91002","25021","61"
"285001062","8","2","174","2","25015","35","10","91002","25021","62"
"285001063","8","2","177","2","25015","36","10","91002","25021","63"
"285001064","8","2","180","2","25015","36","10","91002","25021","64"
"285001065","8","2","182","2","25015","36","10","91002","25021","65"
"285001066","8","2","185","2","25015","37","10","91002","25021","66"
"285001067","8","2","187","2","25015","37","10","91002","25021","67"
"285001068","8","2","190","2","25015","37","10","91002","25021","68"
"285001069","8","2","193","2","25015","38","10","91002","25021","69"
"285001070","8","2","196","2","25015","38","30","91002","25021","70"
