c12ce392124093f7e189deebe1f85b03f018df7c5e29c827b7cf1cbfe3ca7873,4f483c41bab24bba9f22ae607517b574eb8d94fd6329a80376164728ce85ce12,5994506e48e1face3e60355d5fafee77d9c78b721363079b6f31cb3395a3ec3b,619725adf1c91593aa5ed8bba4980f9f09179255ab10caf5e56502267baba4e3,7d2073eaeca80640a242013e91da16a8191727588bbac74ca1e7bd702ff77f77,67fd360203251f7558470fed2fb7d334ba737874894e4ef6c2c6fce244fd5849
"2","1","1","10","500","10"
"3","1","1","10","500","20"
"4","1","1","10","500","30"
"5","1","1","10","500","40"
"6","1","1","10","500","50"
"7","1","1","10","500","60"
"8","1","1","10","500","70"
"9","1","1","10","500","80"
"10","1","1","10","500","90"
"11","1","1","15","500","105"
"12","1","1","15","500","120"
"13","1","1","15","500","135"
"14","1","1","15","500","150"
"15","1","1","15","500","165"
"16","1","1","15","500","180"
"17","1","1","15","500","195"
"18","1","1","15","500","210"
"19","1","1","15","500","225"
"20","1","1","15","500","240"
"21","1","1","25","500","265"
"22","1","1","25","500","290"
"23","1","1","25","500","315"
"24","1","1","25","500","340"
"25","1","1","25","500","365"
"26","1","1","25","500","390"
"27","1","1","25","500","415"
"28","1","1","25","500","440"
"29","1","1","25","500","465"
"30","1","1","25","500","490"
"31","2","1","40","500","530"
"32","2","1","40","500","570"
"33","2","1","40","500","610"
"34","2","1","40","500","650"
"35","2","1","40","500","690"
"36","2","1","40","500","730"
"37","2","1","40","500","770"
"38","2","1","40","500","810"
"39","2","1","40","500","850"
"40","2","1","40","500","890"
"41","2","1","50","500","940"
"42","2","1","50","500","990"
"43","2","1","50","500","1040"
"44","2","1","50","500","1090"
"45","2","1","50","500","1140"
"46","2","1","50","500","1190"
"47","2","1","50","500","1240"
"48","2","1","50","500","1290"
"49","2","1","50","500","1340"
"50","2","1","50","500","1390"
"51","3","1","60","500","1450"
"52","3","1","60","500","1510"
"53","3","1","60","500","1570"
"54","3","1","60","500","1630"
"55","3","1","60","500","1690"
"56","3","1","60","500","1750"
"57","3","1","60","500","1810"
"58","3","1","60","500","1870"
"59","3","1","60","500","1930"
"60","3","1","60","500","1990"
"61","3","1","75","600","2065"
"62","3","1","75","600","2140"
"63","3","1","75","600","2215"
"64","3","1","75","600","2290"
