2c1b4f192fea96973a079be721c521d68a900616527e4c05dc4d4f174f4da7d7,a06f934d2365274f1bb6f1b1656dbbef73b5977477fcf1d665d76edd49a616ab,5d627967b7093481719c8b330e52461054da996fbcbe285250c079cb6dd4dae1,357e9e3268b65e96bf76c393ffce6d92da8a00fdf0427c145f90d6ee061cfb8a,8205a24ae63084f6880c40de9d0cdc47922b4bce087e704d2a4fa67e343f7c30,a4a463dcd3ebe8018f0eb2ad7dba5681f13b51f754fbe0d8ea95d41bb660c111,c1ebfe58fa9b94a4e1980bf284b3e8e14d1765d06d34cf9e4fed5928d5eac587,0a49a5b719aff343de51e46a8163a9591c07602074a5f30f5804cc2bd71ea0c1,91368e27edd747efc6e142bfec1037d224f5c79b937ef1ee7627bbc1885e2530,fc42411fac693156faebfaa72614339bcb95ab8817cb0d6c20564a624f029bdc,a98d461ebd214aef00c3cf836955dd0033a185020e41ef8f67f41d1946f383d5,a111a1a7bd2b36b9f8de32e12a8c1a575847484ff5267d843a7c484fcacb712d,418d840e9157c22cdf9087b834b15a4ad35f42e2a4e7e8f73afc5f095b5a17cb
"ぶた","いのしし","0","いぬ","1","0","0","0","0","1","おおかみ","3110001","0"
"三","二","0","四","1","0","0","0","0","1","一","3110002","0"
"八","九","0","七","1","1","0","0","0","1","十","3110003","0"
"亭","要","0","也","1","0","0","0","0","1","花","3110004","0"
"がつがつ","ぱかぱか","0","もぐもぐ","1","0","0","0","0","1","めそめそ","3110006","0"
"針で縫う","ものがへこむ","0","批判をする","1","0","0","0","0","1","犬の鳴き声","3110007","0"
"木","十","0","口","0","1","0","0","0","1","田","3110009","0"
"それで","だが","0","よって","1","0","0","0","0","1","しかし","3110010","0"
"身長をはかる","身長な行動","0","身長が伸びる","1","0","0","0","0","1","服を身長する","3110011","0"
"地面（じめん）","鼻血（はなじ）","0","自信（じしん）","1","0","0","0","0","1","身近（みじか）","3110012","0"
"た","ば","0","さ","1","0","0","0","0","1","ま","3110013","0"
"月","金","0","火","1","0","0","0","0","1","土","3110015","0"
"ブレイド","ストライク","0","クイーン","1","0","0","0","0","1","プリンセス","3111001","0"
"アタック","オール","0","エクスプロージョン","1","0","0","0","0","1","ヒール","3111002","0"
"H","G","0","J","1","0","0","1","0","0","F","3120001","0"
"ふさい","めおと","0","ふじん","1","0","0","0","0","1","ふうふ","3120002","0"
"講","礼","0","酒","1","1","0","0","0","1","無","3120006","0"
"山","王","0","四","1","1","0","0","0","1","天","3120007","0"
"事","空","0","想","1","1","0","0","0","1","絵","3120008","0"
